prompt,action_family,strength,direction,variant_id,parameter_name,parameter_value,ranking_score,eligible_preferred_action,nonzero_transition_rate,mean_encoder_relative_delta,encoder_relative_delta_cv,stability_score,case_performance_heterogeneity_score,case_dice_change_std,case_miou_change_std,severe_performance_drop_rate,negative_dice_change_rate,negative_miou_change_rate,meaningful_negative_drop,persistent_negative_action,mean_case_dice_change,mean_case_miou_change,mean_prediction_probability_mse,strengths_evaluated,selection_rule,rank,ranking_status
liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,0.9614023488835305,True,1.0,0.044202690730656115,0.1445859109176154,0.873678411084319,1.0,0.004053430258468797,0.0032935698623658013,0.0,0.06666666666666667,0.06666666666666667,0.005,False,0.00018099611526028274,0.00018217356595245555,0.00024010378159194563,mild,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",1,ranked_candidate
liver,gamma,mild,darken,gamma:mild:darken,gamma,1.1,0.9570328581713609,True,1.0,0.04099225940359584,0.1514136275645969,0.8684976241901372,1.0,0.005167882814625126,0.00440871644280832,0.0,0.1,0.06666666666666667,0.005,False,-0.0007687033802258843,-0.0006731355302653193,0.0002953593322975697,mild,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",2,ranked_candidate
liver,gamma,moderate,darken,gamma:moderate:darken,gamma,1.3,0.944832672844665,True,1.0,0.10890776899308656,0.14395093746404966,0.8741633642233249,1.0,0.014279108993360509,0.012024224714440979,0.0,0.16666666666666666,0.13333333333333333,0.005,False,-0.0015159933211666829,-0.0012714117500284728,0.0014520908628279964,moderate,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",3,ranked_candidate
liver,gamma,moderate,brighten,gamma:moderate:brighten,gamma,0.7,0.9398361621329119,True,1.0,0.13466286129109495,0.12252661139679002,0.8908474773312262,1.0,0.04343813331864666,0.02877712129608651,0.03333333333333333,0.2,0.13333333333333333,0.005,False,-0.0060628480726528525,-0.00357800512543092,0.0021919308138118746,moderate,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",4,ranked_candidate
liver,gaussian_noise,mild,fixed,gaussian_noise:mild:fixed,std_range_fraction,0.02,0.9164912831264402,True,1.0,0.0995542743447909,0.27802645619824096,0.7824564156322011,1.0,0.006214190660116459,0.005277358403125096,0.0,0.2,0.2,0.005,False,-0.0014724576741449113,-0.0014129951303667712,0.000736866463800349,mild,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",5,ranked_candidate
liver,bias_field,mild,fixed,bias_field:mild:fixed,amplitude,0.05,0.9022803123971171,True,1.0,0.1191344458095005,0.34275969379918503,0.7447348953189191,1.0,0.0073887023899191365,0.006250541731349884,0.0,0.23333333333333334,0.23333333333333334,0.005,False,-0.002374360734581793,-0.002033120251588849,0.000853170514650022,mild,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",6,ranked_candidate
liver,gaussian_noise,moderate,fixed,gaussian_noise:moderate:fixed,std_range_fraction,0.05,0.8336374529256708,False,1.0,0.23362727832000843,0.18597616680176482,0.8431872646283536,1.0,0.03621038422812583,0.028262108810055163,0.03333333333333333,0.6666666666666666,0.6333333333333333,0.005,True,-0.01901365741746119,-0.015895575083815183,0.004258797604901095,moderate,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",,excluded_persistent_negative
liver,bias_field,moderate,fixed,bias_field:moderate:fixed,amplitude,0.15,0.8133029334494957,False,1.0,0.29488919830160143,0.26340046669954614,0.7915146672474782,1.0,0.06674072432510138,0.04377813370131721,0.1,0.6666666666666666,0.6333333333333333,0.005,True,-0.03767506553417063,-0.02756146777457116,0.007397997386093872,moderate,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",,excluded_persistent_negative
liver,intensity_scale,moderate,down,intensity_scale:moderate:down,scale,0.7,0.7727488411983077,False,0.3,0.0003101829578921608,0.09439818435276685,0.9137442059915383,1.0,1.3911236158125103e-05,1.1887906069619686e-05,0.0,0.0,0.0,0.005,False,2.4427155143798747e-07,4.1315579908755376e-07,2.000938089293432e-08,moderate,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",,excluded_insufficient_transition
liver,intensity_scale,mild,down,intensity_scale:mild:down,scale,0.9,0.7721919427330473,False,0.3,0.0003090631801997806,0.09774338535401474,0.9109597136652359,1.0,1.766072992173774e-05,1.5378239626564096e-05,0.0,0.0,0.0,0.005,False,-4.524479992218389e-07,-3.191401556727295e-07,1.0509722316864867e-07,mild,"prefer stable non-zero transition, case heterogeneity, and low severe-drop rate; exclude persistent negative Dice/mIoU actions; eligible requires nonzero_transition_rate>=0.50 and negative rates<0.50; meaningful negative drop=0.005; severe drop threshold=0.100",,excluded_insufficient_transition
