case,prompt,action_family,strength,direction,variant_id,parameter_name,parameter_value,encoder_layer,encoder_relative_delta,encoder_relative_delta_std,encoder_nonzero_patch_fraction,patch_count,prediction_probability_mse,prediction_probability_mae,mask_consistency_dice,mask_consistency_iou,source_case_dice,action_case_dice,case_dice_change,source_case_miou,action_case_miou,case_miou_change,source_foreground_iou,action_foreground_iou,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,labels_reused_without_change
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_0,0.05103345182724297,0.0103733714524661,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_1,0.057145370589569214,0.01173226544074018,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_2,0.05169076146557927,0.011278357479479431,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_3,0.056890745926648376,0.013582719517574986,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_4,0.06192629267461598,0.015698426137464316,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,brighten,gamma:mild:brighten,gamma,0.9,encoder_layer_5,0.05661569354124367,0.01508012804161051,1.0,80,0.0007185551803559065,0.0035761964973062277,0.9800170348226883,0.9608170609519192,0.8084177476279971,0.8099858731675859,0.0015681255395887383,0.8226105605882521,0.8237937165333169,0.0011831559450647955,0.6784405743025589,0.6806523174003082,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,darken,gamma:mild:darken,gamma,1.1,encoder_layer_0,0.0472930405754596,0.00921780661361715,1.0,80,0.0006654596654698253,0.003334289649501443,0.9817050809224958,0.9640675432337854,0.8084177476279971,0.8076008922315612,-0.0008168553964359448,0.8226105605882521,0.8220425124737487,-0.0005680481145033944,0.6784405743025589,0.6772907552262245,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,darken,gamma:mild:darken,gamma,1.1,encoder_layer_1,0.05205626082606614,0.009955733684277141,1.0,80,0.0006654596654698253,0.003334289649501443,0.9817050809224958,0.9640675432337854,0.8084177476279971,0.8076008922315612,-0.0008168553964359448,0.8226105605882521,0.8220425124737487,-0.0005680481145033944,0.6784405743025589,0.6772907552262245,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,darken,gamma:mild:darken,gamma,1.1,encoder_layer_2,0.04707482806406915,0.009558978885874278,1.0,80,0.0006654596654698253,0.003334289649501443,0.9817050809224958,0.9640675432337854,0.8084177476279971,0.8076008922315612,-0.0008168553964359448,0.8226105605882521,0.8220425124737487,-0.0005680481145033944,0.6784405743025589,0.6772907552262245,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
HEM_PA99.nii.gz,liver,gamma,mild,darken,gamma:mild:darken,gamma,1.1,encoder_layer_3,0.05191044500097632,0.011645833679950167,1.0,80,0.0006654596654698253,0.003334289649501443,0.9817050809224958,0.9640675432337854,0.8084177476279971,0.8076008922315612,-0.0008168553964359448,0.8226105605882521,0.8220425124737487,-0.0005680481145033944,0.6784405743025589,0.6772907552262245,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,True
