case,action,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,raw_action_generation
HEM_PA99.nii.gz,gamma:-0.30,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HEM_PA99.nii.gz,gamma:+0.30,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HEM_PA99.nii.gz,gaussian_noise:+0.02,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HEM_PA99.nii.gz,gaussian_noise:+0.05,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HEM_PA99.nii.gz,bias_field:+0.05,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HEM_PA99.nii.gz,bias_field:+0.15,18290664,18290664,True,True,"[1, 23, 779, 1022]","[1, 23, 779, 1022]",True,True,80,80,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,gamma:-0.30,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,gamma:+0.30,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,gaussian_noise:+0.02,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,gaussian_noise:+0.05,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,bias_field:+0.05,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HCC_10140276_20170721.nii.gz,bias_field:+0.15,3555835,3555835,True,True,"[1, 23, 310, 499]","[1, 23, 310, 499]",True,True,15,15,True,V0 stable case/action/seed
HEM_PA97.nii.gz,gamma:-0.30,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
