case,action_type,action,prediction_mse,prediction_mae,mask_consistency,effective_voxel_weight,patch_voxel_observations,metric_scope,gt_used
HEM_PA99.nii.gz,imagined_wp,gamma:-0.30,3.5822069690935734e-06,9.970398618277923e-05,0.9999104351390189,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,imagined_wp,gamma:+0.30,4.476977277766427e-06,0.0001091229613535663,0.9998995835996107,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,imagined_wp,gaussian_noise:+0.02,1.0309187166330764e-05,0.0001563868773423333,0.9998616514589184,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,imagined_wp,gaussian_noise:+0.05,3.577538322301661e-05,0.000262430126347704,0.999779984425187,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,imagined_wp,bias_field:+0.05,6.88733311664904e-05,0.0002985495061309765,0.9997535792852104,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,imagined_wp,bias_field:+0.15,0.0004769649753290472,0.0009554125015181639,0.9990565277483148,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,real_mri,gamma:-0.30,0.0007130359470712583,0.0015987801387555187,0.9984813421881972,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,real_mri,gamma:+0.30,0.0007156080219624163,0.0014604221367944812,0.9986338729634879,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,real_mri,gaussian_noise:+0.02,0.0003273618686880612,0.0009728401783754462,0.9991550821324846,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
HEM_PA99.nii.gz,real_mri,gaussian_noise:+0.05,0.0012811424678633603,0.002376512956895772,0.9978096637910723,152858496.625,566231040,inverse-overlap-normalized patch predictions,False
