case,patch_count,action_count,mean_normalized_mse,gradient_norm,optimizer_updates,gamma_minus0.30_mean_normalized_mse,gamma_plus0.30_mean_normalized_mse,gaussian_noise_plus0.02_mean_normalized_mse,gaussian_noise_plus0.05_mean_normalized_mse,bias_field_plus0.05_mean_normalized_mse,bias_field_plus0.15_mean_normalized_mse,epoch,case_position,epoch_mean_normalized_mse
CYST_PA69.nii.gz,60,6,0.040372124179783794,0.0024184028152376413,1,0.026536837484066687,0.017170361444974937,0.013497266607979933,0.06927475181097785,0.014499037340283395,0.10125449039041996,1,1,0.0354493199072927
CYST_PA37.nii.gz,16,6,0.038058234179819316,0.002583787078037858,1,0.014916855667252094,0.01007515745004639,0.00734803851810284,0.04552768904250115,0.02285346674034372,0.12762819766066968,1,2,0.0354493199072927
CYST_PA53.nii.gz,2,6,0.01150501057660828,0.0019374866969883442,1,0.012971018441021442,0.006437272531911731,0.002815122017636895,0.01877417229115963,0.0034458471927791834,0.0245866309851408,1,3,0.0354493199072927
HEM_PA24.nii.gz,16,6,0.0350696530440473,0.003774406621232629,1,0.01303602708503604,0.008734302798984572,0.005606468752375804,0.03919316234532744,0.022749224241124466,0.12109873304143548,1,4,0.0354493199072927
CYST_PA74.nii.gz,20,6,0.05148917053787348,0.006348731461912394,1,0.014699594955891371,0.008820050721988082,0.01130200516199693,0.058606694964691994,0.04567440925166011,0.1698322681710124,1,5,0.0354493199072927
FNH_PA32.nii.gz,3,6,0.018145957340796787,0.00370954442769289,1,0.014646987120310465,0.00870467039446036,0.007541876131047805,0.041393723959724106,0.004763176819930474,0.03182530961930752,1,6,0.0354493199072927
HCC_10074592_20130816.nii.gz,15,6,0.0299642541187091,0.004356847610324621,1,0.020068480012317497,0.013808968290686608,0.007264280288169781,0.042191802710294726,0.010812744125723838,0.08563924928506216,1,7,0.0354493199072927
HCC_10142924_20170911.nii.gz,15,6,0.052894790061853,0.0036285840906202793,1,0.018471743787328403,0.014154645800590514,0.010389967542141675,0.05513233890136083,0.03367100320756435,0.18554904113213222,1,8,0.0354493199072927
ICC_PA18.nii.gz,20,6,0.04356914050877094,0.003830360248684883,1,0.028060685936361553,0.02014294508844614,0.01449503363110125,0.06896608183160424,0.024636014876887203,0.10511408168822527,1,9,0.0354493199072927
HCC_10081574_20140213.nii.gz,12,6,0.029618981941085722,0.002004903508350253,1,0.01849562837742269,0.01363990044531723,0.007022349629551172,0.042007644505550466,0.01076422460998098,0.0857841440786918,1,10,0.0354493199072927
FNH_PA10.nii.gz,20,6,0.05082952303346246,0.005292401183396578,1,0.023587298486381768,0.014472228800877928,0.03894501472823322,0.1214809339493513,0.021700075222179295,0.08479158701375127,1,11,0.0354493199072927
HEM_PA66.nii.gz,3,6,0.017162318845900398,0.0033892446663230658,1,0.014611429534852505,0.008655508359273275,0.004801857052370906,0.03182002902030945,0.00557140214368701,0.03751368696490923,1,12,0.0354493199072927
CYST_PA54.nii.gz,2,6,0.011668707166487971,0.0033041820861399174,1,0.011565560474991798,0.007215396035462618,0.0030023051658645272,0.01909487135708332,0.0034335929667577147,0.025700516998767853,1,13,0.0354493199072927
CYST_PA56.nii.gz,20,6,0.03818915012331369,0.004209151957184076,1,0.013845776440575719,0.010424773138947786,0.006377463683020323,0.04057819973677397,0.02754573319107294,0.1303629545494914,1,14,0.0354493199072927
HCC_10140276_20170721.nii.gz,15,6,0.024643667132800653,0.002455592853948474,1,0.017116088358064493,0.012686537019908429,0.00585496771770219,0.036815281088153524,0.008375503309071063,0.06701362530390421,1,15,0.0354493199072927
HEM_PA13.nii.gz,20,6,0.03235174936902088,0.003045221557840705,1,0.014480808842927217,0.011134613817557693,0.00793830034090206,0.046017903927713634,0.015379021526314318,0.09915984775871038,1,16,0.0354493199072927
HEM_PA99.nii.gz,80,6,0.04322909135468459,0.002431100932881236,1,0.03151685025077313,0.01892158023547381,0.013593759620562196,0.06833330586086958,0.01833511095610447,0.10867394120432436,1,17,0.0354493199072927
MET_PA25.nii.gz,20,6,0.047978035610867664,0.0047528394497931,1,0.016912532877177,0.011865399219095707,0.008208062790799886,0.04789839619770646,0.03954785140231252,0.16343597117811443,1,18,0.0354493199072927
HEM_PA97.nii.gz,50,6,0.05528412691162278,0.0028096616733819246,1,0.02993488039821386,0.021596417594701052,0.017710108151659368,0.07943972915410996,0.030035863779485226,0.15298776239156722,1,19,0.0354493199072927
HCC_PA0.nii.gz,25,6,0.03972263823884229,0.003746224567294121,1,0.02666355438530445,0.01627334166318178,0.024796964284032583,0.09601569391787051,0.013287871070206165,0.06129840411245823,1,20,0.0354493199072927
HCC_10147777_20171222.nii.gz,12,6,0.03234991923737754,0.002427581464871764,1,0.017603973702838022,0.013268834057574471,0.006940086313989013,0.03833775967359543,0.014607547355505327,0.10334131432076295,1,21,0.0354493199072927
HEM_PA34.nii.gz,20,6,0.04736043976736255,0.004642200656235218,1,0.01662165792658925,0.011069190129637719,0.011332762509118766,0.057422056887298824,0.03653365224599838,0.15118331890553235,1,22,0.0354493199072927
MET_PA13.nii.gz,20,6,0.05476378621921564,0.004860963672399521,1,0.019222752982750536,0.013553458941169083,0.011994613008573652,0.06068962886929512,0.048532848432660106,0.17458941508084536,1,23,0.0354493199072927
CYST_PA38.nii.gz,3,6,0.012321994019051393,0.006033519748598337,1,0.013355440770586332,0.007452466835578282,0.00475084603143235,0.02661277229587237,0.0030795350515594087,0.018680903129279613,1,24,0.0354493199072927
MET_PA19.nii.gz,20,6,0.046082805197996395,0.0030968287028372288,1,0.015034639881923795,0.010609994130209088,0.010237017087638378,0.05219499701634049,0.03797327694483101,0.15044690612703562,1,25,0.0354493199072927
CYST_PA20.nii.gz,12,6,0.014941928652761918,0.00510737719014287,1,0.013064605494340261,0.008823076728731394,0.003713212189419816,0.021925256742785375,0.004738625565854211,0.03738679519544045,1,26,0.0354493199072927
