variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,foreground_dice,pseudo_label_method,delta_dice_vs_A_init,delta_iou_vs_A_init
A_init_no_adaptation,full_window_case_balanced,0,CYST_PA62.nii.gz,full_volume,382695,186539,11904531,830631,0.42937685127008346,0.6722982112804224,0.31540987335637743,0.2733799330649741,0.2733799330649741,0.42937685127008346,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA29.nii.gz,full_volume,545731,135941,14365566,866324,0.5213010101125887,0.8005771103991363,0.3864799883857215,0.3525403166416451,0.3525403166416451,0.5213010101125887,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEP_PA28.nii.gz,full_volume,397741,139838,6828947,510629,0.5501452679174715,0.7398745114671518,0.4378623248235851,0.3794485445636744,0.3794485445636744,0.5501452679174715,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA107.nii.gz,full_volume,386717,31794,11746807,433898,0.6241770409143219,0.9240306706394814,0.47125265806742506,0.4536754069935911,0.4536754069935911,0.6241770409143219,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA81.nii.gz,full_volume,983408,162878,13579931,559031,0.731505081404755,0.8579080613389678,0.6375668665016898,0.5766716686692269,0.5766716686692269,0.731505081404755,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA89.nii.gz,full_volume,480675,135927,6948819,177552,0.7541011382703092,0.7795547208734321,0.7302571909083037,0.6052667366782765,0.6052667366782765,0.7541011382703092,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA101.nii.gz,full_volume,756550,118064,13318328,263248,0.7987174912321079,0.8650101644839895,0.7418626041627852,0.6648873061935454,0.6648873061935454,0.7987174912321079,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HCC_10020116_20180118.nii.gz,full_volume,221528,69567,2977338,36115,0.8074090002879334,0.7610161631082636,0.8598254173410494,0.6770208734451881,0.6770208734451881,0.8074090002879334,none,0.0,0.0
B_source_hard_pseudo,full_window_case_balanced,30,CYST_PA62.nii.gz,full_volume,626272,359337,11731733,587054,0.5696139267418091,0.6354162756224832,0.5161613614148217,0.39822390429481713,0.39822390429481713,0.5696139267418091,source_hard,0.14023707547172565,0.12484397122984303
B_source_hard_pseudo,full_window_case_balanced,30,HEM_PA29.nii.gz,full_volume,902553,343575,14157932,509502,0.6790751426820502,0.7242859481529987,0.6391769442408405,0.5140906683071035,0.5140906683071035,0.6790751426820502,source_hard,0.1577741325694615,0.1615503516654584
B_source_hard_pseudo,full_window_case_balanced,30,HEP_PA28.nii.gz,full_volume,576194,358463,6610322,332176,0.6252691903048626,0.6164764186220185,0.6343164129154419,0.4548302736035452,0.4548302736035452,0.6252691903048626,source_hard,0.07512392238739107,0.07538172903987084
B_source_hard_pseudo,full_window_case_balanced,30,HEM_PA107.nii.gz,full_volume,575453,144039,11634562,245162,0.7472896363694211,0.7998045843456216,0.701246016706982,0.596538240654162,0.596538240654162,0.7472896363694211,source_hard,0.12311259545509923,0.14286283366057095
