variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,foreground_dice,pseudo_label_method,delta_dice_vs_A_init,delta_iou_vs_A_init
A_init_no_adaptation,full_window_case_balanced,0,CYST_PA62.nii.gz,full_volume,382695,186539,11904531,830631,0.42937685127008346,0.6722982112804224,0.31540987335637743,0.2733799330649741,0.2733799330649741,0.42937685127008346,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA29.nii.gz,full_volume,545731,135941,14365566,866324,0.5213010101125887,0.8005771103991363,0.3864799883857215,0.3525403166416451,0.3525403166416451,0.5213010101125887,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEP_PA28.nii.gz,full_volume,397741,139838,6828947,510629,0.5501452679174715,0.7398745114671518,0.4378623248235851,0.3794485445636744,0.3794485445636744,0.5501452679174715,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA107.nii.gz,full_volume,386717,31794,11746807,433898,0.6241770409143219,0.9240306706394814,0.47125265806742506,0.4536754069935911,0.4536754069935911,0.6241770409143219,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA81.nii.gz,full_volume,983408,162878,13579931,559031,0.731505081404755,0.8579080613389678,0.6375668665016898,0.5766716686692269,0.5766716686692269,0.731505081404755,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA89.nii.gz,full_volume,480675,135927,6948819,177552,0.7541011382703092,0.7795547208734321,0.7302571909083037,0.6052667366782765,0.6052667366782765,0.7541011382703092,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HEM_PA101.nii.gz,full_volume,756550,118064,13318328,263248,0.7987174912321079,0.8650101644839895,0.7418626041627852,0.6648873061935454,0.6648873061935454,0.7987174912321079,none,0.0,0.0
A_init_no_adaptation,full_window_case_balanced,0,HCC_10020116_20180118.nii.gz,full_volume,221528,69567,2977338,36115,0.8074090002879334,0.7610161631082636,0.8598254173410494,0.6770208734451881,0.6770208734451881,0.8074090002879334,none,0.0,0.0
B_source_hard_pseudo,full_window_case_balanced,150,CYST_PA62.nii.gz,full_volume,650315,419877,11671193,563011,0.5695729133731374,0.6076619896242917,0.535977140521179,0.39818381425946436,0.39818381425946436,0.5695729133731374,source_hard,0.14019606210305396,0.12480388119449026
B_source_hard_pseudo,full_window_case_balanced,150,HEM_PA29.nii.gz,full_volume,871827,369083,14132424,540228,0.6572472686220888,0.7025706940874036,0.6174171685947077,0.48947751381420196,0.48947751381420196,0.6572472686220888,source_hard,0.13594625850950015,0.13693719717255687
B_source_hard_pseudo,full_window_case_balanced,150,HEP_PA28.nii.gz,full_volume,606684,403894,6564891,301686,0.6323089526136195,0.6003336704341475,0.6678820304501469,0.4623185578511641,0.4623185578511641,0.6323089526136195,source_hard,0.08216368469614799,0.08287001328748972
B_source_hard_pseudo,full_window_case_balanced,150,HEM_PA107.nii.gz,full_volume,588371,182987,11595614,232244,0.73917208394866,0.7627729277456123,0.7169878688544568,0.5862592940229294,0.5862592940229294,0.73917208394866,source_hard,0.11499504303433805,0.13258388702933832
