epoch,split,samples,nmse
1,train,360,0.015971161929580074
2,train,360,0.009310929007673016
3,train,360,0.008063690484656641
4,train,360,0.007627416673737268
5,train,360,0.006818862631917
6,train,360,0.005994387145619839
7,train,360,0.0053143778738255305
8,train,360,0.004971815040335059
9,train,360,0.004473262806034957
10,train,360,0.00421048398129642
11,train,360,0.004747092432808131
12,train,360,0.005268452659947798
13,train,360,0.003549159436564272
14,train,360,0.003751979257989054
15,train,360,0.00517742751011004
16,train,360,0.003921645334533726
17,train,360,0.0036916298946986594
18,train,360,0.0034503810456953943
19,train,360,0.00531341271319737
20,train,360,0.004388238807829718
21,train,360,0.002784415216107542
22,train,360,0.0025521101779304445
23,train,360,0.002343728323467076
24,train,360,0.0023754296513895192
25,train,360,0.0017903123322563867
26,train,360,0.0017862864867007981
27,train,360,0.0016899304221927498
28,train,360,0.00169671667390503
29,train,360,0.0022900692905144147
30,train,360,0.0020357627508929
31,train,360,0.0019291415325521182
32,train,360,0.001543256308650598
33,train,360,0.0014927269561061014
34,train,360,0.0013413785685164232
35,train,360,0.0012221436045365408
36,train,360,0.001114744921020853
37,train,360,0.0010937366556997101
38,train,360,0.0011585380319350709
39,train,360,0.001236164408813541
40,train,360,0.0013023893504093091
41,train,360,0.0012458727336100612
42,train,360,0.0014953217760194093
43,train,360,0.0010912339251566057
44,train,360,0.0011104142904514447
45,train,360,0.0010076478744546573
46,train,360,0.0009265325255303954
47,train,360,0.0008995583436141411
48,train,360,0.0008807341218926013
49,train,360,0.0008624072749322901
50,train,360,0.000796412462174582
51,train,360,0.0007895836412596206
52,train,360,0.0007692045764997602
53,train,360,0.0007545885115784282
54,train,360,0.0007550540758529678
55,train,360,0.000778307691992571
56,train,360,0.0008357936021639034
57,train,360,0.0007528654532507062
58,train,360,0.0007237959798658267
59,train,360,0.0006771662277363552
60,train,360,0.0006453294821161156
61,train,360,0.0006026450622205933
62,train,360,0.0005930201781059926
63,train,360,0.0005647475360698687
64,train,360,0.0005782730634867524
65,train,360,0.0006063012357723588
66,train,360,0.0006213165955462804
67,train,360,0.0005806549913055884
68,train,360,0.0005543843993412642
69,train,360,0.0005865552229806781
70,train,360,0.0005860065333157157
71,train,360,0.0005732724166591652
72,train,360,0.0005896232372227436
73,train,360,0.0006382420688169077
74,train,360,0.0006333352115082865
75,train,360,0.0005970418230087186
76,train,360,0.0005995787287247367
77,train,360,0.0007958384182226533
78,train,360,0.0006968191495010009
79,train,360,0.0006355373576904336
80,train,360,0.0006093862466514111
81,train,360,0.0006760247197235003
82,train,360,0.0011892365340221052
83,train,360,0.0009144458502608662
84,train,360,0.0015289831256571536
85,train,360,0.00143484592748185
86,train,360,0.0012571639963425696
87,train,360,0.0013236875044337164
88,train,360,0.0016394513368140906
89,train,360,0.003039505856577307
90,train,360,0.00516495417105034
91,train,360,0.004305735977444177
92,train,360,0.0029721793349987515
93,train,360,0.0018109745675853144
94,train,360,0.0016705076171395679
95,train,360,0.0031307746927874782
96,train,360,0.00545965939333352
97,train,360,0.002307721588294953
98,train,360,0.002069437308819033
99,train,360,0.001538127248447078
100,train,360,0.001091230728585894
