step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall,all,identity,0.031092775490748202,0.014969593063866677
0,train,overall,all,action_agnostic,0.031092775490748202,0.014969593063866677
0,train,overall,all,action_conditioned,0.031092775490748202,0.014969593063866677
0,train,overall,all,action_conditioned_wrong_action,0.031092775490748202,0.014969593063866677
0,val,overall,all,identity,0.029341109015718403,0.014779254475085093
0,val,overall,all,action_agnostic,0.029341109015718403,0.014779254475085093
0,val,overall,all,action_conditioned,0.029341109015718403,0.014779254475085093
0,val,overall,all,action_conditioned_wrong_action,0.029341109015718403,0.014779254475085093
30,train,overall,all,identity,0.031092775490748202,0.014969593063866677
30,train,overall,all,action_agnostic,0.030399844616216233,0.014359488507271565
30,train,overall,all,action_conditioned,0.030380601048289154,0.01434857519208418
30,train,overall,all,action_conditioned_wrong_action,0.030407304429375764,0.014368026013636502
30,val,overall,all,identity,0.029341109015718403,0.014779254475085093
30,val,overall,all,action_agnostic,0.028952193807883355,0.014395083413038386
30,val,overall,all,action_conditioned,0.02894590311727741,0.01438840644250626
30,val,overall,all,action_conditioned_wrong_action,0.028978229371675494,0.014414183075562154
100,train,overall,all,identity,0.031092775490748202,0.014969593063866677
100,train,overall,all,action_agnostic,0.029604019157850416,0.01379097093953527
100,train,overall,all,action_conditioned,0.02946031129220887,0.01366365147293745
100,train,overall,all,action_conditioned_wrong_action,0.029644680417307376,0.013798921276335111
100,val,overall,all,identity,0.029341109015718403,0.014779254475085093
100,val,overall,all,action_agnostic,0.02916989652155145,0.01464639250240397
100,val,overall,all,action_conditioned,0.029103049763787317,0.014579676315046659
100,val,overall,all,action_conditioned_wrong_action,0.029288310502637388,0.014726092202565256
300,train,overall,all,identity,0.031092775490748202,0.014969593063866677
300,train,overall,all,action_agnostic,0.02491368930172451,0.010270570239892238
300,train,overall,all,action_conditioned,0.025372268335722394,0.010327400265810518
300,train,overall,all,action_conditioned_wrong_action,0.028043276767179996,0.012730053598926334
300,val,overall,all,identity,0.029341109015718403,0.014779254475085093
300,val,overall,all,action_agnostic,0.02784103409011402,0.013403865066516932
300,val,overall,all,action_conditioned,0.026986026113952438,0.012443099627729153
300,val,overall,all,action_conditioned_wrong_action,0.03168897592272695,0.016797231658676713
