split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,-0.3,0.02751365676522255,0.013785040937364101,0.0026564160361886024
train,HEM_PA99.nii.gz,0,context,-0.15,0.0061112698167562485,0.0033867706079035997,0.0006165149970911443
train,HEM_PA99.nii.gz,0,context,0.15,0.004824844654649496,0.002661721082404256,0.00043390283826738596
train,HEM_PA99.nii.gz,0,context,0.3,0.01715080998837948,0.008402884006500244,0.0013700069393962622
train,HEM_PA99.nii.gz,1,context,-0.3,0.03459705039858818,0.03358856588602066,0.006692009046673775
train,HEM_PA99.nii.gz,1,context,-0.15,0.007401049602776766,0.009169414639472961,0.0017511657206341624
train,HEM_PA99.nii.gz,1,context,0.15,0.005698063410818577,0.006827020086348057,0.001741419080644846
train,HEM_PA99.nii.gz,1,context,0.3,0.02029278129339218,0.021489407867193222,0.005320313852280378
train,HEM_PA99.nii.gz,2,foreground,-0.3,0.056526243686676025,0.051022157073020935,0.011279653757810593
train,HEM_PA99.nii.gz,2,foreground,-0.15,0.012345952913165092,0.013941713608801365,0.0027991309762001038
train,HEM_PA99.nii.gz,2,foreground,0.15,0.009425106458365917,0.010690438561141491,0.0018572236876934767
train,HEM_PA99.nii.gz,2,foreground,0.3,0.03302767872810364,0.03335544466972351,0.006452132016420364
train,HEM_PA99.nii.gz,3,foreground,-0.3,0.04573864862322807,0.05212538689374924,0.028135767206549644
train,HEM_PA99.nii.gz,3,foreground,-0.15,0.00998635869473219,0.012463477440178394,0.007458437234163284
train,HEM_PA99.nii.gz,3,foreground,0.15,0.0078047034330666065,0.0075797634199261665,0.002050134353339672
train,HEM_PA99.nii.gz,3,foreground,0.3,0.02790507674217224,0.02565513178706169,0.008095388300716877
train,HCC_10140276_20170721.nii.gz,0,context,-0.3,0.01614249497652054,0.009728518314659595,0.001849368680268526
train,HCC_10140276_20170721.nii.gz,0,context,-0.15,0.0036831670440733433,0.0022987721022218466,0.00041286711348220706
train,HCC_10140276_20170721.nii.gz,0,context,0.15,0.0030626612715423107,0.0017757774330675602,0.00035204688902013004
train,HCC_10140276_20170721.nii.gz,0,context,0.3,0.011199763044714928,0.006165549159049988,0.0012887351913377643
train,HCC_10140276_20170721.nii.gz,1,context,-0.3,0.021774113178253174,0.016154732555150986,0.004955689422786236
train,HCC_10140276_20170721.nii.gz,1,context,-0.15,0.0050601353868842125,0.0038289043586701155,0.0012644510716199875
train,HCC_10140276_20170721.nii.gz,1,context,0.15,0.004281491972506046,0.0030076082330197096,0.000910314149223268
train,HCC_10140276_20170721.nii.gz,1,context,0.3,0.015643268823623657,0.009686022996902466,0.0024682977236807346
train,HCC_10140276_20170721.nii.gz,2,foreground,-0.3,0.03577754646539688,0.016193406656384468,0.0028370944783091545
train,HCC_10140276_20170721.nii.gz,2,foreground,-0.15,0.008828860707581043,0.0042999302968382835,0.0007802104228176177
train,HCC_10140276_20170721.nii.gz,2,foreground,0.15,0.00843180250376463,0.004023020621389151,0.000888761889655143
train,HCC_10140276_20170721.nii.gz,2,foreground,0.3,0.032640181481838226,0.013305324129760265,0.0029743516352027655
train,HCC_10140276_20170721.nii.gz,3,foreground,-0.3,0.03526129573583603,0.014978040009737015,0.002374231116846204
train,HCC_10140276_20170721.nii.gz,3,foreground,-0.15,0.008702780120074749,0.003863358637318015,0.0006461068405769765
train,HCC_10140276_20170721.nii.gz,3,foreground,0.15,0.008364088833332062,0.003568893065676093,0.000768579775467515
train,HCC_10140276_20170721.nii.gz,3,foreground,0.3,0.03259645029902458,0.012384901754558086,0.0025593566242605448
