split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,-0.3,0.02751365676522255,0.013785759918391705,0.0026609543710947037
train,HEM_PA99.nii.gz,0,context,-0.15,0.0061112698167562485,0.003387191565707326,0.0006177823524922132
train,HEM_PA99.nii.gz,0,context,0.15,0.004824844654649496,0.002661823993548751,0.0004339848819654435
train,HEM_PA99.nii.gz,0,context,0.3,0.01715080998837948,0.008402668870985508,0.0013692319625988603
train,HEM_PA99.nii.gz,1,context,-0.3,0.03459705039858818,0.03359309211373329,0.006693808827549219
train,HEM_PA99.nii.gz,1,context,-0.15,0.007401049602776766,0.009170413948595524,0.001751454547047615
train,HEM_PA99.nii.gz,1,context,0.15,0.005698063410818577,0.006824772339314222,0.0017389076529070735
train,HEM_PA99.nii.gz,1,context,0.3,0.02029278129339218,0.021486185491085052,0.005321493372321129
train,HEM_PA99.nii.gz,2,foreground,-0.3,0.056526243686676025,0.05101899802684784,0.011278999969363213
train,HEM_PA99.nii.gz,2,foreground,-0.15,0.012345952913165092,0.013941927812993526,0.0028016234282404184
train,HEM_PA99.nii.gz,2,foreground,0.15,0.009425106458365917,0.010689771734178066,0.0018576043657958508
train,HEM_PA99.nii.gz,2,foreground,0.3,0.03302767872810364,0.03336183726787567,0.006466146092861891
train,HEM_PA99.nii.gz,3,foreground,-0.3,0.04573864862322807,0.05210043489933014,0.028033580631017685
train,HEM_PA99.nii.gz,3,foreground,-0.15,0.00998635869473219,0.012458816170692444,0.007443356793373823
train,HEM_PA99.nii.gz,3,foreground,0.15,0.0078047034330666065,0.007584411650896072,0.0020687300711870193
train,HEM_PA99.nii.gz,3,foreground,0.3,0.02790507674217224,0.025665558874607086,0.008130880072712898
train,HCC_10140276_20170721.nii.gz,0,context,-0.3,0.01614249497652054,0.00972714927047491,0.0018514678813517094
train,HCC_10140276_20170721.nii.gz,0,context,-0.15,0.0036831670440733433,0.0022989336866885424,0.0004131884197704494
train,HCC_10140276_20170721.nii.gz,0,context,0.15,0.0030626612715423107,0.001773686963133514,0.0003510596579872072
train,HCC_10140276_20170721.nii.gz,0,context,0.3,0.011199763044714928,0.006163220852613449,0.001288741477765143
