step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,strengths,+0.30,identity,0.011704817380708662,0.002139887823670702
0,train,strengths,+0.30,action_agnostic,0.011704817380708662,0.002139887823670702
0,train,strengths,+0.30,action_conditioned,0.011704817380708662,0.002139887823670702
0,train,strengths,+0.30,action_conditioned_wrong_action,0.011704817380708662,0.002139887823670702
0,train,strengths,-0.30,identity,0.018580981425625323,0.0033573995638893255
0,train,strengths,-0.30,action_agnostic,0.018580981425625323,0.0033573995638893255
0,train,strengths,-0.30,action_conditioned,0.018580981425625323,0.0033573995638893255
0,train,strengths,-0.30,action_conditioned_wrong_action,0.018580981425625323,0.0033573995638893255
0,train,case_names,HEM_PA99.nii.gz,identity,0.015141806617881679,0.0027475011181370274
0,train,case_names,HEM_PA99.nii.gz,action_agnostic,0.015141806617881679,0.0027475011181370274
0,train,case_names,HEM_PA99.nii.gz,action_conditioned,0.015141806617881679,0.0027475011181370274
0,train,case_names,HEM_PA99.nii.gz,action_conditioned_wrong_action,0.015141806617881679,0.0027475011181370274
0,val,strengths,+0.30,identity,0.016185216897669778,0.002977575032699458
0,val,strengths,+0.30,action_agnostic,0.016185216897669778,0.002977575032699458
0,val,strengths,+0.30,action_conditioned,0.016185216897669778,0.002977575032699458
0,val,strengths,+0.30,action_conditioned_wrong_action,0.016185216897669778,0.002977575032699458
0,val,strengths,-0.30,identity,0.022464568507998398,0.003878009439054018
0,val,strengths,-0.30,action_agnostic,0.022464568507998398,0.003878009439054018
0,val,strengths,-0.30,action_conditioned,0.022464568507998398,0.003878009439054018
0,val,strengths,-0.30,action_conditioned_wrong_action,0.022464568507998398,0.003878009439054018
0,val,case_names,CYST_PA62.nii.gz,identity,0.01928624078895776,0.0034169793756893426
0,val,case_names,CYST_PA62.nii.gz,action_agnostic,0.01928624078895776,0.0034169793756893426
0,val,case_names,CYST_PA62.nii.gz,action_conditioned,0.01928624078895776,0.0034169793756893426
0,val,case_names,CYST_PA62.nii.gz,action_conditioned_wrong_action,0.01928624078895776,0.0034169793756893426
1,train,strengths,+0.30,identity,0.011704817380708662,0.002139887823670702
1,train,strengths,+0.30,action_agnostic,0.011682731898147393,0.0020869599709651123
1,train,strengths,+0.30,action_conditioned,0.011682080729128387,0.002088719446507292
1,train,strengths,+0.30,action_conditioned_wrong_action,0.011682150136678863,0.002087358822187872
1,train,strengths,-0.30,identity,0.018580981425625323,0.0033573995638893255
1,train,strengths,-0.30,action_agnostic,0.018560779831342474,0.0033515407992020267
1,train,strengths,-0.30,action_conditioned,0.018561320291547063,0.0033519476743362124
1,train,strengths,-0.30,action_conditioned_wrong_action,0.018561181388223456,0.003351673260980406
1,train,case_names,HEM_PA99.nii.gz,identity,0.015141806617881679,0.0027475011181370274
1,train,case_names,HEM_PA99.nii.gz,action_agnostic,0.015120663412265005,0.0027180638457758215
1,train,case_names,HEM_PA99.nii.gz,action_conditioned,0.015120607237409794,0.0027191482901400836
1,train,case_names,HEM_PA99.nii.gz,action_conditioned_wrong_action,0.015120572522611628,0.002718329752204871
1,val,strengths,+0.30,identity,0.016185216897669778,0.002977575032699458
1,val,strengths,+0.30,action_agnostic,0.01616607520308636,0.00291907813238533
1,val,strengths,+0.30,action_conditioned,0.016165559231645976,0.002920472391691894
1,val,strengths,+0.30,action_conditioned_wrong_action,0.016165375560313566,0.0029195994166530364
1,val,strengths,-0.30,identity,0.022464568507998398,0.003878009439054018
1,val,strengths,-0.30,action_agnostic,0.02248852825328805,0.003931629106008602
1,val,strengths,-0.30,action_conditioned,0.022491052287243407,0.0039323796697407236
1,val,strengths,-0.30,action_conditioned_wrong_action,0.02249007883744512,0.0039313833527432835
1,val,case_names,CYST_PA62.nii.gz,identity,0.01928624078895776,0.0034169793756893426
1,val,case_names,CYST_PA62.nii.gz,action_agnostic,0.01928838512777216,0.0034131945982536892
1,val,case_names,CYST_PA62.nii.gz,action_conditioned,0.019289370447176036,0.003414274649335889
1,val,case_names,CYST_PA62.nii.gz,action_conditioned_wrong_action,0.019288796747858324,0.0034133413943099444
