step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall,all,identity,0.015141806617881679,0.0027475011181370274
0,train,overall,all,action_agnostic,0.015141806617881679,0.0027475011181370274
0,train,overall,all,action_conditioned,0.015141806617881679,0.0027475011181370274
0,train,overall,all,action_conditioned_wrong_action,0.015141806617881679,0.0027475011181370274
0,val,overall,all,identity,0.01928624078895776,0.0034169793756893426
0,val,overall,all,action_agnostic,0.01928624078895776,0.0034169793756893426
0,val,overall,all,action_conditioned,0.01928624078895776,0.0034169793756893426
0,val,overall,all,action_conditioned_wrong_action,0.01928624078895776,0.0034169793756893426
1,train,overall,all,identity,0.015141806617881679,0.0027475011181370274
1,train,overall,all,action_agnostic,0.015120663412265005,0.0027180638457758215
1,train,overall,all,action_conditioned,0.015120607237409794,0.0027191482901400836
1,train,overall,all,action_conditioned_wrong_action,0.015120572522611628,0.002718329752204871
1,val,overall,all,identity,0.01928624078895776,0.0034169793756893426
1,val,overall,all,action_agnostic,0.01928838512777216,0.0034131945982536892
1,val,overall,all,action_conditioned,0.019289370447176036,0.003414274649335889
1,val,overall,all,action_conditioned_wrong_action,0.019288796747858324,0.0034133413943099444
