split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,contrast,-0.3,0.18367348611354828,2.1972043668938568e-06,4.4325193471195234e-07
train,HEM_PA99.nii.gz,0,context,contrast,-0.15,0.03114185854792595,1.5591472219966818e-06,3.4778861390805105e-07
train,HEM_PA99.nii.gz,0,context,contrast,0.15,0.010129990987479687,0.011476553976535797,0.001980916131287813
train,HEM_PA99.nii.gz,0,context,contrast,0.3,0.025163255631923676,0.04020507261157036,0.008643100969493389
train,HEM_PA99.nii.gz,1,context,contrast,-0.3,0.18367348611354828,4.2211390791635495e-06,7.843277103347646e-07
train,HEM_PA99.nii.gz,1,context,contrast,-0.15,0.0311418529599905,2.533185806896654e-06,4.987109605281148e-07
train,HEM_PA99.nii.gz,1,context,contrast,0.15,0.016407927498221397,9.818361286306754e-05,2.7554389816941693e-05
train,HEM_PA99.nii.gz,1,context,contrast,0.3,0.04548143595457077,0.00291638751514256,0.0012090596137568355
train,HEM_PA99.nii.gz,2,foreground,contrast,-0.3,0.18367347121238708,4.233052550262073e-06,1.0056223800347652e-06
train,HEM_PA99.nii.gz,2,foreground,contrast,-0.15,0.03114185854792595,2.5357719550811453e-06,5.541687073673529e-07
train,HEM_PA99.nii.gz,2,foreground,contrast,0.15,0.017010845243930817,2.2735562197340187e-06,5.946683927504637e-07
train,HEM_PA99.nii.gz,2,foreground,contrast,0.3,0.053100477904081345,3.424982787691988e-05,8.130168680509087e-06
train,HEM_PA99.nii.gz,3,foreground,contrast,-0.3,0.18367350101470947,3.360878054081695e-06,7.252164095916669e-07
train,HEM_PA99.nii.gz,3,foreground,contrast,-0.15,0.03114185482263565,2.0588272491295356e-06,4.840298970520962e-07
train,HEM_PA99.nii.gz,3,foreground,contrast,0.15,0.016892561689019203,2.1738995201303624e-05,4.094606083526742e-06
train,HEM_PA99.nii.gz,3,foreground,contrast,0.3,0.05207671597599983,0.0007619837997481227,0.00014491974434349686
val,CYST_PA62.nii.gz,0,context,contrast,-0.3,0.18367350101470947,2.8609197215700988e-06,6.2147279322744e-07
val,CYST_PA62.nii.gz,0,context,contrast,-0.15,0.0311418529599905,1.7551368500789977e-06,3.669991883725743e-07
val,CYST_PA62.nii.gz,0,context,contrast,0.15,0.010217956267297268,0.00491440761834383,0.0007956376066431403
val,CYST_PA62.nii.gz,0,context,contrast,0.3,0.029747210443019867,0.015815071761608124,0.0027262382209300995
val,CYST_PA62.nii.gz,1,context,contrast,-0.3,0.1836734265089035,1.2066596354998183e-05,2.216604116256349e-06
val,CYST_PA62.nii.gz,1,context,contrast,-0.15,0.0311418529599905,3.3580993203941034e-06,9.322769187747326e-07
val,CYST_PA62.nii.gz,1,context,contrast,0.15,0.016954852268099785,4.879871539742453e-06,1.1495308172015939e-06
val,CYST_PA62.nii.gz,1,context,contrast,0.3,0.051021043211221695,0.0002653609262779355,6.441532605094835e-05
val,CYST_PA62.nii.gz,2,foreground,contrast,-0.3,0.18367339670658112,5.779612820333568e-06,1.3459808769766823e-06
val,CYST_PA62.nii.gz,2,foreground,contrast,-0.15,0.031141845509409904,2.979296823468758e-06,8.837667451189191e-07
val,CYST_PA62.nii.gz,2,foreground,contrast,0.15,0.016023783013224602,0.00016495573800057173,7.758605352137238e-05
val,CYST_PA62.nii.gz,2,foreground,contrast,0.3,0.05000298097729683,0.0006761721451766789,0.00031581686926074326
val,CYST_PA62.nii.gz,3,foreground,contrast,-0.3,0.18367348611354828,5.341619726095814e-06,1.4678211073260172e-06
val,CYST_PA62.nii.gz,3,foreground,contrast,-0.15,0.0311418529599905,2.6847926619666396e-06,6.590307748410851e-07
val,CYST_PA62.nii.gz,3,foreground,contrast,0.15,0.014374736696481705,0.4178423285484314,0.16536927223205566
val,CYST_PA62.nii.gz,3,foreground,contrast,0.3,0.0437532477080822,0.4305790960788727,0.1553104966878891
