step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,action_families,blur,identity,0.054064589362339086,0.01383994487429687
0,train,action_families,blur,action_agnostic,0.054064589362339086,0.01383994487429687
0,train,action_families,blur,action_conditioned,0.054064589362339086,0.01383994487429687
0,train,action_families,blur,action_conditioned_wrong_strength,0.054064589362339086,0.01383994487429687
0,train,action_families,blur,action_conditioned_wrong_type,0.054064589362339086,0.01383994487429687
0,train,strengths,+0.50,identity,0.003962193120051306,0.000751571329370396
0,train,strengths,+0.50,action_agnostic,0.003962193120051306,0.000751571329370396
0,train,strengths,+0.50,action_conditioned,0.003962193120051306,0.000751571329370396
0,train,strengths,+0.50,action_conditioned_wrong_strength,0.003962193120051306,0.000751571329370396
0,train,strengths,+0.50,action_conditioned_wrong_type,0.003962193120051306,0.000751571329370396
0,train,strengths,+1.50,identity,0.1049270002467749,0.027378796278938355
0,train,strengths,+1.50,action_agnostic,0.1049270002467749,0.027378796278938355
0,train,strengths,+1.50,action_conditioned,0.1049270002467749,0.027378796278938355
0,train,strengths,+1.50,action_conditioned_wrong_strength,0.1049270002467749,0.027378796278938355
0,train,strengths,+1.50,action_conditioned_wrong_type,0.1049270002467749,0.027378796278938355
0,train,case_names,HCC_10140276_20170721.nii.gz,identity,0.059175265392813356,0.017630273101730314
0,train,case_names,HCC_10140276_20170721.nii.gz,action_agnostic,0.059175265392813356,0.017630273101730314
0,train,case_names,HCC_10140276_20170721.nii.gz,action_conditioned,0.059175265392813356,0.017630273101730314
0,train,case_names,HCC_10140276_20170721.nii.gz,action_conditioned_wrong_strength,0.059175265392813356,0.017630273101730314
0,train,case_names,HCC_10140276_20170721.nii.gz,action_conditioned_wrong_type,0.059175265392813356,0.017630273101730314
0,train,case_names,HEM_PA99.nii.gz,identity,0.05041453451260128,0.011089754217978446
0,train,case_names,HEM_PA99.nii.gz,action_agnostic,0.05041453451260128,0.011089754217978446
0,train,case_names,HEM_PA99.nii.gz,action_conditioned,0.05041453451260128,0.011089754217978446
0,train,case_names,HEM_PA99.nii.gz,action_conditioned_wrong_strength,0.05041453451260128,0.011089754217978446
0,train,case_names,HEM_PA99.nii.gz,action_conditioned_wrong_type,0.05041453451260128,0.011089754217978446
0,val,action_families,blur,identity,0.056978469159362485,0.020514788720601185
0,val,action_families,blur,action_agnostic,0.056978469159362485,0.020514788720601185
0,val,action_families,blur,action_conditioned,0.056978469159362485,0.020514788720601185
0,val,action_families,blur,action_conditioned_wrong_strength,0.056978469159362485,0.020514788720601185
0,val,action_families,blur,action_conditioned_wrong_type,0.056978469159362485,0.020514788720601185
0,val,strengths,+0.50,identity,0.010131251153015752,0.004964589486161418
0,val,strengths,+0.50,action_agnostic,0.010131251153015752,0.004964589486161418
0,val,strengths,+0.50,action_conditioned,0.010131251153015752,0.004964589486161418
0,val,strengths,+0.50,action_conditioned_wrong_strength,0.010131251153015752,0.004964589486161418
0,val,strengths,+0.50,action_conditioned_wrong_type,0.010131251153015752,0.004964589486161418
0,val,strengths,+1.50,identity,0.10423026340876315,0.03648877129809502
0,val,strengths,+1.50,action_agnostic,0.10423026340876315,0.03648877129809502
0,val,strengths,+1.50,action_conditioned,0.10423026340876315,0.03648877129809502
0,val,strengths,+1.50,action_conditioned_wrong_strength,0.10423026340876315,0.03648877129809502
0,val,strengths,+1.50,action_conditioned_wrong_type,0.10423026340876315,0.03648877129809502
0,val,case_names,CYST_PA62.nii.gz,identity,0.056978469159362485,0.020514788720601185
0,val,case_names,CYST_PA62.nii.gz,action_agnostic,0.056978469159362485,0.020514788720601185
0,val,case_names,CYST_PA62.nii.gz,action_conditioned,0.056978469159362485,0.020514788720601185
0,val,case_names,CYST_PA62.nii.gz,action_conditioned_wrong_strength,0.056978469159362485,0.020514788720601185
0,val,case_names,CYST_PA62.nii.gz,action_conditioned_wrong_type,0.056978469159362485,0.020514788720601185
