split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.002912488766014576,0.0004952667513862252
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.05313757061958313,0.013173346407711506
train,HEM_PA99.nii.gz,1,context,blur,0.5,0.006554374936968088,0.006116378586739302,0.0012740975944325328
train,HEM_PA99.nii.gz,1,context,blur,1.5,0.13319097459316254,0.1311853528022766,0.0331694558262825
train,HEM_PA99.nii.gz,2,foreground,blur,0.5,0.011980723589658737,0.007410295307636261,0.0017825404647737741
train,HEM_PA99.nii.gz,2,foreground,blur,1.5,0.23483604192733765,0.154457226395607,0.04090117663145065
train,HEM_PA99.nii.gz,3,foreground,blur,0.5,0.008623800240457058,0.006332751363515854,0.0016011421103030443
train,HEM_PA99.nii.gz,3,foreground,blur,1.5,0.17088784277439117,0.1364886313676834,0.025085125118494034
train,HCC_10140276_20170721.nii.gz,0,context,blur,0.5,0.0032335484866052866,0.002266409806907177,0.0004372724215500057
train,HCC_10140276_20170721.nii.gz,0,context,blur,1.5,0.06600248068571091,0.11457395553588867,0.04231272637844086
train,HCC_10140276_20170721.nii.gz,1,context,blur,0.5,0.0018181096529588103,0.0030973979737609625,0.000518845219630748
train,HCC_10140276_20170721.nii.gz,1,context,blur,1.5,0.03869655355811119,0.11398318409919739,0.03606843575835228
train,HCC_10140276_20170721.nii.gz,2,foreground,blur,0.5,0.007050276268273592,0.002817190485075116,0.0006064991466701031
train,HCC_10140276_20170721.nii.gz,2,foreground,blur,1.5,0.14434348046779633,0.12634648382663727,0.03395315632224083
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,0.5,0.002443762496113777,0.003939492627978325,0.0009761154069565237
train,HCC_10140276_20170721.nii.gz,3,foreground,blur,1.5,0.0503513440489769,0.12647093832492828,0.03813515603542328
val,CYST_PA62.nii.gz,0,context,blur,0.5,0.0010065514361485839,0.0019534882158041,0.0003540200996212661
val,CYST_PA62.nii.gz,0,context,blur,1.5,0.022161738947033882,0.03500337898731232,0.006383878644555807
val,CYST_PA62.nii.gz,1,context,blur,0.5,0.014328987337648869,0.004359336569905281,0.0009021428995765746
val,CYST_PA62.nii.gz,1,context,blur,1.5,0.3058950901031494,0.12262480705976486,0.02466685138642788
val,CYST_PA62.nii.gz,2,foreground,blur,0.5,0.011772195808589458,0.005930009763687849,0.0010794830741360784
val,CYST_PA62.nii.gz,2,foreground,blur,1.5,0.20611326396465302,0.1446915566921234,0.04447238892316818
val,CYST_PA62.nii.gz,3,foreground,blur,0.5,0.0034695109352469444,0.043066419661045074,0.027772938832640648
val,CYST_PA62.nii.gz,3,foreground,blur,1.5,0.0695035457611084,0.2588939368724823,0.1815580129623413
