split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.013785114511847496,0.00265759089961648
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.003386758966371417,0.0006171222194097936
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.002661762060597539,0.0004334737022873014
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.00840186607092619,0.0013697833055630326
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.002911890624091029,0.0004950189613737166
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.0531361922621727,0.013165093027055264
train,HEM_PA99.nii.gz,1,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,gamma,-0.3,0.03459705039858818,0.03358971327543259,0.0066920616663992405
train,HEM_PA99.nii.gz,1,context,gamma,-0.15,0.007401049602776766,0.009168405085802078,0.0017514037899672985
train,HEM_PA99.nii.gz,1,context,gamma,0.15,0.005698063410818577,0.00683240033686161,0.0017585159512236714
train,HEM_PA99.nii.gz,1,context,gamma,0.3,0.02029278129339218,0.02149755135178566,0.005342673510313034
train,HEM_PA99.nii.gz,1,context,blur,0.5,0.006554374936968088,0.006118489895015955,0.0012706409906968474
train,HEM_PA99.nii.gz,1,context,blur,1.5,0.13319097459316254,0.13120512664318085,0.03317820280790329
train,HEM_PA99.nii.gz,2,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.3,0.056526243686676025,0.05102420225739479,0.011278722435235977
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.15,0.012345952913165092,0.013941561803221703,0.002800336806103587
train,HEM_PA99.nii.gz,2,foreground,gamma,0.15,0.009425106458365917,0.0106893852353096,0.0018579434836283326
train,HEM_PA99.nii.gz,2,foreground,gamma,0.3,0.03302767872810364,0.033353500068187714,0.00645108288154006
train,HEM_PA99.nii.gz,2,foreground,blur,0.5,0.01095668040215969,0.008162683807313442,0.004431032110005617
train,HEM_PA99.nii.gz,2,foreground,blur,1.5,0.2158055454492569,0.13077867031097412,0.036390673369169235
train,HEM_PA99.nii.gz,3,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.3,0.04573864862322807,0.05213502421975136,0.028158091008663177
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.15,0.00998635869473219,0.012461530975997448,0.007450950797647238
train,HEM_PA99.nii.gz,3,foreground,gamma,0.15,0.0078047034330666065,0.007580142468214035,0.0020608387421816587
train,HEM_PA99.nii.gz,3,foreground,gamma,0.3,0.02790507674217224,0.02565653622150421,0.00810758862644434
train,HEM_PA99.nii.gz,3,foreground,blur,0.5,0.008820740506052971,0.0064168935641646385,0.0018163657514378428
train,HEM_PA99.nii.gz,3,foreground,blur,1.5,0.20030854642391205,0.12559647858142853,0.03759274631738663
train,HCC_10140276_20170721.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HCC_10140276_20170721.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
