step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.04859332456657277,0.022242741318139518
0,train,overall_micro,all,action_agnostic,0.04859332456657277,0.022242741318139518
0,train,overall_micro,all,action_conditioned,0.04859332456657277,0.022242741318139518
0,train,overall_micro,all,action_conditioned_wrong_strength,0.04859332456657277,0.022242741318139518
0,train,overall_micro,all,action_conditioned_correct_for_wrong_type,0.050624649576709264,0.021961385097923516
0,train,overall_micro,all,action_conditioned_wrong_type,0.050624649576709264,0.021961385097923516
0,train,overall_macro,case_mean,action_agnostic,0.04533867719144417,0.020144917136085017
0,train,overall_macro,case_mean,action_conditioned,0.04533867719144417,0.020144917136085017
0,train,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.04847285739153971,0.020849609591937143
0,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.04533867719144417,0.020144917136085017
0,train,overall_macro,case_mean,action_conditioned_wrong_type,0.04847285739153971,0.020849609591937143
0,train,overall_macro,case_mean,identity,0.04533867719144417,0.020144917136085017
0,val,overall_micro,all,identity,0.04316685970598148,0.018189531549722887
0,val,overall_micro,all,action_agnostic,0.04316685970598148,0.018189531549722887
0,val,overall_micro,all,action_conditioned,0.04316685970598148,0.018189531549722887
0,val,overall_micro,all,action_conditioned_wrong_strength,0.04316685970598148,0.018189531549722887
0,val,overall_micro,all,action_conditioned_correct_for_wrong_type,0.028405993551957453,0.007885538723811121
0,val,overall_micro,all,action_conditioned_wrong_type,0.028405993551957453,0.007885538723811121
0,val,overall_macro,case_mean,action_agnostic,0.047073867054585064,0.019741431489203147
0,val,overall_macro,case_mean,action_conditioned,0.047073867054585064,0.019741431489203147
0,val,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.029639066229949093,0.008748183203197441
0,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.047073867054585064,0.019741431489203147
0,val,overall_macro,case_mean,action_conditioned_wrong_type,0.029639066229949093,0.008748183203197441
0,val,overall_macro,case_mean,identity,0.047073867054585064,0.019741431489203147
100,train,overall_micro,all,identity,0.04859332456657277,0.022242741318139518
100,train,overall_micro,all,action_agnostic,0.04827444377274869,0.02210464193169564
100,train,overall_micro,all,action_conditioned,0.04806473049515601,0.021761177418273506
100,train,overall_micro,all,action_conditioned_wrong_strength,0.048161177530752816,0.02194613420909
100,train,overall_micro,all,action_conditioned_correct_for_wrong_type,0.050056346176179684,0.021130082928719235
100,train,overall_micro,all,action_conditioned_wrong_type,0.05049818967454784,0.021663303394373574
100,train,overall_macro,case_mean,action_agnostic,0.04503301735477426,0.019991619207837666
100,train,overall_macro,case_mean,action_conditioned,0.0448051907711753,0.019625067070374872
100,train,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.04786010658629308,0.01992531243147093
100,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.04491120635527541,0.019819181900354033
100,train,overall_macro,case_mean,action_conditioned_wrong_type,0.048339964263655874,0.02048830863299947
100,train,overall_macro,case_mean,identity,0.04533867719144417,0.020144917136085017
100,val,overall_micro,all,identity,0.04316685970598148,0.018189531549722887
100,val,overall_micro,all,action_agnostic,0.042964064750611326,0.018154313393292192
100,val,overall_micro,all,action_conditioned,0.04284167065204834,0.017946018301596048
100,val,overall_micro,all,action_conditioned_wrong_strength,0.0429100743698603,0.018090500047488866
100,val,overall_micro,all,action_conditioned_correct_for_wrong_type,0.028217835976473968,0.007375433246077172
100,val,overall_micro,all,action_conditioned_wrong_type,0.02848360602249652,0.007695298153414885
100,val,overall_macro,case_mean,action_agnostic,0.046836622723263235,0.019699265561894136
100,val,overall_macro,case_mean,action_conditioned,0.04670146801437057,0.019472129581245834
100,val,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.029419361246885566,0.008151528795097937
100,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.04677554130131131,0.01962703089648909
100,val,overall_macro,case_mean,action_conditioned_wrong_type,0.02971487579336387,0.00851270619506296
100,val,overall_macro,case_mean,identity,0.047073867054585064,0.019741431489203147
200,train,overall_micro,all,identity,0.04859332456657277,0.022242741318139518
200,train,overall_micro,all,action_agnostic,0.0480812989559789,0.021987805189450878
200,train,overall_micro,all,action_conditioned,0.0469386512593482,0.02031064000086033
200,train,overall_micro,all,action_conditioned_wrong_strength,0.049163753159919915,0.02357041766631445
200,train,overall_micro,all,action_conditioned_correct_for_wrong_type,0.04874137714087109,0.01946763560425427
200,train,overall_micro,all,action_conditioned_wrong_type,0.05241225831811932,0.024804077478311835
200,train,overall_macro,case_mean,action_agnostic,0.04488725608532976,0.01991470645012322
200,train,overall_macro,case_mean,action_conditioned,0.043570548472309276,0.01812157935703403
200,train,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.04629284682773431,0.017961675964623336
200,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.04595911167333557,0.02152135642027597
200,train,overall_macro,case_mean,action_conditioned_wrong_type,0.0501499070034514,0.023482413126645528
200,train,overall_macro,case_mean,identity,0.04533867719144417,0.020144917136085017
200,val,overall_micro,all,identity,0.04316685970598148,0.018189531549722887
200,val,overall_micro,all,action_agnostic,0.04293436588791936,0.018112841277603695
200,val,overall_micro,all,action_conditioned,0.042131737218701296,0.01683665493623608
200,val,overall_micro,all,action_conditioned_wrong_strength,0.04372386884878785,0.019115074408998334
200,val,overall_micro,all,action_conditioned_correct_for_wrong_type,0.027560492947935878,0.006424052619295645
200,val,overall_micro,all,action_conditioned_wrong_type,0.02960047677125614,0.009426987192791855
200,val,overall_macro,case_mean,action_agnostic,0.04680795745272666,0.019656461720606647
200,val,overall_macro,case_mean,action_conditioned,0.04582840445647891,0.01815884434483028
200,val,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.02846332745495709,0.006750371277828746
200,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.047586603814997255,0.020610162875714794
200,val,overall_macro,case_mean,action_conditioned_wrong_type,0.030802746169062187,0.010200962841228525
200,val,overall_macro,case_mean,identity,0.047073867054585064,0.019741431489203147
300,train,overall_micro,all,identity,0.04859332456657277,0.022242741318139518
300,train,overall_micro,all,action_agnostic,0.047670971907589864,0.021759152631068528
300,train,overall_micro,all,action_conditioned,0.04565611777046144,0.019381082255410565
300,train,overall_micro,all,action_conditioned_wrong_strength,0.050677283379058365,0.025382663886712918
300,train,overall_micro,all,action_conditioned_correct_for_wrong_type,0.04787293516984396,0.018930923066858656
300,train,overall_micro,all,action_conditioned_wrong_type,0.054347666462999794,0.02701268405060785
300,train,overall_macro,case_mean,action_agnostic,0.044547922912416785,0.01972985881985877
300,train,overall_macro,case_mean,action_conditioned,0.042354898165318344,0.01731192757073921
300,train,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.04537093396720174,0.017409356487448915
300,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.0476609975098712,0.023517836008786635
300,train,overall_macro,case_mean,action_conditioned_wrong_type,0.052018256195639254,0.02564154991003994
300,train,overall_macro,case_mean,identity,0.04533867719144417,0.020144917136085017
300,val,overall_micro,all,identity,0.04316685970598148,0.018189531549722887
300,val,overall_micro,all,action_agnostic,0.04281376241381839,0.018030388690151278
300,val,overall_micro,all,action_conditioned,0.042104068299136904,0.016907461956012754
300,val,overall_micro,all,action_conditioned_wrong_strength,0.04543398502999874,0.020800474925592408
300,val,overall_micro,all,action_conditioned_correct_for_wrong_type,0.028385256225200873,0.007253772109098492
300,val,overall_micro,all,action_conditioned_wrong_type,0.03185400669623721,0.011683019037588453
300,val,overall_macro,case_mean,action_agnostic,0.04666629778338306,0.019563760485223416
300,val,overall_macro,case_mean,action_conditioned,0.04562379275738622,0.01811462492250368
300,val,overall_macro,case_mean,action_conditioned_correct_for_wrong_type,0.029083774020186352,0.007397012714927585
300,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.04931139129497003,0.022305736295651347
300,val,overall_macro,case_mean,action_conditioned_wrong_type,0.03301110912583169,0.01245837581428167
300,val,overall_macro,case_mean,identity,0.047073867054585064,0.019741431489203147
