split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.013783769682049751,0.002654655836522579
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.0033862716518342495,0.0006172230932861567
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.0026616286486387253,0.00043357026879675686
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.00840273592621088,0.0013696367386728525
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.002910797018557787,0.0004951426526531577
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.05313727632164955,0.013175269588828087
train,HEM_PA99.nii.gz,1,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,gamma,-0.3,0.03459705039858818,0.03359316289424896,0.006688320077955723
train,HEM_PA99.nii.gz,1,context,gamma,-0.15,0.007401049602776766,0.009166889823973179,0.0017494381172582507
train,HEM_PA99.nii.gz,1,context,gamma,0.15,0.005698063410818577,0.0068278550170362,0.0017516128718852997
train,HEM_PA99.nii.gz,1,context,gamma,0.3,0.02029278129339218,0.02149643748998642,0.005341408308595419
train,HEM_PA99.nii.gz,1,context,blur,0.5,0.006554374936968088,0.006119152065366507,0.001271650311537087
train,HEM_PA99.nii.gz,1,context,blur,1.5,0.13319097459316254,0.13120228052139282,0.033171385526657104
train,HEM_PA99.nii.gz,2,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.3,0.056526243686676025,0.05101751908659935,0.011276952922344208
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.15,0.012345952913165092,0.01394198089838028,0.0027990492526441813
train,HEM_PA99.nii.gz,2,foreground,gamma,0.15,0.009425106458365917,0.010687277652323246,0.0018539691809564829
train,HEM_PA99.nii.gz,2,foreground,gamma,0.3,0.03302767872810364,0.03334583714604378,0.006440894212573767
train,HEM_PA99.nii.gz,2,foreground,blur,0.5,0.01095668040215969,0.008158239535987377,0.004427251871675253
train,HEM_PA99.nii.gz,2,foreground,blur,1.5,0.2158055454492569,0.13077691197395325,0.03638879209756851
train,HEM_PA99.nii.gz,3,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.3,0.04573864862322807,0.052121128886938095,0.028085751459002495
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.15,0.00998635869473219,0.012458382174372673,0.007427223026752472
train,HEM_PA99.nii.gz,3,foreground,gamma,0.15,0.0078047034330666065,0.007584687322378159,0.0020720520988106728
train,HEM_PA99.nii.gz,3,foreground,gamma,0.3,0.02790507674217224,0.025666646659374237,0.008132455870509148
train,HEM_PA99.nii.gz,3,foreground,blur,0.5,0.008820740506052971,0.006415355484932661,0.0018178881146013737
train,HEM_PA99.nii.gz,3,foreground,blur,1.5,0.20030854642391205,0.1256178766489029,0.03761525824666023
train,HCC_10140276_20170721.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HCC_10140276_20170721.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
