step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,action_families,blur,identity,0.038382326545070705,0.00896846280860854
0,train,action_families,blur,action_agnostic,0.038382326545070705,0.00896846280860854
0,train,action_families,blur,action_conditioned,0.038382326545070705,0.00896846280860854
0,train,action_families,blur,action_conditioned_wrong_strength,0.038382326545070705,0.00896846280860854
0,train,action_families,blur,action_conditioned_wrong_type,0.038382326545070705,0.00896846280860854
0,train,action_families,gamma,identity,0.00971078886989279,0.001754545166000127
0,train,action_families,gamma,action_agnostic,0.00971078886989279,0.001754545166000127
0,train,action_families,gamma,action_conditioned,0.00971078886989279,0.001754545166000127
0,train,action_families,gamma,action_conditioned_wrong_strength,0.00971078886989279,0.001754545166000127
0,train,action_families,gamma,action_conditioned_wrong_type,0.007711298849422438,0.0014145990209202758
0,train,strengths,+0.15,identity,0.0037034069180082387,0.0006822372538054178
0,train,strengths,+0.15,action_agnostic,0.0037034069180082387,0.0006822372538054178
0,train,strengths,+0.15,action_conditioned,0.0037034069180082387,0.0006822372538054178
0,train,strengths,+0.15,action_conditioned_wrong_strength,0.0037034069180082387,0.0006822372538054178
0,train,strengths,+0.15,action_conditioned_wrong_type,0.0037034069180082387,0.0006822372538054178
0,train,strengths,+0.30,identity,0.01170480948785748,0.0021398665170317384
0,train,strengths,+0.30,action_agnostic,0.01170480948785748,0.0021398665170317384
0,train,strengths,+0.30,action_conditioned,0.01170480948785748,0.0021398665170317384
0,train,strengths,+0.30,action_conditioned_wrong_strength,0.01170480948785748,0.0021398665170317384
0,train,strengths,+0.30,action_conditioned_wrong_type,0.01170480948785748,0.0021398665170317384
0,train,strengths,+0.50,identity,0.0036915101282152234,0.0006316502383935248
0,train,strengths,+0.50,action_agnostic,0.0036915101282152234,0.0006316502383935248
0,train,strengths,+0.50,action_conditioned,0.0036915101282152234,0.0006316502383935248
0,train,strengths,+0.50,action_conditioned_wrong_strength,0.0036915101282152234,0.0006316502383935248
0,train,strengths,+0.50,action_conditioned_wrong_type,0.0036915101282152234,0.0006316502383935248
