split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.01378582138568163,0.0026607466861605644
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.0033872053027153015,0.0006177518516778946
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.002661794889718294,0.0004339159349910915
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.008402594365179539,0.00136913254391402
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.0029124910943210125,0.0004952126182615757
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.05313770845532417,0.013173378072679043
train,HEM_PA99.nii.gz,1,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,foreground,gamma,-0.3,0.03459705039858818,0.03359304741024971,0.006693883333355188
train,HEM_PA99.nii.gz,1,foreground,gamma,-0.15,0.007401049602776766,0.009170398116111755,0.0017516283551231027
train,HEM_PA99.nii.gz,1,foreground,gamma,0.15,0.005698063410818577,0.006824806798249483,0.0017387792468070984
train,HEM_PA99.nii.gz,1,foreground,gamma,0.3,0.02029278129339218,0.02148628979921341,0.00532116275280714
train,HEM_PA99.nii.gz,1,foreground,blur,0.5,0.006554374936968088,0.0061164372600615025,0.0012741261161863804
train,HEM_PA99.nii.gz,1,foreground,blur,1.5,0.13319097459316254,0.131185382604599,0.033168960362672806
val,CYST_PA62.nii.gz,0,context,gamma,-0.3,0.026293938979506493,0.013910200446844101,0.002555537736043334
val,CYST_PA62.nii.gz,0,context,gamma,-0.15,0.005851150956004858,0.003353424835950136,0.0006440963479690254
val,CYST_PA62.nii.gz,0,context,gamma,0.15,0.0046674832701683044,0.0023970985785126686,0.00041406304808333516
val,CYST_PA62.nii.gz,0,context,gamma,0.3,0.016690442338585854,0.007353115361183882,0.0012494849506765604
val,CYST_PA62.nii.gz,0,context,blur,0.5,0.0010065514361485839,0.001953463302925229,0.00035401072818785906
val,CYST_PA62.nii.gz,0,context,blur,1.5,0.022161738947033882,0.0350034236907959,0.0063840486109256744
val,CYST_PA62.nii.gz,1,foreground,gamma,-0.3,0.1226888969540596,0.05037567764520645,0.010868770070374012
val,CYST_PA62.nii.gz,1,foreground,gamma,-0.15,0.031281836330890656,0.015671735629439354,0.0032516370993107557
val,CYST_PA62.nii.gz,1,foreground,gamma,0.15,0.02918160706758499,0.013358849100768566,0.003399171866476536
val,CYST_PA62.nii.gz,1,foreground,gamma,0.3,0.10764104872941971,0.04503154009580612,0.011719994246959686
val,CYST_PA62.nii.gz,1,foreground,blur,0.5,0.014328987337648869,0.004359357059001923,0.0009019730496220291
val,CYST_PA62.nii.gz,1,foreground,blur,1.5,0.3058950901031494,0.12262469530105591,0.02466665580868721
