step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,action_families,blur,identity,0.08608401459086526,0.03584741253400119
0,train,action_families,blur,action_agnostic,0.08608401459086526,0.03584741253400119
0,train,action_families,blur,action_conditioned,0.08608401459086526,0.03584741253400119
0,train,action_families,blur,action_conditioned_wrong_strength,0.08608401459086526,0.03584741253400119
0,train,action_families,blur,action_conditioned_correct_for_wrong_type,0.08608401459086526,0.03584741253400119
0,train,action_families,blur,action_conditioned_wrong_type,0.08608401459086526,0.03584741253400119
0,train,action_families,gamma,identity,0.03115019348223086,0.016248266513969573
0,train,action_families,gamma,action_agnostic,0.03115019348223086,0.016248266513969573
0,train,action_families,gamma,action_conditioned,0.03115019348223086,0.016248266513969573
0,train,action_families,gamma,action_conditioned_wrong_strength,0.03115019348223086,0.016248266513969573
0,train,action_families,gamma,action_conditioned_correct_for_wrong_type,0.01622218869005535,0.008992110153125751
0,train,action_families,gamma,action_conditioned_wrong_type,0.01622218869005535,0.008992110153125751
0,train,strengths,+0.15,identity,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.15,action_agnostic,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.15,action_conditioned,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.15,action_conditioned_wrong_strength,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.15,action_conditioned_correct_for_wrong_type,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.15,action_conditioned_wrong_type,0.005415121802514675,0.0026330677007114027
0,train,strengths,+0.30,identity,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.30,action_agnostic,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.30,action_conditioned,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.30,action_conditioned_wrong_strength,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.30,action_conditioned_correct_for_wrong_type,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.30,action_conditioned_wrong_type,0.02676206069696356,0.015134187783454505
0,train,strengths,+0.50,identity,0.006647690837460453,0.004000633318265773
0,train,strengths,+0.50,action_agnostic,0.006647690837460453,0.004000633318265773
