split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.013784971088171005,0.0026563964784145355
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.0033867417369037867,0.0006164176156744361
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.0026617280673235655,0.00043402364826761186
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.008402873761951923,0.0013700190465897322
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.002912273397669196,0.000495577638503164
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.0531378835439682,0.013162311166524887
train,HEM_PA99.nii.gz,1,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,1,context,gamma,-0.3,0.03459705039858818,0.033588506281375885,0.00669181440025568
train,HEM_PA99.nii.gz,1,context,gamma,-0.15,0.007401049602776766,0.009169378317892551,0.0017509758472442627
train,HEM_PA99.nii.gz,1,context,gamma,0.15,0.005698063410818577,0.006827021017670631,0.001741590560413897
train,HEM_PA99.nii.gz,1,context,gamma,0.3,0.02029278129339218,0.021489426493644714,0.005320493131875992
train,HEM_PA99.nii.gz,1,context,blur,0.5,0.006554374936968088,0.006119837518781424,0.0012764368439093232
train,HEM_PA99.nii.gz,1,context,blur,1.5,0.13319097459316254,0.1312033087015152,0.0331769660115242
train,HEM_PA99.nii.gz,2,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.3,0.056526243686676025,0.051022209227085114,0.01127952616661787
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.15,0.012345952913165092,0.013941731303930283,0.0027991312090307474
train,HEM_PA99.nii.gz,2,foreground,gamma,0.15,0.009425106458365917,0.010690411552786827,0.001857158960774541
train,HEM_PA99.nii.gz,2,foreground,gamma,0.3,0.03302767872810364,0.033355459570884705,0.006451954133808613
train,HEM_PA99.nii.gz,2,foreground,blur,0.5,0.01095668040215969,0.008154015988111496,0.004408585373312235
train,HEM_PA99.nii.gz,2,foreground,blur,1.5,0.2158055454492569,0.13078874349594116,0.03637053817510605
train,HEM_PA99.nii.gz,3,foreground,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.3,0.04573864862322807,0.052125342190265656,0.028135860338807106
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.15,0.00998635869473219,0.012463461607694626,0.0074583739042282104
train,HEM_PA99.nii.gz,3,foreground,gamma,0.15,0.0078047034330666065,0.007579793222248554,0.0020501965191215277
train,HEM_PA99.nii.gz,3,foreground,gamma,0.3,0.02790507674217224,0.025655163452029228,0.008095580153167248
train,HEM_PA99.nii.gz,3,foreground,blur,0.5,0.008820740506052971,0.006419980898499489,0.001831861911341548
train,HEM_PA99.nii.gz,3,foreground,blur,1.5,0.20030854642391205,0.1256108433008194,0.03763812035322189
train,HCC_10140276_20170721.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HCC_10140276_20170721.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
