split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,blur,0.0,0.0,0.0,0.0
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.01378582138568163,0.0026607466861605644
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.0033872053027153015,0.0006177518516778946
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.002661794889718294,0.0004339159349910915
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.008402594365179539,0.00136913254391402
train,HEM_PA99.nii.gz,0,context,blur,0.5,0.000642248138319701,0.0029124910943210125,0.0004952126182615757
train,HEM_PA99.nii.gz,0,context,blur,1.5,0.011287880130112171,0.05313770845532417,0.013173378072679043
val,CYST_PA62.nii.gz,0,context,gamma,-0.3,0.026293938979506493,0.013910200446844101,0.002555537736043334
val,CYST_PA62.nii.gz,0,context,gamma,-0.15,0.005851150956004858,0.003353424835950136,0.0006440963479690254
val,CYST_PA62.nii.gz,0,context,gamma,0.15,0.0046674832701683044,0.0023970985785126686,0.00041406304808333516
val,CYST_PA62.nii.gz,0,context,gamma,0.3,0.016690442338585854,0.007353115361183882,0.0012494849506765604
val,CYST_PA62.nii.gz,0,context,blur,0.5,0.0010065514361485839,0.001953463302925229,0.00035401072818785906
val,CYST_PA62.nii.gz,0,context,blur,1.5,0.022161738947033882,0.0350034236907959,0.0063840486109256744
