step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,action_families,contrast,identity,0.004042218918583271,0.001745413251422728
0,train,action_families,contrast,action_agnostic,0.004042218918583271,0.001745413251422728
0,train,action_families,contrast,action_conditioned,0.004042218918583271,0.001745413251422728
0,train,action_families,contrast,action_conditioned_wrong_strength,0.004042218918583271,0.001745413251422728
0,train,action_families,contrast,action_conditioned_wrong_type,0.004042218918583271,0.001745413251422728
0,train,action_families,gamma,identity,0.031204506592924338,0.01628142770182812
0,train,action_families,gamma,action_agnostic,0.031204506592924338,0.01628142770182812
0,train,action_families,gamma,action_conditioned,0.031204506592924338,0.01628142770182812
0,train,action_families,gamma,action_conditioned_wrong_strength,0.031204506592924338,0.01628142770182812
0,train,action_families,gamma,action_conditioned_wrong_type,0.031204506592924338,0.01628142770182812
0,train,strengths,+0.15,identity,0.004471014109711627,0.002116575954360567
0,train,strengths,+0.15,action_agnostic,0.004471014109711627,0.002116575954360567
0,train,strengths,+0.15,action_conditioned,0.004471014109711627,0.002116575954360567
0,train,strengths,+0.15,action_conditioned_wrong_strength,0.004471014109711627,0.002116575954360567
0,train,strengths,+0.15,action_conditioned_wrong_type,0.004471014109711627,0.002116575954360567
0,train,strengths,+0.30,identity,0.019805383272311867,0.010330052071132575
0,train,strengths,+0.30,action_agnostic,0.019805383272311867,0.010330052071132575
0,train,strengths,+0.30,action_conditioned,0.019805383272311867,0.010330052071132575
0,train,strengths,+0.30,action_conditioned_wrong_strength,0.019805383272311867,0.010330052071132575
0,train,strengths,+0.30,action_conditioned_wrong_type,0.019805383272311867,0.010330052071132575
0,train,strengths,-0.15,identity,0.009601838421121644,0.0062213461352655566
0,train,strengths,-0.15,action_agnostic,0.009601838421121644,0.0062213461352655566
0,train,strengths,-0.15,action_conditioned,0.009601838421121644,0.0062213461352655566
0,train,strengths,-0.15,action_conditioned_wrong_strength,0.009601838421121644,0.0062213461352655566
0,train,strengths,-0.15,action_conditioned_wrong_type,0.009601838421121644,0.0062213461352655566
0,train,strengths,-0.30,identity,0.036930244671916586,0.017729258463773177
0,train,strengths,-0.30,action_agnostic,0.036930244671916586,0.017729258463773177
0,train,strengths,-0.30,action_conditioned,0.036930244671916586,0.017729258463773177
0,train,strengths,-0.30,action_conditioned_wrong_strength,0.036930244671916586,0.017729258463773177
0,train,strengths,-0.30,action_conditioned_wrong_type,0.036930244671916586,0.017729258463773177
0,train,case_names,CYST_PA20.nii.gz,identity,0.006726007156874205,0.00408729848842797
0,train,case_names,CYST_PA20.nii.gz,action_agnostic,0.006726007156874205,0.00408729848842797
0,train,case_names,CYST_PA20.nii.gz,action_conditioned,0.006726007156874205,0.00408729848842797
0,train,case_names,CYST_PA20.nii.gz,action_conditioned_wrong_strength,0.006726007156874205,0.00408729848842797
0,train,case_names,CYST_PA20.nii.gz,action_conditioned_wrong_type,0.006726007156874205,0.00408729848842797
0,train,case_names,CYST_PA56.nii.gz,identity,0.0021960571021493154,0.0004024057288104228
0,train,case_names,CYST_PA56.nii.gz,action_agnostic,0.0021960571021493154,0.0004024057288104228
0,train,case_names,CYST_PA56.nii.gz,action_conditioned,0.0021960571021493154,0.0004024057288104228
0,train,case_names,CYST_PA56.nii.gz,action_conditioned_wrong_strength,0.0021960571021493154,0.0004024057288104228
0,train,case_names,CYST_PA56.nii.gz,action_conditioned_wrong_type,0.0021960571021493154,0.0004024057288104228
0,train,case_names,CYST_PA69.nii.gz,identity,0.007241524637119227,0.001751063474541405
0,train,case_names,CYST_PA69.nii.gz,action_agnostic,0.007241524637119227,0.001751063474541405
0,train,case_names,CYST_PA69.nii.gz,action_conditioned,0.007241524637119227,0.001751063474541405
0,train,case_names,CYST_PA69.nii.gz,action_conditioned_wrong_strength,0.007241524637119227,0.001751063474541405
0,train,case_names,CYST_PA69.nii.gz,action_conditioned_wrong_type,0.007241524637119227,0.001751063474541405
0,train,case_names,HCC_10076307_20130925.nii.gz,identity,0.007547654944351595,0.0031424062171871558
0,train,case_names,HCC_10076307_20130925.nii.gz,action_agnostic,0.007547654944351595,0.0031424062171871558
