step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.01798254562457847,0.009280969637416033
0,train,overall_micro,all,action_agnostic,0.01798254562457847,0.009280969637416033
0,train,overall_micro,all,action_conditioned,0.01798254562457847,0.009280969637416033
0,train,overall_micro,all,action_conditioned_wrong_strength,0.01798254562457847,0.009280969637416033
0,train,overall_micro,all,action_conditioned_wrong_type,0.01798254562457847,0.009280969637416033
0,train,overall_macro,case_mean,action_agnostic,0.016917801923574536,0.008527920848952193
0,train,overall_macro,case_mean,action_conditioned,0.016917801923574536,0.008527920848952193
0,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.016917801923574536,0.008527920848952193
0,train,overall_macro,case_mean,action_conditioned_wrong_type,0.016917801923574536,0.008527920848952193
0,train,overall_macro,case_mean,identity,0.016917801923574536,0.008527920848952193
0,val,overall_micro,all,identity,0.0226448693272481,0.010842857995949386
0,val,overall_micro,all,action_agnostic,0.0226448693272481,0.010842857995949386
0,val,overall_micro,all,action_conditioned,0.0226448693272481,0.010842857995949386
0,val,overall_micro,all,action_conditioned_wrong_strength,0.0226448693272481,0.010842857995949386
0,val,overall_micro,all,action_conditioned_wrong_type,0.0226448693272481,0.010842857995949386
0,val,overall_macro,case_mean,action_agnostic,0.025401964153717788,0.01180515231152068
0,val,overall_macro,case_mean,action_conditioned,0.025401964153717788,0.01180515231152068
0,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.025401964153717788,0.01180515231152068
0,val,overall_macro,case_mean,action_conditioned_wrong_type,0.025401964153717788,0.01180515231152068
0,val,overall_macro,case_mean,identity,0.025401964153717788,0.01180515231152068
30,train,overall_micro,all,identity,0.01798254562457847,0.009280969637416033
30,train,overall_micro,all,action_agnostic,0.017933170021714198,0.009245796414879007
30,train,overall_micro,all,action_conditioned,0.017937989909619166,0.009248105646686997
30,train,overall_micro,all,action_conditioned_wrong_strength,0.017938255085741737,0.009248274049453518
30,train,overall_micro,all,action_conditioned_wrong_type,0.01793691668025889,0.009247946539352144
30,train,overall_macro,case_mean,action_agnostic,0.01687785921251832,0.008500794283553818
30,train,overall_macro,case_mean,action_conditioned,0.016881384194205876,0.008502368469553491
30,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.016881657806624005,0.00850251971708332
30,train,overall_macro,case_mean,action_conditioned_wrong_type,0.016880494550480095,0.008502257972025546
30,train,overall_macro,case_mean,identity,0.016917801923574536,0.008527920848952193
30,val,overall_micro,all,identity,0.0226448693272481,0.010842857995949386
30,val,overall_micro,all,action_agnostic,0.022567262367817618,0.010795275624188862
30,val,overall_micro,all,action_conditioned,0.022575359359051448,0.010797767628170097
30,val,overall_micro,all,action_conditioned_wrong_strength,0.022575738743377625,0.010798113261171565
30,val,overall_micro,all,action_conditioned_wrong_type,0.022573884484366,0.010797716823057045
30,val,overall_macro,case_mean,action_agnostic,0.025313860184714,0.011754546322918395
30,val,overall_macro,case_mean,action_conditioned,0.02532318348420312,0.01175716018313228
30,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.025323606283088294,0.01175751811333171
30,val,overall_macro,case_mean,action_conditioned_wrong_type,0.025321440087885068,0.01175707779655396
30,val,overall_macro,case_mean,identity,0.025401964153717788,0.01180515231152068
100,train,overall_micro,all,identity,0.01798254562457847,0.009280969637416033
100,train,overall_micro,all,action_agnostic,0.01776486062302164,0.009128244292419253
100,train,overall_micro,all,action_conditioned,0.017719196009040532,0.009083541463615367
100,train,overall_micro,all,action_conditioned_wrong_strength,0.017735411792940407,0.009097439496908655
100,train,overall_micro,all,action_conditioned_wrong_type,0.017818479969771473,0.009164159866950634
100,train,overall_macro,case_mean,action_agnostic,0.016752429947466865,0.008423674950816237
100,train,overall_macro,case_mean,action_conditioned,0.016711991719732384,0.00838785843187431
100,train,overall_macro,case_mean,action_conditioned_wrong_strength,0.016728698581804414,0.00840183093105695
100,train,overall_macro,case_mean,action_conditioned_wrong_type,0.01680464369127007,0.00846067140754481
100,train,overall_macro,case_mean,identity,0.016917801923574536,0.008527920848952193
100,val,overall_micro,all,identity,0.0226448693272481,0.010842857995949386
100,val,overall_micro,all,action_agnostic,0.022422787770835197,0.010689568700259448
100,val,overall_micro,all,action_conditioned,0.02234637273902889,0.010631115399450932
100,val,overall_micro,all,action_conditioned_wrong_strength,0.022376044265135966,0.010655883408646805
100,val,overall_micro,all,action_conditioned_wrong_type,0.02247172517704818,0.010728881730867291
100,val,overall_macro,case_mean,action_agnostic,0.02513680081201406,0.011636923135587
100,val,overall_macro,case_mean,action_conditioned,0.025047493638785827,0.011573149768044114
100,val,overall_macro,case_mean,action_conditioned_wrong_strength,0.02508080353312734,0.011599542063325544
100,val,overall_macro,case_mean,action_conditioned_wrong_type,0.025189997974104324,0.011678184065964908
100,val,overall_macro,case_mean,identity,0.025401964153717788,0.01180515231152068
300,train,overall_micro,all,identity,0.01798254562457847,0.009280969637416033
300,train,overall_micro,all,action_agnostic,0.017510741079994844,0.008964992504384038
300,train,overall_micro,all,action_conditioned,0.017206967980888076,0.008741677736653025
300,train,overall_micro,all,action_conditioned_wrong_strength,0.017478791948681658,0.008945727195135549
300,train,overall_micro,all,action_conditioned_wrong_type,0.01826506935582757,0.009538433512136086
300,train,overall_macro,case_mean,action_agnostic,0.016544926714592435,0.008297392354943764
300,train,overall_macro,case_mean,action_conditioned,0.01624980914029974,0.008095853266162186
