split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,gamma,-0.3,0.02751365676522255,0.013784932903945446,0.0026615529786795378
train,HEM_PA99.nii.gz,0,context,gamma,-0.15,0.0061112698167562485,0.003387215081602335,0.00061823456780985
train,HEM_PA99.nii.gz,0,context,gamma,0.15,0.004824844654649496,0.002661543432623148,0.00043361439020372927
train,HEM_PA99.nii.gz,0,context,gamma,0.3,0.01715080998837948,0.008402136154472828,0.001369059318676591
train,HEM_PA99.nii.gz,0,context,contrast,-0.3,2.8822959948946684e-15,5.042254542786395e-07,1.4334835896079312e-07
train,HEM_PA99.nii.gz,0,context,contrast,-0.15,5.831379690647391e-15,0.0,0.0
train,HEM_PA99.nii.gz,0,context,contrast,0.15,0.002453753026202321,0.011949595995247364,0.0021378491073846817
train,HEM_PA99.nii.gz,0,context,contrast,0.3,0.008547610603272915,0.0425722673535347,0.009490391239523888
train,HEM_PA99.nii.gz,1,context,gamma,-0.3,0.03459705039858818,0.03359596058726311,0.006694996729493141
train,HEM_PA99.nii.gz,1,context,gamma,-0.15,0.007401049602776766,0.009170230478048325,0.0017537540988996625
train,HEM_PA99.nii.gz,1,context,gamma,0.15,0.005698063410818577,0.0068304589949548244,0.0017531514167785645
train,HEM_PA99.nii.gz,1,context,gamma,0.3,0.02029278129339218,0.021491698920726776,0.005334021523594856
train,HEM_PA99.nii.gz,1,context,contrast,-0.3,4.7179536109321924e-15,1.1076425607825513e-06,2.77965426676019e-07
train,HEM_PA99.nii.gz,1,context,contrast,-0.15,7.64082926026392e-15,0.0,0.0
train,HEM_PA99.nii.gz,1,context,contrast,0.15,0.002647934714332223,0.001377028413116932,0.0002929187612608075
train,HEM_PA99.nii.gz,1,context,contrast,0.3,0.008762989193201065,0.00751519575715065,0.002189187565818429
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.3,0.056526243686676025,0.05101191624999046,0.011278368532657623
train,HEM_PA99.nii.gz,2,foreground,gamma,-0.15,0.012345952913165092,0.013943148776888847,0.0028003142215311527
train,HEM_PA99.nii.gz,2,foreground,gamma,0.15,0.009425106458365917,0.010687192901968956,0.0018568175146356225
train,HEM_PA99.nii.gz,2,foreground,gamma,0.3,0.03302767872810364,0.033345893025398254,0.006449355743825436
train,HEM_PA99.nii.gz,2,foreground,contrast,-0.3,5.124374418584909e-15,1.1044893426515046e-06,2.935043710294849e-07
train,HEM_PA99.nii.gz,2,foreground,contrast,-0.15,7.596820816456375e-15,0.0,0.0
train,HEM_PA99.nii.gz,2,foreground,contrast,0.15,0.0032852499280124903,0.0023414636962115765,0.0005078280228190124
train,HEM_PA99.nii.gz,2,foreground,contrast,0.3,0.012591168284416199,0.01015836838632822,0.0021133499685674906
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.3,0.04573864862322807,0.05211496353149414,0.028086766600608826
train,HEM_PA99.nii.gz,3,foreground,gamma,-0.15,0.00998635869473219,0.012464144267141819,0.007458818145096302
train,HEM_PA99.nii.gz,3,foreground,gamma,0.15,0.0078047034330666065,0.0075829243287444115,0.002056323690339923
train,HEM_PA99.nii.gz,3,foreground,gamma,0.3,0.02790507674217224,0.025663454085588455,0.00811839196830988
train,HEM_PA99.nii.gz,3,foreground,contrast,-0.3,4.908991727790033e-15,1.2131164339734823e-06,2.919825874414528e-07
train,HEM_PA99.nii.gz,3,foreground,contrast,-0.15,7.637665592205925e-15,0.0,0.0
train,HEM_PA99.nii.gz,3,foreground,contrast,0.15,0.0029150815680623055,0.0015939070144668221,0.0004741746233776212
train,HEM_PA99.nii.gz,3,foreground,contrast,0.3,0.011272730305790901,0.0077179837971925735,0.0027195103466510773
train,HCC_10140276_20170721.nii.gz,0,context,gamma,-0.3,0.01614249497652054,0.009726598858833313,0.0018494620453566313
train,HCC_10140276_20170721.nii.gz,0,context,gamma,-0.15,0.0036831670440733433,0.0022984936367720366,0.00041290870285592973
train,HCC_10140276_20170721.nii.gz,0,context,gamma,0.15,0.0030626612715423107,0.0017729575047269464,0.0003504452179186046
train,HCC_10140276_20170721.nii.gz,0,context,gamma,0.3,0.011199763044714928,0.0061619821935892105,0.0012866362230852246
train,HCC_10140276_20170721.nii.gz,0,context,contrast,-0.3,1.1210273533838588e-14,7.810487545611977e-07,2.1983048270612926e-07
train,HCC_10140276_20170721.nii.gz,0,context,contrast,-0.15,6.0476437192238854e-15,9.209807103616185e-07,2.4014295263441454e-07
train,HCC_10140276_20170721.nii.gz,0,context,contrast,0.15,0.0014339771587401628,0.0018940115114673972,0.0004828271339647472
train,HCC_10140276_20170721.nii.gz,0,context,contrast,0.3,0.005228088237345219,0.009518449194729328,0.0020430886652320623
train,HCC_10140276_20170721.nii.gz,1,context,gamma,-0.3,0.021774113178253174,0.016143063083291054,0.004940343089401722
train,HCC_10140276_20170721.nii.gz,1,context,gamma,-0.15,0.0050601353868842125,0.0038290293887257576,0.0012624080991372466
train,HCC_10140276_20170721.nii.gz,1,context,gamma,0.15,0.004281491972506046,0.0030069712083786726,0.0009156436426565051
train,HCC_10140276_20170721.nii.gz,1,context,gamma,0.3,0.015643268823623657,0.009689691476523876,0.0024788659065961838
train,HCC_10140276_20170721.nii.gz,1,context,contrast,-0.3,1.0672233123544973e-14,1.1389358860469656e-06,2.5732686026458396e-07
train,HCC_10140276_20170721.nii.gz,1,context,contrast,-0.15,6.6082270643757265e-15,9.965981462300988e-07,2.2578649350180058e-07
train,HCC_10140276_20170721.nii.gz,1,context,contrast,0.15,0.0016098205232992768,0.004243675619363785,0.0008246586658060551
train,HCC_10140276_20170721.nii.gz,1,context,contrast,0.3,0.006262102164328098,0.015179570764303207,0.0027985021006315947
train,HCC_10140276_20170721.nii.gz,2,foreground,gamma,-0.3,0.03577754646539688,0.01619376242160797,0.0028357089031487703
train,HCC_10140276_20170721.nii.gz,2,foreground,gamma,-0.15,0.008828860707581043,0.004299035295844078,0.0007793523836880922
train,HCC_10140276_20170721.nii.gz,2,foreground,gamma,0.15,0.00843180250376463,0.004023877903819084,0.0008867731085047126
train,HCC_10140276_20170721.nii.gz,2,foreground,gamma,0.3,0.032640181481838226,0.013304957188665867,0.0029686728958040476
train,HCC_10140276_20170721.nii.gz,2,foreground,contrast,-0.3,2.1112518132945617e-14,9.527887527838175e-07,2.407715840035962e-07
train,HCC_10140276_20170721.nii.gz,2,foreground,contrast,-0.15,7.698131039145673e-15,1.1189206361450488e-06,2.6461819402356923e-07
train,HCC_10140276_20170721.nii.gz,2,foreground,contrast,0.15,0.0029074104968458414,0.0019009720999747515,0.0004567317373584956
train,HCC_10140276_20170721.nii.gz,2,foreground,contrast,0.3,0.010850736871361732,0.006875726394355297,0.0018581313779577613
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.3,0.03526129573583603,0.01497908215969801,0.0023739959578961134
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,-0.15,0.008702780120074749,0.003862799843773246,0.000644312531221658
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.15,0.008364088833332062,0.0035687671042978764,0.00077090784907341
train,HCC_10140276_20170721.nii.gz,3,foreground,gamma,0.3,0.03259645029902458,0.012384353205561638,0.0025616020429879427
train,HCC_10140276_20170721.nii.gz,3,foreground,contrast,-0.3,2.147357270297634e-14,1.1369381809345214e-06,3.132714994080743e-07
train,HCC_10140276_20170721.nii.gz,3,foreground,contrast,-0.15,6.984054736039512e-15,1.1544262861207244e-06,2.787273274407198e-07
train,HCC_10140276_20170721.nii.gz,3,foreground,contrast,0.15,0.0030932575464248657,0.0015454356325790286,0.00038785755168646574
train,HCC_10140276_20170721.nii.gz,3,foreground,contrast,0.3,0.011236396618187428,0.005876434966921806,0.0014672372490167618
train,HEM_PA97.nii.gz,0,context,gamma,-0.3,0.02880491316318512,0.3399813771247864,0.07884407043457031
train,HEM_PA97.nii.gz,0,context,gamma,-0.15,0.006350948940962553,0.15466226637363434,0.08342208713293076
train,HEM_PA97.nii.gz,0,context,gamma,0.15,0.004958998877555132,0.013008573092520237,0.007237365934997797
train,HEM_PA97.nii.gz,0,context,gamma,0.3,0.017559364438056946,0.20961719751358032,0.11890389025211334
train,HEM_PA97.nii.gz,0,context,contrast,-0.3,3.420822178583534e-14,1.6855055946507491e-06,6.563892043232045e-07
train,HEM_PA97.nii.gz,0,context,contrast,-0.15,2.8214097843383716e-15,0.0,0.0
train,HEM_PA97.nii.gz,0,context,contrast,0.15,0.0025847305078059435,0.008481547236442566,0.002790476195514202
train,HEM_PA97.nii.gz,0,context,contrast,0.3,0.009099883027374744,0.024620315060019493,0.008181676268577576
train,HEM_PA97.nii.gz,1,context,gamma,-0.3,0.03895781189203262,0.04747764766216278,0.009436695836484432
train,HEM_PA97.nii.gz,1,context,gamma,-0.15,0.009173371829092503,0.010275015607476234,0.0020484859123826027
train,HEM_PA97.nii.gz,1,context,gamma,0.15,0.007986098527908325,0.007351089734584093,0.0016265080776065588
train,HEM_PA97.nii.gz,1,context,gamma,0.3,0.029458392411470413,0.025246640667319298,0.007649001199752092
train,HEM_PA97.nii.gz,1,context,contrast,-0.3,3.9921804604508074e-14,1.1390619647499989e-06,2.5594033559173113e-07
train,HEM_PA97.nii.gz,1,context,contrast,-0.15,3.225164979306079e-15,0.0,0.0
train,HEM_PA97.nii.gz,1,context,contrast,0.15,0.001799430581741035,0.0018661506474018097,0.0004566457646433264
train,HEM_PA97.nii.gz,1,context,contrast,0.3,0.006744855083525181,0.007413413375616074,0.0019686862360686064
train,HEM_PA97.nii.gz,2,foreground,gamma,-0.3,0.03944537416100502,0.3759978711605072,0.2126576006412506
train,HEM_PA97.nii.gz,2,foreground,gamma,-0.15,0.010000208392739296,0.05343378335237503,0.036109670996665955
train,HEM_PA97.nii.gz,2,foreground,gamma,0.15,0.00997169315814972,0.016589701175689697,0.009352314285933971
train,HEM_PA97.nii.gz,2,foreground,gamma,0.3,0.039095163345336914,0.04478560388088226,0.024721551686525345
train,HEM_PA97.nii.gz,2,foreground,contrast,-0.3,5.171727710797866e-14,1.010769324238936e-06,2.599340405140538e-07
train,HEM_PA97.nii.gz,2,foreground,contrast,-0.15,3.2418405169386743e-15,0.0,0.0
train,HEM_PA97.nii.gz,2,foreground,contrast,0.15,0.0017652271781116724,0.0038983002305030823,0.0023047826252877712
train,HEM_PA97.nii.gz,2,foreground,contrast,0.3,0.0064776879735291,0.013035580515861511,0.007593267597258091
train,HEM_PA97.nii.gz,3,context_fill,gamma,-0.3,0.0315803661942482,0.010147636756300926,0.0017629385692998767
train,HEM_PA97.nii.gz,3,context_fill,gamma,-0.15,0.006916830316185951,0.002660720143467188,0.0004707945045083761
train,HEM_PA97.nii.gz,3,context_fill,gamma,0.15,0.005435286555439234,0.0027390052564442158,0.0007418774184770882
train,HEM_PA97.nii.gz,3,context_fill,gamma,0.3,0.019560687243938446,0.008728978224098682,0.002048448659479618
train,HEM_PA97.nii.gz,3,context_fill,contrast,-0.3,4.262968084545356e-14,5.154304858479009e-07,1.6057575180639105e-07
train,HEM_PA97.nii.gz,3,context_fill,contrast,-0.15,3.54751819046028e-15,0.0,0.0
train,HEM_PA97.nii.gz,3,context_fill,contrast,0.15,0.0017508052987977862,0.0006703833350911736,0.0001503928506281227
train,HEM_PA97.nii.gz,3,context_fill,contrast,0.3,0.006715129595249891,0.003260301426053047,0.0012175393057987094
train,CYST_PA69.nii.gz,0,context,gamma,-0.3,0.020796943455934525,0.010776120238006115,0.0014780148630961776
train,CYST_PA69.nii.gz,0,context,gamma,-0.15,0.004666217602789402,0.0028527372051030397,0.00035852155997417867
train,CYST_PA69.nii.gz,0,context,gamma,0.15,0.0037784504238516092,0.0021698346827179193,0.0003137592866551131
train,CYST_PA69.nii.gz,0,context,gamma,0.3,0.013613302260637283,0.007673296611756086,0.0013694302178919315
train,CYST_PA69.nii.gz,0,context,contrast,-0.3,2.554581912217295e-14,0.0,0.0
train,CYST_PA69.nii.gz,0,context,contrast,-0.15,5.268685962907466e-15,0.0,0.0
train,CYST_PA69.nii.gz,0,context,contrast,0.15,0.0023726699873805046,0.005137675441801548,0.0009301684913225472
