step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
0,train,overall_micro,all,language_agnostic,0.002880173320217843,0.0022172224620205885
0,train,overall_micro,all,language_conditioned,0.002880173320217843,0.0022172224620205885
0,train,overall_micro,all,language_conditioned_wrong_direction,0.002880173320217843,0.0022172224620205885
0,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
0,train,overall_macro,case_mean,language_agnostic,0.0031972599452925027,0.002480571251091924
0,train,overall_macro,case_mean,language_conditioned,0.0031972599452925027,0.002480571251091924
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0031972599452925027,0.002480571251091924
0,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
0,val,overall_micro,all,language_agnostic,0.001571218978509188,0.0007546728910131191
0,val,overall_micro,all,language_conditioned,0.001571218978509188,0.0007546728910131191
0,val,overall_micro,all,language_conditioned_wrong_direction,0.001571218978509188,0.0007546728910131191
0,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
0,val,overall_macro,case_mean,language_agnostic,0.001712919614603685,0.000847097820801653
0,val,overall_macro,case_mean,language_conditioned,0.001712919614603685,0.000847097820801653
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.001712919614603685,0.000847097820801653
100,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
100,train,overall_micro,all,language_agnostic,0.002880142939162091,0.002217116990792318
100,train,overall_micro,all,language_conditioned,0.0015523043160066202,0.0007997303674517257
100,train,overall_micro,all,language_conditioned_wrong_direction,0.006367570488050939,0.005805552644699419
100,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
100,train,overall_macro,case_mean,language_agnostic,0.0031972212773123732,0.002480453287378096
100,train,overall_macro,case_mean,language_conditioned,0.0017049664243684955,0.0008877263003341579
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.007014124755044114,0.006428655878623252
100,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
100,val,overall_micro,all,language_agnostic,0.0015712305187036697,0.0007546232894446126
100,val,overall_micro,all,language_conditioned,0.0010534041407368616,0.0003924591774569229
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0033831561944456337,0.002193742831113566
100,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
100,val,overall_macro,case_mean,language_agnostic,0.0017129277609310252,0.0008470434428524761
100,val,overall_macro,case_mean,language_conditioned,0.001091358476903608,0.0003761904667667873
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.003768066124623281,0.0025456919520852796
200,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
200,train,overall_micro,all,language_agnostic,0.002879289652918992,0.0022163267316084832
200,train,overall_micro,all,language_conditioned,0.0013078198555428098,0.0006006655065278153
200,train,overall_micro,all,language_conditioned_wrong_direction,0.006852119461159048,0.006187562340302677
200,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
200,train,overall_macro,case_mean,language_agnostic,0.003196276704800706,0.0024795708122399753
200,train,overall_macro,case_mean,language_conditioned,0.0014242556207267488,0.0006633326286118299
200,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.007586455655234192,0.006871422195677971
200,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
200,val,overall_micro,all,language_agnostic,0.0015708592405517545,0.00075437433520519
200,val,overall_micro,all,language_conditioned,0.0009803188441294649,0.0003646147856671804
200,val,overall_micro,all,language_conditioned_wrong_direction,0.0034891530323190654,0.0022271817038899988
200,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
200,val,overall_macro,case_mean,language_agnostic,0.0017125135141894945,0.0008467621842405044
200,val,overall_macro,case_mean,language_conditioned,0.0010064172583938214,0.0003426761370164096
200,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.003947766348446181,0.0026462036138351175
300,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
300,train,overall_micro,all,language_agnostic,0.0028779426263178874,0.002214578929301886
300,train,overall_micro,all,language_conditioned,0.0014297429986142528,0.0007722274410321995
300,train,overall_micro,all,language_conditioned_wrong_direction,0.006510909245585098,0.005726711739024859
300,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
300,train,overall_macro,case_mean,language_agnostic,0.003194681418519897,0.002477554725953726
300,train,overall_macro,case_mean,language_conditioned,0.0015639613869477139,0.0008538956841560568
300,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.007197988465202186,0.006357214321108171
300,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
300,val,overall_micro,all,language_agnostic,0.0015709185653789207,0.000754429543851161
300,val,overall_micro,all,language_conditioned,0.0010257214983978215,0.00042353977503241743
300,val,overall_micro,all,language_conditioned_wrong_direction,0.00337220279611944,0.002096636028033457
300,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
300,val,overall_macro,case_mean,language_agnostic,0.0017124656139416601,0.0008467089368125423
300,val,overall_macro,case_mean,language_conditioned,0.0010581461573532336,0.00040936906883196116
300,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0038004941369744983,0.0024787785750097022
