step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.0007634298532135422,0.00036025850665232894
0,train,overall_micro,all,language_agnostic,0.0007634298532135422,0.00036025850665232894
0,train,overall_micro,all,language_conditioned,0.0007634298532135422,0.00036025850665232894
0,train,overall_micro,all,language_conditioned_wrong_direction,0.0007634298532135422,0.00036025850665232894
0,train,overall_macro,case_mean,identity,0.0007634298532135422,0.00036025850665232894
0,train,overall_macro,case_mean,language_agnostic,0.0007634298532135422,0.00036025850665232894
0,train,overall_macro,case_mean,language_conditioned,0.0007634298532135422,0.00036025850665232894
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0007634298532135422,0.00036025850665232894
0,val,overall_micro,all,identity,0.0007335536586800006,0.00030636138781720766
0,val,overall_micro,all,language_agnostic,0.0007335536586800006,0.00030636138781720766
0,val,overall_micro,all,language_conditioned,0.0007335536586800006,0.00030636138781720766
0,val,overall_micro,all,language_conditioned_wrong_direction,0.0007335536586800006,0.00030636138781720766
0,val,overall_macro,case_mean,identity,0.0007335536586800006,0.00030636138781720766
0,val,overall_macro,case_mean,language_agnostic,0.0007335536586800006,0.00030636138781720766
0,val,overall_macro,case_mean,language_conditioned,0.0007335536586800006,0.00030636138781720766
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0007335536586800006,0.00030636138781720766
100,train,overall_micro,all,identity,0.0007634298532135422,0.00036025850665232894
100,train,overall_micro,all,language_agnostic,0.0004628976346096767,0.00011600036330027313
100,train,overall_micro,all,language_conditioned,0.00022055825419097535,1.738178881448161e-05
100,train,overall_micro,all,language_conditioned_wrong_direction,0.002391132876629519,0.0014035614015071507
100,train,overall_macro,case_mean,identity,0.0007634298532135422,0.00036025850665232894
100,train,overall_macro,case_mean,language_agnostic,0.0004628976346096767,0.00011600036330027313
100,train,overall_macro,case_mean,language_conditioned,0.00022055825419097535,1.738178881448161e-05
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.002391132876629519,0.0014035614015071507
100,val,overall_micro,all,identity,0.0007335536586800006,0.00030636138781720766
100,val,overall_micro,all,language_agnostic,0.0008654376634006066,0.00040354303107801665
100,val,overall_micro,all,language_conditioned,0.0003540120013859327,4.6767637344225764e-05
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0021006316574766395,0.0011799139443572078
100,val,overall_macro,case_mean,identity,0.0007335536586800006,0.00030636138781720766
100,val,overall_macro,case_mean,language_agnostic,0.0008654376634006066,0.00040354303107801665
100,val,overall_macro,case_mean,language_conditioned,0.0003540120013859327,4.6767637344225764e-05
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0021006316574766395,0.0011799139443572078
200,train,overall_micro,all,identity,0.0007634298532135422,0.00036025850665232894
200,train,overall_micro,all,language_agnostic,0.000344438604460218,6.424956310523315e-05
200,train,overall_micro,all,language_conditioned,0.00018774913131872474,1.2313419508374726e-05
200,train,overall_micro,all,language_conditioned_wrong_direction,0.0024714650435440203,0.0014294080758132572
200,train,overall_macro,case_mean,identity,0.0007634298532135422,0.00036025850665232894
200,train,overall_macro,case_mean,language_agnostic,0.000344438604460218,6.424956310523315e-05
200,train,overall_macro,case_mean,language_conditioned,0.00018774913131872474,1.2313419508374726e-05
200,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0024714650435440203,0.0014294080758132572
200,val,overall_micro,all,identity,0.0007335536586800006,0.00030636138781720766
200,val,overall_micro,all,language_agnostic,0.0009472911947285583,0.00045125726370556015
200,val,overall_micro,all,language_conditioned,0.0003308100521082756,4.062478962501128e-05
200,val,overall_micro,all,language_conditioned_wrong_direction,0.002172372909279952,0.001208030878832652
200,val,overall_macro,case_mean,identity,0.0007335536586800006,0.00030636138781720766
200,val,overall_macro,case_mean,language_agnostic,0.0009472911947285583,0.00045125726370556015
200,val,overall_macro,case_mean,language_conditioned,0.0003308100521082756,4.062478962501128e-05
200,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.002172372909279952,0.001208030878832652
300,train,overall_micro,all,identity,0.0007634298532135422,0.00036025850665232894
300,train,overall_micro,all,language_agnostic,0.00031432541305805316,5.825957386450203e-05
300,train,overall_micro,all,language_conditioned,0.0001732107341707985,1.0264490785329471e-05
300,train,overall_micro,all,language_conditioned_wrong_direction,0.0025198790573546996,0.0014107723082927767
300,train,overall_macro,case_mean,identity,0.0007634298532135422,0.00036025850665232894
300,train,overall_macro,case_mean,language_agnostic,0.00031432541305805316,5.825957386450203e-05
300,train,overall_macro,case_mean,language_conditioned,0.0001732107341707985,1.0264490785329471e-05
300,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0025198790573546996,0.0014107723082927767
300,val,overall_micro,all,identity,0.0007335536586800006,0.00030636138781720766
300,val,overall_micro,all,language_agnostic,0.0009521852782371655,0.0004088567950720469
300,val,overall_micro,all,language_conditioned,0.0003225997264982978,3.6357985058430066e-05
300,val,overall_micro,all,language_conditioned_wrong_direction,0.0022143154628876138,0.001194884512926325
300,val,overall_macro,case_mean,identity,0.0007335536586800006,0.00030636138781720766
300,val,overall_macro,case_mean,language_agnostic,0.0009521852782371655,0.0004088567950720469
300,val,overall_macro,case_mean,language_conditioned,0.0003225997264982978,3.6357985058430066e-05
300,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0022143154628876138,0.001194884512926325
