step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.002880165537327998,0.0022172461927185195
0,train,overall_micro,all,shared_trunk_no_language,0.0038072191305153907,0.0034307480018409163
0,train,overall_micro,all,language_conditioned,0.0038072191305153907,0.0034307480018409163
0,train,overall_micro,all,language_conditioned_wrong_direction,0.0038072191305153907,0.0034307480018409163
0,train,overall_macro,case_mean,identity,0.0031972506340410605,0.002480597578441354
0,train,overall_macro,case_mean,language_conditioned,0.004155916638225196,0.0037460299403179282
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.004155916638225196,0.0037460299403179282
0,train,overall_macro,case_mean,shared_trunk_no_language,0.004155916638225196,0.0037460299403179282
0,val,overall_micro,all,identity,0.001571217023234014,0.0007546715191399006
0,val,overall_micro,all,shared_trunk_no_language,0.002334367326400602,0.0016837033573632624
0,val,overall_micro,all,language_conditioned,0.002334367326400602,0.0016837033573632624
0,val,overall_micro,all,language_conditioned_wrong_direction,0.002334367326400602,0.0016837033573632624
0,val,overall_macro,case_mean,identity,0.0017129184451152375,0.0008470959123885901
0,val,overall_macro,case_mean,language_conditioned,0.0025037505591325748,0.0018141869930617814
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0025037505591325748,0.0018141869930617814
0,val,overall_macro,case_mean,shared_trunk_no_language,0.0025037505591325748,0.0018141869930617814
100,train,overall_micro,all,identity,0.002880165537327998,0.0022172461927185195
100,train,overall_micro,all,shared_trunk_no_language,0.0038072191305153907,0.0034307480018409163
100,train,overall_micro,all,language_conditioned,0.0031726214977922697,0.002244615624611677
100,train,overall_micro,all,language_conditioned_wrong_direction,0.003609075971461003,0.0027752678072753556
100,train,overall_macro,case_mean,identity,0.0031972506340410605,0.002480597578441354
100,train,overall_macro,case_mean,language_conditioned,0.0034782479200600584,0.00248933811334041
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.003973990770369159,0.0030791093010021277
100,train,overall_macro,case_mean,shared_trunk_no_language,0.004155916638225196,0.0037460299403179282
100,val,overall_micro,all,identity,0.001571217023234014,0.0007546715191399006
100,val,overall_micro,all,shared_trunk_no_language,0.002334367326400602,0.0016837033573632624
100,val,overall_micro,all,language_conditioned,0.0018858978855757311,0.0008961091079080749
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0020796434744079313,0.0010876204819956377
100,val,overall_macro,case_mean,identity,0.0017129184451152375,0.0008470959123885901
100,val,overall_macro,case_mean,language_conditioned,0.002027436540055531,0.0009832570062105685
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0022591423918238607,0.0012101827759288812
100,val,overall_macro,case_mean,shared_trunk_no_language,0.0025037505591325748,0.0018141869930617814
200,train,overall_micro,all,identity,0.002880165537327998,0.0022172461927185195
200,train,overall_micro,all,shared_trunk_no_language,0.0038072191305153907,0.0034307480018409163
200,train,overall_micro,all,language_conditioned,0.00265468599783799,0.0013323152980160519
200,train,overall_micro,all,language_conditioned_wrong_direction,0.005101181719305283,0.005679859714204047
200,train,overall_macro,case_mean,identity,0.0031972506340410605,0.002480597578441354
200,train,overall_macro,case_mean,language_conditioned,0.0028704270150685706,0.0014344293105599299
200,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.005610573957502325,0.006232842142445839
200,train,overall_macro,case_mean,shared_trunk_no_language,0.004155916638225196,0.0037460299403179282
200,val,overall_micro,all,identity,0.001571217023234014,0.0007546715191399006
200,val,overall_micro,all,shared_trunk_no_language,0.002334367326400602,0.0016837033573632624
200,val,overall_micro,all,language_conditioned,0.0018212690679816818,0.0008407253563950184
200,val,overall_micro,all,language_conditioned_wrong_direction,0.0028369566058594913,0.0025247755811183235
200,val,overall_macro,case_mean,identity,0.0017129184451152375,0.0008470959123885901
200,val,overall_macro,case_mean,language_conditioned,0.0019067405503631516,0.0008298638470507894
200,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0031251351947490765,0.0028265056133597683
200,val,overall_macro,case_mean,shared_trunk_no_language,0.0025037505591325748,0.0018141869930617814
