step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.0007634259812928202,0.00036024577038563867
0,train,overall_micro,all,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
0,train,overall_micro,all,language_conditioned,0.001445184176990421,0.0011676524924494746
0,train,overall_micro,all,language_conditioned_wrong_direction,0.001445184176990421,0.0011676524924494746
0,train,overall_macro,case_mean,identity,0.0007634259812928202,0.00036024577038563867
0,train,overall_macro,case_mean,language_conditioned,0.001445184176990421,0.0011676524924494746
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.001445184176990421,0.0011676524924494746
0,train,overall_macro,case_mean,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
0,val,overall_micro,all,identity,0.0007335548675013888,0.0003063574678104942
0,val,overall_micro,all,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
0,val,overall_micro,all,language_conditioned,0.001395464459506806,0.001084577134307304
0,val,overall_micro,all,language_conditioned_wrong_direction,0.001395464459506806,0.001084577134307304
0,val,overall_macro,case_mean,identity,0.0007335548675013888,0.0003063574678104942
0,val,overall_macro,case_mean,language_conditioned,0.001395464459506806,0.001084577134307304
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.001395464459506806,0.001084577134307304
0,val,overall_macro,case_mean,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
100,train,overall_micro,all,identity,0.0007634259812928202,0.00036024577038563867
100,train,overall_micro,all,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
100,train,overall_micro,all,language_conditioned,0.0009348115574877669,0.000331853717851833
100,train,overall_micro,all,language_conditioned_wrong_direction,0.0013780171600695978,0.0011154217593475613
100,train,overall_macro,case_mean,identity,0.0007634259812928202,0.00036024577038563867
100,train,overall_macro,case_mean,language_conditioned,0.0009348115574877669,0.000331853717851833
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0013780171600695978,0.0011154217593475613
100,train,overall_macro,case_mean,shared_trunk_no_language,0.001445184176990421,0.0011676524924494746
100,val,overall_micro,all,identity,0.0007335548675013888,0.0003063574678104942
100,val,overall_micro,all,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
100,val,overall_micro,all,language_conditioned,0.0009046025544768788,0.00027176600528468474
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0013397912787921646,0.0010181715211396711
100,val,overall_macro,case_mean,identity,0.0007335548675013888,0.0003063574678104942
100,val,overall_macro,case_mean,language_conditioned,0.0009046025544768788,0.00027176600528468474
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0013397912787921646,0.0010181715211396711
100,val,overall_macro,case_mean,shared_trunk_no_language,0.001395464459506806,0.001084577134307304
