step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
0,train,overall_micro,all,shared_trunk_no_language,0.003807226515727497,0.003430728165536913
0,train,overall_micro,all,language_conditioned,0.003807226515727497,0.003430728165536913
0,train,overall_micro,all,language_conditioned_wrong_direction,0.003807226515727497,0.003430728165536913
0,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
0,train,overall_macro,case_mean,language_conditioned,0.00415592549901757,0.0037460070307094168
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.00415592549901757,0.0037460070307094168
0,train,overall_macro,case_mean,shared_trunk_no_language,0.00415592549901757,0.0037460070307094168
0,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
0,val,overall_micro,all,shared_trunk_no_language,0.0023343695929707014,0.0016837112673947687
0,val,overall_micro,all,language_conditioned,0.0023343695929707014,0.0016837112673947687
0,val,overall_micro,all,language_conditioned_wrong_direction,0.0023343695929707014,0.0016837112673947687
0,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
0,val,overall_macro,case_mean,language_conditioned,0.0025037519487424555,0.001814198192017764
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0025037519487424555,0.001814198192017764
0,val,overall_macro,case_mean,shared_trunk_no_language,0.0025037519487424555,0.001814198192017764
100,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
100,train,overall_micro,all,shared_trunk_no_language,0.0031067136838589687,0.0024920820834954593
100,train,overall_micro,all,language_conditioned,0.002255553012902046,0.0011633327327439916
100,train,overall_micro,all,language_conditioned_wrong_direction,0.005441551777130045,0.006330797221735214
100,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
100,train,overall_macro,case_mean,language_conditioned,0.0024419506700021046,0.001246013300196971
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.006000804821603905,0.006951937597683507
100,train,overall_macro,case_mean,shared_trunk_no_language,0.0034291561254691117,0.0027664470888697154
100,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
100,val,overall_micro,all,shared_trunk_no_language,0.0017626689645904923,0.0009624885540633977
100,val,overall_micro,all,language_conditioned,0.001575097284956692,0.0007875531368198282
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0029385340225573163,0.002779066179167952
100,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
100,val,overall_macro,case_mean,language_conditioned,0.0016419148676008835,0.0007680083116223483
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0032680981773143348,0.0031384675148138485
100,val,overall_macro,case_mean,shared_trunk_no_language,0.0019096211326715558,0.0010629597799212368
200,train,overall_micro,all,identity,0.002880173320217843,0.0022172224620205885
200,train,overall_micro,all,shared_trunk_no_language,0.003058011419199566,0.0024128238925316694
200,train,overall_micro,all,language_conditioned,0.0021061376035131653,0.0010742906890437204
200,train,overall_micro,all,language_conditioned_wrong_direction,0.004931798096236911,0.004895080926751187
200,train,overall_macro,case_mean,identity,0.0031972599452925027,0.002480571251091924
200,train,overall_macro,case_mean,language_conditioned,0.0022986040219199443,0.0011830656379572656
200,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.005441844425125932,0.0054060504817658225
200,train,overall_macro,case_mean,shared_trunk_no_language,0.00337853251174901,0.002682702226982925
200,val,overall_micro,all,identity,0.001571218978509188,0.0007546728910131191
200,val,overall_micro,all,shared_trunk_no_language,0.0017233182437947775,0.000910542267815482
200,val,overall_micro,all,language_conditioned,0.0013875010526389479,0.0005321346728070083
200,val,overall_micro,all,language_conditioned_wrong_direction,0.002688853405948594,0.001993294025169444
200,val,overall_macro,case_mean,identity,0.001712919614603685,0.000847097820801653
200,val,overall_macro,case_mean,language_conditioned,0.001451562282004595,0.000524608955182293
200,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0029825163440595076,0.0022786780151456305
200,val,overall_macro,case_mean,shared_trunk_no_language,0.0018690238762375925,0.0010079453288123115
