step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0007659756287090304,0.0003591389783033371
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.001044641144568609,0.0004773784598967739
0,train,directions,liver_to_the_liver,language_conditioned,0.001044641144568609,0.0004773784598967739
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.001044641144568609,0.0004773784598967739
0,train,directions,the_liver_to_liver,identity,0.0007596276955684885,0.0003582759579449961
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.0018411233132071664,0.0018419460198158847
0,train,directions,the_liver_to_liver,language_conditioned,0.0018411233132071664,0.0018419460198158847
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0018411233132071664,0.0018419460198158847
0,train,case_names,HEM_PA99.nii.gz,identity,0.0007627883755480571,0.0003587033557210969
0,train,case_names,HEM_PA99.nii.gz,shared_trunk_no_language,0.0014445392034090382,0.0011661552036278783
0,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.0014445392034090382,0.0011661552036278783
0,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0014445392034090382,0.0011661552036278783
0,val,directions,liver_to_the_liver,identity,0.000737820060730411,0.0003075605155680159
0,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0009790659907683817,0.0003759883671783805
0,val,directions,liver_to_the_liver,language_conditioned,0.0009790659907683817,0.0003759883671783805
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0009790659907683817,0.0003759883671783805
0,val,directions,the_liver_to_liver,identity,0.0007299937461451366,0.0003042701358485021
0,val,directions,the_liver_to_liver,shared_trunk_no_language,0.0018079986676900436,0.001776962737629036
0,val,directions,the_liver_to_liver,language_conditioned,0.0018079986676900436,0.001776962737629036
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0018079986676900436,0.001776962737629036
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007338860675073841,0.0003058975978552039
0,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.001395742222461163,0.0010840128040014196
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.001395742222461163,0.0010840128040014196
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.001395742222461163,0.0010840128040014196
100,train,directions,liver_to_the_liver,identity,0.0007659756287090304,0.0003591389783033371
100,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0007766890785916852,0.000285477011318088
100,train,directions,liver_to_the_liver,language_conditioned,0.00064233055425309,0.00013299401558851628
100,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0013482920019117135,0.0011781982256288239
100,train,directions,the_liver_to_liver,identity,0.0007596276955684885,0.0003582759579449961
100,train,directions,the_liver_to_liver,shared_trunk_no_language,0.0009575585367311852,0.000593022688438614
100,train,directions,the_liver_to_liver,language_conditioned,0.0006037838302528428,0.00014199701522883617
100,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0012635759064620247,0.001025674215596557
100,train,case_names,HEM_PA99.nii.gz,identity,0.0007627883755480571,0.0003587033557210969
100,train,case_names,HEM_PA99.nii.gz,shared_trunk_no_language,0.0008675000605411324,0.00044071319925802736
100,train,case_names,HEM_PA99.nii.gz,language_conditioned,0.0006229769970859637,0.00013753835292479262
100,train,case_names,HEM_PA99.nii.gz,language_conditioned_wrong_direction,0.0013057577851190133,0.0011012105209664985
100,val,directions,liver_to_the_liver,identity,0.000737820060730411,0.0003075605155680159
100,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0007329929582695706,0.00022372264369673674
100,val,directions,liver_to_the_liver,language_conditioned,0.0006359140498802212,0.00011797836055284222
100,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0013024760680296287,0.0010685382539414913
100,val,directions,the_liver_to_liver,identity,0.0007299937461451366,0.0003042701358485021
100,val,directions,the_liver_to_liver,shared_trunk_no_language,0.0009260739266133314,0.0005363933763623223
100,val,directions,the_liver_to_liver,language_conditioned,0.0005966112498872224,0.00010633395972485991
100,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.0012222165850390766,0.0009384279484965981
100,val,case_names,CYST_PA62.nii.gz,identity,0.0007338860675073841,0.0003058975978552039
100,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.0008300482244093941,0.0003817401134362551
100,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0006161578745632946,0.00011209350810794902
100,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0012621324446085982,0.00100278310732114
