step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.0007627883755480571,0.0003587033557210969
0,train,overall_micro,all,shared_trunk_no_language,0.0014445392034090382,0.0011661552036278783
0,train,overall_micro,all,language_conditioned,0.0014445392034090382,0.0011661552036278783
0,train,overall_micro,all,language_conditioned_wrong_direction,0.0014445392034090382,0.0011661552036278783
0,train,overall_macro,case_mean,identity,0.0007627883755480571,0.0003587033557210969
0,train,overall_macro,case_mean,language_conditioned,0.0014445392034090382,0.0011661552036278783
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0014445392034090382,0.0011661552036278783
0,train,overall_macro,case_mean,shared_trunk_no_language,0.0014445392034090382,0.0011661552036278783
0,val,overall_micro,all,identity,0.0007338860675073841,0.0003058975978552039
0,val,overall_micro,all,shared_trunk_no_language,0.001395742222461163,0.0010840128040014196
0,val,overall_micro,all,language_conditioned,0.001395742222461163,0.0010840128040014196
0,val,overall_micro,all,language_conditioned_wrong_direction,0.001395742222461163,0.0010840128040014196
0,val,overall_macro,case_mean,identity,0.0007338860675073841,0.0003058975978552039
0,val,overall_macro,case_mean,language_conditioned,0.001395742222461163,0.0010840128040014196
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.001395742222461163,0.0010840128040014196
0,val,overall_macro,case_mean,shared_trunk_no_language,0.001395742222461163,0.0010840128040014196
100,train,overall_micro,all,identity,0.0007627883755480571,0.0003587033557210969
100,train,overall_micro,all,shared_trunk_no_language,0.0008675000605411324,0.00044071319925802736
100,train,overall_micro,all,language_conditioned,0.0006229769970859637,0.00013753835292479262
100,train,overall_micro,all,language_conditioned_wrong_direction,0.0013057577851190133,0.0011012105209664985
100,train,overall_macro,case_mean,identity,0.0007627883755480571,0.0003587033557210969
100,train,overall_macro,case_mean,language_conditioned,0.0006229769970859637,0.00013753835292479262
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0013057577851190133,0.0011012105209664985
100,train,overall_macro,case_mean,shared_trunk_no_language,0.0008675000605411324,0.00044071319925802736
100,val,overall_micro,all,identity,0.0007338860675073841,0.0003058975978552039
100,val,overall_micro,all,shared_trunk_no_language,0.0008300482244093941,0.0003817401134362551
100,val,overall_micro,all,language_conditioned,0.0006161578745632946,0.00011209350810794902
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0012621324446085982,0.00100278310732114
100,val,overall_macro,case_mean,identity,0.0007338860675073841,0.0003058975978552039
100,val,overall_macro,case_mean,language_conditioned,0.0006161578745632946,0.00011209350810794902
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0012621324446085982,0.00100278310732114
100,val,overall_macro,case_mean,shared_trunk_no_language,0.0008300482244093941,0.0003817401134362551
