step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.002921859422699837,0.002276964155585069
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0026494612107753907,0.0012920676416013537
0,train,directions,liver_to_the_liver,language_conditioned,0.0026494612107753907,0.0012920676416013537
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.0026494612107753907,0.0012920676416013537
0,train,directions,the_liver_to_liver,identity,0.0028396433467392707,0.0021609157128626745
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.004932397559156408,0.005447814949497855
0,train,directions,the_liver_to_liver,language_conditioned,0.004932397559156408,0.005447814949497855
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.004932397559156408,0.005447814949497855
0,train,case_names,CYST_PA20.nii.gz,identity,0.0032040420411046395,0.0021399298370043877
0,train,case_names,CYST_PA20.nii.gz,shared_trunk_no_language,0.0043599812749672805,0.0037463745376734824
0,train,case_names,CYST_PA20.nii.gz,language_conditioned,0.0043599812749672805,0.0037463745376734824
0,train,case_names,CYST_PA20.nii.gz,language_conditioned_wrong_direction,0.0043599812749672805,0.0037463745376734824
0,train,case_names,CYST_PA56.nii.gz,identity,0.001444338903851357,0.000790420033924521
0,train,case_names,CYST_PA56.nii.gz,shared_trunk_no_language,0.0023090591276686656,0.0018882686688281613
0,train,case_names,CYST_PA56.nii.gz,language_conditioned,0.0023090591276686656,0.0018882686688281613
0,train,case_names,CYST_PA56.nii.gz,language_conditioned_wrong_direction,0.0023090591276686656,0.0018882686688281613
0,train,case_names,CYST_PA69.nii.gz,identity,0.0008961041378227485,0.000314873385945515
0,train,case_names,CYST_PA69.nii.gz,shared_trunk_no_language,0.0015830600842719135,0.0011295154138186367
0,train,case_names,CYST_PA69.nii.gz,language_conditioned,0.0015830600842719135,0.0011295154138186367
0,train,case_names,CYST_PA69.nii.gz,language_conditioned_wrong_direction,0.0015830600842719135,0.0011295154138186367
0,train,case_names,HCC_10076307_20130925.nii.gz,identity,0.003958775409427632,0.0029646984237639844
0,train,case_names,HCC_10076307_20130925.nii.gz,shared_trunk_no_language,0.0050818193104849784,0.0044136169830120055
0,train,case_names,HCC_10076307_20130925.nii.gz,language_conditioned,0.0050818193104849784,0.0044136169830120055
0,train,case_names,HCC_10076307_20130925.nii.gz,language_conditioned_wrong_direction,0.0050818193104849784,0.0044136169830120055
0,train,case_names,HCC_10136895_20170421.nii.gz,identity,0.010110981964697695,0.010188193478234532
0,train,case_names,HCC_10136895_20170421.nii.gz,shared_trunk_no_language,0.011138607697611361,0.011538200039240163
0,train,case_names,HCC_10136895_20170421.nii.gz,language_conditioned,0.011138607697611361,0.011538200039240163
0,train,case_names,HCC_10136895_20170421.nii.gz,language_conditioned_wrong_direction,0.011138607697611361,0.011538200039240163
0,train,case_names,HCC_10140276_20170721.nii.gz,identity,0.0031376342945354722,0.002269739542463882
0,train,case_names,HCC_10140276_20170721.nii.gz,shared_trunk_no_language,0.004305222801411557,0.003928934853638834
0,train,case_names,HCC_10140276_20170721.nii.gz,language_conditioned,0.004305222801411557,0.003928934853638834
0,train,case_names,HCC_10140276_20170721.nii.gz,language_conditioned_wrong_direction,0.004305222801411557,0.003928934853638834
0,train,case_names,HEM_PA97.nii.gz,identity,0.0016136419371080425,0.0006008256698726089
