step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.00288016476400061,0.0022172420292226134
0,train,overall_micro,all,shared_trunk_no_language,0.0038072180245652997,0.003430745959079016
0,train,overall_micro,all,language_conditioned,0.0038072180245652997,0.003430745959079016
0,train,overall_micro,all,language_conditioned_wrong_direction,0.0038072180245652997,0.003430745959079016
0,train,overall_macro,case_mean,identity,0.003197249195465314,0.00248059312422784
0,train,overall_macro,case_mean,language_conditioned,0.004155914917612387,0.0037460282569515557
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.004155914917612387,0.0037460282569515557
0,train,overall_macro,case_mean,shared_trunk_no_language,0.004155914917612387,0.0037460282569515557
0,val,overall_micro,all,identity,0.0015712137924600873,0.0007546878353407266
0,val,overall_micro,all,shared_trunk_no_language,0.0023343646247231697,0.0016837244436368674
0,val,overall_micro,all,language_conditioned,0.0023343646247231697,0.0016837244436368674
0,val,overall_micro,all,language_conditioned_wrong_direction,0.0023343646247231697,0.0016837244436368674
0,val,overall_macro,case_mean,identity,0.0017129138410862813,0.00084711244102301
0,val,overall_macro,case_mean,language_conditioned,0.002503746596536921,0.0018142113559920284
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.002503746596536921,0.0018142113559920284
0,val,overall_macro,case_mean,shared_trunk_no_language,0.002503746596536921,0.0018142113559920284
50,train,overall_micro,all,identity,0.00288016476400061,0.0022172420292226134
50,train,overall_micro,all,shared_trunk_no_language,0.0034392653571922514,0.002945637470631003
50,train,overall_micro,all,language_conditioned,0.0025278177467413596,0.0012435020624599886
50,train,overall_micro,all,language_conditioned_wrong_direction,0.005467027155331961,0.00605905036051478
50,train,overall_macro,case_mean,identity,0.003197249195465314,0.00248059312422784
50,train,overall_macro,case_mean,language_conditioned,0.002719775663758839,0.0013325544036894455
50,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.006014627132973497,0.006645509572663975
50,train,overall_macro,case_mean,shared_trunk_no_language,0.0037739371132459627,0.0032405370802042087
50,val,overall_micro,all,identity,0.0015712137924600873,0.0007546878353407266
50,val,overall_micro,all,shared_trunk_no_language,0.002035354251355819,0.0013064345710463723
50,val,overall_micro,all,language_conditioned,0.0017991331906176242,0.0008229389439956506
50,val,overall_micro,all,language_conditioned_wrong_direction,0.003023710588289926,0.002691390293857022
50,val,overall_macro,case_mean,identity,0.0017129138410862813,0.00084711244102301
50,val,overall_macro,case_mean,language_conditioned,0.0018746984208586831,0.0008064056529517983
50,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.003338783387156535,0.0030206443276375554
50,val,overall_macro,case_mean,shared_trunk_no_language,0.002191846076483829,0.0014210950996016041
100,train,overall_micro,all,identity,0.00288016476400061,0.0022172420292226134
100,train,overall_micro,all,shared_trunk_no_language,0.003275436845856685,0.0027292240878683763
100,train,overall_micro,all,language_conditioned,0.002386157038923419,0.001219188585929568
100,train,overall_micro,all,language_conditioned_wrong_direction,0.005348017786097825,0.006184138765979278
100,train,overall_macro,case_mean,identity,0.003197249195465314,0.00248059312422784
100,train,overall_macro,case_mean,language_conditioned,0.0025805352392685053,0.0013060370838335659
100,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.005892503981608151,0.006785081148741253
100,train,overall_macro,case_mean,shared_trunk_no_language,0.003604041010594668,0.003014605383369133
100,val,overall_micro,all,identity,0.0015712137924600873,0.0007546878353407266
100,val,overall_micro,all,shared_trunk_no_language,0.001900889072865889,0.0011404343514383858
100,val,overall_micro,all,language_conditioned,0.0016603544706410974,0.0008157122789970094
100,val,overall_micro,all,language_conditioned_wrong_direction,0.0029153761693385743,0.0027469504120755796
100,val,overall_macro,case_mean,identity,0.0017129138410862813,0.00084711244102301
100,val,overall_macro,case_mean,language_conditioned,0.0017330442784733633,0.0007980719077015938
100,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.003236371338947977,0.0030929781651134894
100,val,overall_macro,case_mean,shared_trunk_no_language,0.002052472091713798,0.001248309364226222
150,train,overall_micro,all,identity,0.00288016476400061,0.0022172420292226134
150,train,overall_micro,all,shared_trunk_no_language,0.0031873376244351036,0.0026053857769410935
150,train,overall_micro,all,language_conditioned,0.002392497752272302,0.0013576020608717073
150,train,overall_micro,all,language_conditioned_wrong_direction,0.005931070042962378,0.0072980265176755205
150,train,overall_macro,case_mean,identity,0.003197249195465314,0.00248059312422784
150,train,overall_macro,case_mean,language_conditioned,0.0025696954228166874,0.001425662920279066
150,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0065251381883356,0.0079890610582558
150,train,overall_macro,case_mean,shared_trunk_no_language,0.0035123292650084087,0.0028846201337673297
150,val,overall_micro,all,identity,0.0015712137924600873,0.0007546878353407266
150,val,overall_micro,all,shared_trunk_no_language,0.0018307079107175992,0.0010498508175280211
150,val,overall_micro,all,language_conditioned,0.0017581300695985007,0.0010822658734371457
150,val,overall_micro,all,language_conditioned_wrong_direction,0.003251608529919918,0.0033204619295411275
150,val,overall_macro,case_mean,identity,0.0017129138410862813,0.00084711244102301
150,val,overall_macro,case_mean,language_conditioned,0.0018210795272369901,0.0010540023095894067
150,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.00360767723437588,0.003729795496899646
150,val,overall_macro,case_mean,shared_trunk_no_language,0.0019794752094941907,0.0011536074427034421
200,train,overall_micro,all,identity,0.00288016476400061,0.0022172420292226134
200,train,overall_micro,all,shared_trunk_no_language,0.0031245202357085607,0.002517450147762726
200,train,overall_micro,all,language_conditioned,0.0022009840420231276,0.001110760628329045
200,train,overall_micro,all,language_conditioned_wrong_direction,0.004824406711139143,0.005037911632269516
200,train,overall_macro,case_mean,identity,0.003197249195465314,0.00248059312422784
200,train,overall_macro,case_mean,language_conditioned,0.0024017162245521194,0.0012181706411569166
200,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0053285905300787945,0.005559459342848693
200,train,overall_macro,case_mean,shared_trunk_no_language,0.003447287928929272,0.002792645023685913
200,val,overall_micro,all,identity,0.0015712137924600873,0.0007546878353407266
200,val,overall_micro,all,shared_trunk_no_language,0.0017788488043760146,0.0009841225882997716
200,val,overall_micro,all,language_conditioned,0.0014475055874858939,0.0005774773924219896
200,val,overall_micro,all,language_conditioned_wrong_direction,0.0026106051838302646,0.002087060939765067
200,val,overall_macro,case_mean,identity,0.0017129138410862813,0.00084711244102301
200,val,overall_macro,case_mean,language_conditioned,0.0015174972921830827,0.0005696363672907652
200,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0028982385642491062,0.0023752409182484484
200,val,overall_macro,case_mean,shared_trunk_no_language,0.0019260708957618306,0.0010852408663493086
