step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,val,action_families,blur,identity,0.04647063762808825,0.013143425972893873
0,val,action_families,blur,action_agnostic,0.046317904361775325,0.012924076675127698
0,val,action_families,blur,action_conditioned,0.04402825975436111,0.009466143465765383
0,val,action_families,blur,action_conditioned_wrong_strength,0.04696570133460229,0.013777741446012196
0,val,action_families,blur,action_conditioned_correct_for_wrong_type,0.04402825975436111,0.009466143465765383
0,val,action_families,blur,action_conditioned_wrong_type,0.04678589381685545,0.013479456724423928
0,val,action_families,gamma,identity,0.041643643275853556,0.020430311582125518
0,val,action_families,gamma,action_agnostic,0.04138242450395856,0.02042654692418133
0,val,action_families,gamma,action_conditioned,0.04034414565272425,0.01914297119329208
0,val,action_families,gamma,action_conditioned_wrong_strength,0.04147117834198366,0.020577166978847358
0,val,action_families,gamma,action_conditioned_correct_for_wrong_type,0.011124274147620197,0.00307111653763655
0,val,action_families,gamma,action_conditioned_wrong_type,0.012475815437791521,0.004900919197720038
0,val,strengths,+0.15,identity,0.005197167428432309,0.0014288883217809106
0,val,strengths,+0.15,action_agnostic,0.005340399059902546,0.0014645298866774379
0,val,strengths,+0.15,action_conditioned,0.005492686862308778,0.0017009364383652945
0,val,strengths,+0.15,action_conditioned_wrong_strength,0.005867360791203738,0.002241008020793174
0,val,strengths,+0.15,action_conditioned_correct_for_wrong_type,0.005492686862308778,0.0017009364383652945
0,val,strengths,+0.15,action_conditioned_wrong_type,0.005474934760958593,0.001683454395508841
0,val,strengths,+0.30,identity,0.016556518561131103,0.004342091298582099
0,val,strengths,+0.30,action_agnostic,0.01672587451064009,0.004363047623458835
0,val,strengths,+0.30,action_conditioned,0.0167713384016431,0.004450101805528928
0,val,strengths,+0.30,action_conditioned_wrong_strength,0.01766017575696891,0.0057725936754045816
0,val,strengths,+0.30,action_conditioned_correct_for_wrong_type,0.0167713384016431,0.004450101805528928
0,val,strengths,+0.30,action_conditioned_wrong_type,0.019495937033490604,0.008139059806589863
0,val,strengths,+0.50,identity,0.003444759593605479,0.0007427911855625013
0,val,strengths,+0.50,action_agnostic,0.00348371939610295,0.0007589218361306785
0,val,strengths,+0.50,action_conditioned,0.0038237647232469626,0.0012834963262835434
0,val,strengths,+0.50,action_conditioned_wrong_strength,0.006678774221110646,0.005595212181576486
0,val,strengths,+0.50,action_conditioned_correct_for_wrong_type,0.0038237647232469626,0.0012834963262835434
0,val,strengths,+0.50,action_conditioned_wrong_type,0.0036399550524533774,0.0009447677003938933
0,val,strengths,+1.50,identity,0.0923304097781851,0.02707621445672394
