step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,val,action_families,blur,identity,0.04647063762808825,0.013143425972893873
0,val,action_families,blur,action_agnostic,0.046317904361775325,0.012924076675127698
0,val,action_families,blur,action_conditioned,0.04417633540568744,0.009677773248777981
0,val,action_families,blur,action_conditioned_wrong_strength,0.046816294733217266,0.01366482460960634
0,val,action_families,blur,action_conditioned_correct_for_wrong_type,0.04417633540568744,0.009677773248777981
0,val,action_families,blur,action_conditioned_wrong_type,0.04665198561044409,0.013241720520261385
0,val,action_families,gamma,identity,0.041643643275853556,0.020430311582125518
0,val,action_families,gamma,action_agnostic,0.04138242450395856,0.02042654692418133
0,val,action_families,gamma,action_conditioned,0.04040645677146852,0.019199458808592532
0,val,action_families,gamma,action_conditioned_wrong_strength,0.04151964022027087,0.02061173407439101
0,val,action_families,gamma,action_conditioned_correct_for_wrong_type,0.01109103096361864,0.0030197817020367244
0,val,action_families,gamma,action_conditioned_wrong_type,0.012556531673925937,0.005137241625015204
0,val,strengths,+0.15,identity,0.005197167428432309,0.0014288883217809106
0,val,strengths,+0.15,action_agnostic,0.005340399059902546,0.0014645298866774379
0,val,strengths,+0.15,action_conditioned,0.005459781217554222,0.0016521064849852566
0,val,strengths,+0.15,action_conditioned_wrong_strength,0.005805158284376474,0.0021527426911934636
0,val,strengths,+0.15,action_conditioned_correct_for_wrong_type,0.005459781217554222,0.0016521064849852566
0,val,strengths,+0.15,action_conditioned_wrong_type,0.005589677399889952,0.0018463559493801234
0,val,strengths,+0.30,identity,0.016556518561131103,0.004342091298582099
0,val,strengths,+0.30,action_agnostic,0.01672587451064009,0.004363047623458835
0,val,strengths,+0.30,action_conditioned,0.016737756749271936,0.004396245213764739
0,val,strengths,+0.30,action_conditioned_wrong_strength,0.017572873416249066,0.00565090649854745
0,val,strengths,+0.30,action_conditioned_correct_for_wrong_type,0.016737756749271936,0.004396245213764739
0,val,strengths,+0.30,action_conditioned_wrong_type,0.01954253335638277,0.008449274289351084
0,val,strengths,+0.50,identity,0.003444759593605479,0.0007427911855625013
0,val,strengths,+0.50,action_agnostic,0.00348371939610295,0.0007589218361306785
0,val,strengths,+0.50,action_conditioned,0.003920286162746782,0.0014372414190112195
0,val,strengths,+0.50,action_conditioned_wrong_strength,0.006798719549285418,0.0059914128636043874
0,val,strengths,+0.50,action_conditioned_correct_for_wrong_type,0.003920286162746782,0.0014372414190112195
0,val,strengths,+0.50,action_conditioned_wrong_type,0.0036126708017563806,0.0009009776740912808
0,val,strengths,+1.50,identity,0.0923304097781851,0.02707621445672394
