step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,train,directions,liver_to_the_liver,shared_trunk_no_language,0.0016423905128084254,0.0006878694676028418
0,train,directions,liver_to_the_liver,language_conditioned,0.0018306813273720017,0.0006752931066996886
0,train,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002343963803662366,0.0018533132154127413
0,train,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,train,directions,the_liver_to_liver,shared_trunk_no_language,0.002269505424060886,0.0016312764711984473
0,train,directions,the_liver_to_liver,language_conditioned,0.001593022771065968,0.0005386407237816147
0,train,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.003087100322303307,0.0023917341618495767
0,train,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,train,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.0011413512386452003,0.0006648501253509693
0,train,case_names,CYST_PA62.nii.gz,language_conditioned,0.0009778693457916801,0.00021651412192929512
0,train,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0016535719032908342,0.0013040703644419834
0,train,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,train,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.001247129691613812,0.0007483344524014166
0,train,case_names,HEM_PA107.nii.gz,language_conditioned,0.0010326318156418904,0.0002323894887021986
0,train,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.001853004341078244,0.0015328634956579012
0,train,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,train,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.0023335205735101443,0.0011418154563786046
0,train,case_names,HEM_PA29.nii.gz,language_conditioned,0.002449802985263562,0.0013358383773259595
0,train,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.002587796640735309,0.001176999853304536
0,train,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,train,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.003723924434546954,0.0025359708351694447
0,train,case_names,HEP_PA28.nii.gz,language_conditioned,0.0027236065008586414,0.0006066666692004821
0,train,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.0059107844906425,0.005640484598347909
0,val,directions,liver_to_the_liver,identity,0.0015788281320873374,0.000758760733688249
0,val,directions,liver_to_the_liver,shared_trunk_no_language,0.0016423905128084254,0.0006878694676028418
0,val,directions,liver_to_the_liver,language_conditioned,0.0018306813273720017,0.0006752931066996886
0,val,directions,liver_to_the_liver,language_conditioned_wrong_direction,0.002343963803662366,0.0018533132154127413
0,val,directions,the_liver_to_liver,identity,0.0015636726996648826,0.0007506943318168578
0,val,directions,the_liver_to_liver,shared_trunk_no_language,0.002269505424060886,0.0016312764711984473
0,val,directions,the_liver_to_liver,language_conditioned,0.001593022771065968,0.0005386407237816147
0,val,directions,the_liver_to_liver,language_conditioned_wrong_direction,0.003087100322303307,0.0023917341618495767
0,val,case_names,CYST_PA62.nii.gz,identity,0.0007882365448391152,0.00029694357421994783
0,val,case_names,CYST_PA62.nii.gz,shared_trunk_no_language,0.0011413512386452003,0.0006648501253509693
0,val,case_names,CYST_PA62.nii.gz,language_conditioned,0.0009778693457916801,0.00021651412192929512
0,val,case_names,CYST_PA62.nii.gz,language_conditioned_wrong_direction,0.0016535719032908342,0.0013040703644419834
0,val,case_names,HEM_PA107.nii.gz,identity,0.0008858645810731929,0.0003771744543717668
0,val,case_names,HEM_PA107.nii.gz,shared_trunk_no_language,0.001247129691613812,0.0007483344524014166
0,val,case_names,HEM_PA107.nii.gz,language_conditioned,0.0010326318156418904,0.0002323894887021986
0,val,case_names,HEM_PA107.nii.gz,language_conditioned_wrong_direction,0.001853004341078244,0.0015328634956579012
0,val,case_names,HEM_PA29.nii.gz,identity,0.0019766159959843438,0.00078419700973046
0,val,case_names,HEM_PA29.nii.gz,shared_trunk_no_language,0.0023335205735101443,0.0011418154563786046
0,val,case_names,HEM_PA29.nii.gz,language_conditioned,0.002449802985263562,0.0013358383773259595
0,val,case_names,HEM_PA29.nii.gz,language_conditioned_wrong_direction,0.002587796640735309,0.001176999853304536
0,val,case_names,HEP_PA28.nii.gz,identity,0.0032009382424484727,0.0019301347257698654
0,val,case_names,HEP_PA28.nii.gz,shared_trunk_no_language,0.003723924434546954,0.0025359708351694447
0,val,case_names,HEP_PA28.nii.gz,language_conditioned,0.0027236065008586414,0.0006066666692004821
0,val,case_names,HEP_PA28.nii.gz,language_conditioned_wrong_direction,0.0059107844906425,0.005640484598347909
