step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,val,action_families,blur,identity,0.04647063762808825,0.013143425972893873
0,val,action_families,blur,action_agnostic,0.046317904361775325,0.012924076675127698
0,val,action_families,blur,action_conditioned,0.04422202449225377,0.009590234456717415
0,val,action_families,blur,action_conditioned_wrong_strength,0.047255695040131794,0.014045162637090446
0,val,action_families,blur,action_conditioned_correct_for_wrong_type,0.04422202449225377,0.009590234456717415
0,val,action_families,blur,action_conditioned_wrong_type,0.046519349405929805,0.013006730637096441
0,val,action_families,gamma,identity,0.041643643275853556,0.020430311582125518
0,val,action_families,gamma,action_agnostic,0.04138242450395856,0.02042654692418133
0,val,action_families,gamma,action_conditioned,0.04052414671563267,0.019327851417077855
0,val,action_families,gamma,action_conditioned_wrong_strength,0.04163056224769876,0.02075917644024537
0,val,action_families,gamma,action_conditioned_correct_for_wrong_type,0.011056273038426451,0.0029056428383867367
0,val,action_families,gamma,action_conditioned_wrong_type,0.01296690468069775,0.005441568319770903
0,val,strengths,+0.15,identity,0.005197167428432309,0.0014288883217809106
0,val,strengths,+0.15,action_agnostic,0.005340399059902546,0.0014645298866774379
0,val,strengths,+0.15,action_conditioned,0.005419797794547543,0.0015368877434071356
0,val,strengths,+0.15,action_conditioned_wrong_strength,0.005707828362303703,0.001956567865363195
0,val,strengths,+0.15,action_conditioned_correct_for_wrong_type,0.005419797794547543,0.0015368877434071356
0,val,strengths,+0.15,action_conditioned_wrong_type,0.005705710010144373,0.0019175850003269866
0,val,strengths,+0.30,identity,0.016556518561131103,0.004342091298582099
0,val,strengths,+0.30,action_agnostic,0.01672587451064009,0.004363047623458835
0,val,strengths,+0.30,action_conditioned,0.01670823885431498,0.004283193478368643
0,val,strengths,+0.30,action_conditioned_wrong_strength,0.01742353275100321,0.0053650685966677
0,val,strengths,+0.30,action_conditioned_correct_for_wrong_type,0.01670823885431498,0.004283193478368643
0,val,strengths,+0.30,action_conditioned_wrong_type,0.020248055015736906,0.008988196829224302
0,val,strengths,+0.50,identity,0.003444759593605479,0.0007427911855625013
0,val,strengths,+0.50,action_agnostic,0.00348371939610295,0.0007589218361306785
0,val,strengths,+0.50,action_conditioned,0.00407565218372126,0.0015726879303002738
0,val,strengths,+0.50,action_conditioned_wrong_strength,0.007499559972070795,0.00661460808773037
0,val,strengths,+0.50,action_conditioned_correct_for_wrong_type,0.00407565218372126,0.0015726879303002738
0,val,strengths,+0.50,action_conditioned_wrong_type,0.0035894869489637863,0.0008300101426223765
0,val,strengths,+1.50,identity,0.0923304097781851,0.02707621445672394
