step,split,group,group_value,model,state_normalized_mse,mask_logit_normalized_mse
0,train,overall_micro,all,identity,0.002880165537327998,0.0022172461927185195
0,train,overall_micro,all,shared_trunk_no_language,0.0038072191305153907,0.0034307480018409163
0,train,overall_micro,all,language_conditioned,0.0038072191305153907,0.0034307480018409163
0,train,overall_micro,all,language_conditioned_wrong_direction,0.0038072191305153907,0.0034307480018409163
0,train,overall_macro,case_mean,identity,0.0031972506340410605,0.002480597578441354
0,train,overall_macro,case_mean,language_conditioned,0.004155916638225196,0.0037460299403179282
0,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.004155916638225196,0.0037460299403179282
0,train,overall_macro,case_mean,shared_trunk_no_language,0.004155916638225196,0.0037460299403179282
0,val,overall_micro,all,identity,0.001571217023234014,0.0007546715191399006
0,val,overall_micro,all,shared_trunk_no_language,0.002334367326400602,0.0016837033573632624
0,val,overall_micro,all,language_conditioned,0.002334367326400602,0.0016837033573632624
0,val,overall_micro,all,language_conditioned_wrong_direction,0.002334367326400602,0.0016837033573632624
0,val,overall_macro,case_mean,identity,0.0017129184451152375,0.0008470959123885901
0,val,overall_macro,case_mean,language_conditioned,0.0025037505591325748,0.0018141869930617814
0,val,overall_macro,case_mean,language_conditioned_wrong_direction,0.0025037505591325748,0.0018141869930617814
0,val,overall_macro,case_mean,shared_trunk_no_language,0.0025037505591325748,0.0018141869930617814
50,train,overall_micro,all,identity,0.002880165537327998,0.0022172461927185195
50,train,overall_micro,all,shared_trunk_no_language,0.0035755675436726143,0.003139945989406225
50,train,overall_micro,all,language_conditioned,0.002550476937639021,0.0012759015191805977
50,train,overall_micro,all,language_conditioned_wrong_direction,0.00547433806757613,0.006050065141690928
50,train,overall_macro,case_mean,identity,0.0031972506340410605,0.002480597578441354
50,train,overall_macro,case_mean,language_conditioned,0.0027454573589731036,0.0013680386673869387
50,train,overall_macro,case_mean,language_conditioned_wrong_direction,0.0060208052225748255,0.006635983502344798
