level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
global,,language_only,mean_probability,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9372964445629258,0.1947950696304437,False
global,,language_only,mean_probability,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.2037235472658473,0.3157936792557732,True
global,,language_only,mean_probability,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5089064734246231,0.22022703720437256,True
global,,language_only,mean_probability,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9071313336666942,0.2807540382268221,True
global,,language_only,variance,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9217627971411705,0.20875458519305815,False
global,,language_only,variance,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3494663332287553,0.3693451806596275,True
global,,language_only,variance,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.4783997470679743,0.1783633258792813,True
global,,language_only,variance,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9087073393296119,0.2863189589726054,True
global,,language_only,std,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9217627971411705,0.20875458519305815,False
global,,language_only,std,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.3494663332287553,0.3693451806596275,True
global,,language_only,std,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.4783997470679743,0.1783633258792813,True
global,,language_only,std,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9087073393296119,0.2863189589726054,True
global,,language_only,pairwise_abs,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9207412873249986,0.20874271054503662,False
global,,language_only,pairwise_abs,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.34948602074243273,0.3693463002356976,True
global,,language_only,pairwise_abs,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.4783997470679743,0.1783633258792813,True
global,,language_only,pairwise_abs,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9087775604708006,0.28631983120392446,True
global,,visual_language,mean_probability,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9397630950084701,0.1966676335838822,False
global,,visual_language,mean_probability,foreground_union,2850471,1278679,0.4485851636448854,0.4485851636448854,0.20656472795485514,0.31612578062701735,True
global,,visual_language,mean_probability,predicted_positive,1922047,350255,0.1822301952033431,0.1822301952033431,0.5104992720641367,0.219185628945921,True
global,,visual_language,mean_probability,predicted_negative,83012609,928424,0.01118413228043465,0.01118413228043465,0.9113674034838279,0.2783611081915681,True
global,,visual_language,variance,all_voxels,113246208,1278679,0.011291141863222475,0.011291141863222475,0.9330128768820746,0.22632778311294618,False
