case,global,patch_index,patch_kind,uncertainty_variant,ensemble_members,both_empty,tp_voxels,tn_voxels,fp_voxels,fn_voxels,original_dice,mean_probability_TP_sum,mean_probability_TP_count,mean_probability_TN_sum,mean_probability_TN_count,mean_probability_FP_sum,mean_probability_FP_count,mean_probability_FN_sum,mean_probability_FN_count,variance_TP_sum,variance_TP_count,variance_TN_sum,variance_TN_count,variance_FP_sum,variance_FP_count,variance_FN_sum,variance_FN_count,std_TP_sum,std_TP_count,std_TN_sum,std_TN_count,std_FP_sum,std_FP_count,std_FN_sum,std_FN_count,pairwise_abs_TP_sum,pairwise_abs_TP_count,pairwise_abs_TN_sum,pairwise_abs_TN_count,pairwise_abs_FP_sum,pairwise_abs_FP_count,pairwise_abs_FN_sum,pairwise_abs_FN_count
CYST_PA62.nii.gz,all,0,context,visual_only,original+gamma_0.30+blur_1.5,1,0,7077888,0,0,0.0,0.0,0,5.464474739369507e-08,7077888,0.0,0,0.0,0,0.0,0,7.031674979205757e-21,7077888,0.0,0,0.0,0,0.0,0,2.2061859894506597e-08,7077888,0.0,0,0.0,0,0.0,0,3.28066676047456e-08,7077888,0.0,0,0.0,0
CYST_PA62.nii.gz,all,0,context,language_only,original+language,1,0,7077888,0,0,0.0,0.0,0,3.4943404614296014e-08,7077888,0.0,0,0.0,0,0.0,0,2.450170417180254e-22,7077888,0.0,0,0.0,0,0.0,0,3.4651654878814497e-09,7077888,0.0,0,0.0,0,0.0,0,6.9303309757628995e-09,7077888,0.0,0,0.0,0
CYST_PA62.nii.gz,all,0,context,visual_language,original+gamma_0.30+blur_1.5+language,1,0,7077888,0,0,0.0,0.0,0,4.914010531820168e-08,7077888,0.0,0,0.0,0,0.0,0,6.5394088106829395e-21,7077888,0.0,0,0.0,0,0.0,0,2.1726620502704463e-08,7077888,0.0,0,0.0,0,0.0,0,2.792064712764386e-08,7077888,0.0,0,0.0,0
CYST_PA62.nii.gz,all,1,context,visual_only,original+gamma_0.30+blur_1.5,0,214893,6686626,28015,148354,0.7090364694595337,153348.4375,214893,11522.2353515625,6686626,15945.3046875,28015,14149.4248046875,148354,1360.64013671875,214893,1582.12255859375,6686626,542.450439453125,28015,1342.1805419921875,148354,7689.81787109375,214893,6083.7021484375,6686626,2605.51416015625,28015,5425.38330078125,148354,11611.72265625,214893,8964.6806640625,6686626,3936.22216796875,28015,7984.33935546875,148354
CYST_PA62.nii.gz,all,1,context,language_only,original+language,0,214893,6686626,28015,148354,0.7090364694595337,150937.21875,214893,8618.9267578125,6686626,14726.15234375,28015,11567.0546875,148354,142.83428955078125,214893,51.19196319580078,6686626,11.557394027709961,28015,65.01480865478516,148354,2503.2265625,214893,718.119140625,6686626,315.08062744140625,28015,1011.2869262695312,148354,5006.453125,214893,1436.23828125,6686626,630.1612548828125,28015,2022.5738525390625,148354
CYST_PA62.nii.gz,all,1,context,visual_language,original+gamma_0.30+blur_1.5+language,0,214893,6686626,28015,148354,0.7090364694595337,152925.15625,214893,10942.7265625,6686626,15659.0390625,28015,13714.2255859375,148354,1086.609375,214893,1263.002197265625,6686626,435.4022216796875,28015,1057.52197265625,148354,7078.732421875,214893,5458.025390625,6686626,2347.095458984375,28015,4840.23291015625,148354,9679.4775390625,214893,6963.2939453125,6686626,3081.548828125,28015,6290.322265625,148354
CYST_PA62.nii.gz,all,2,foreground,visual_only,original+gamma_0.30+blur_1.5,0,178187,6842135,32458,25108,0.8609315156936646,116969.5390625,178187,6475.30419921875,6842135,12205.9560546875,32458,4720.6337890625,25108,1999.43701171875,178187,681.9884033203125,6842135,1086.7994384765625,32458,335.13763427734375,25108,9932.513671875,178187,3729.468017578125,6842135,4110.4970703125,32458,1630.188232421875,25108,14932.11328125,178187,5432.0234375,6842135,6160.46630859375,32458,2394.42333984375,25108
CYST_PA62.nii.gz,all,2,foreground,language_only,original+language,0,178187,6842135,32458,25108,0.8609315156936646,113943.046875,178187,4371.50732421875,6842135,10607.07421875,32458,3981.4609375,25108,145.96585083007812,178187,23.438682556152344,6842135,42.38462829589844,32458,17.951154708862305,25108,2625.55517578125,178187,500.705810546875,6842135,721.8182373046875,32458,311.7316589355469,25108,5251.1103515625,178187,1001.41162109375,6842135,1443.636474609375,32458,623.4633178710938,25108
CYST_PA62.nii.gz,all,2,foreground,visual_language,original+gamma_0.30+blur_1.5+language,0,178187,6842135,32458,25108,0.8609315156936646,116575.1953125,178187,6008.80908203125,6842135,11927.443359375,32458,4589.25048828125,25108,1583.306396484375,178187,548.8236083984375,6842135,859.1929931640625,32458,262.60858154296875,25108,9031.0517578125,178187,3390.66064453125,6842135,3699.4189453125,32458,1463.9560546875,25108,12236.388671875,178187,4277.2939453125,6842135,4901.75537109375,32458,1910.7763671875,25108
CYST_PA62.nii.gz,all,3,context_fill,visual_only,original+gamma_0.30+blur_1.5,1,0,7077888,0,0,0.0,0.0,0,1.359087605123932e-06,7077888,0.0,0,0.0,0,0.0,0,2.624987880572849e-19,7077888,0.0,0,0.0,0,0.0,0,2.8599168899745564e-07,7077888,0.0,0,0.0,0,0.0,0,4.3744503841480764e-07,7077888,0.0,0,0.0,0
CYST_PA62.nii.gz,all,3,context_fill,language_only,original+language,1,0,7077888,0,0,0.0,0.0,0,9.577770470059477e-07,7077888,0.0,0,0.0,0,0.0,0,1.5919760387891303e-19,7077888,0.0,0,0.0,0,0.0,0,1.3498039663772943e-07,7077888,0.0,0,0.0,0,0.0,0,2.6996079327545885e-07,7077888,0.0,0,0.0,0
