uncertainty_variant,score_metric,region,voxel_count,voxel_weighted_mean,global,case
language_only,mean_probability,TP,1571792,0.6705070803035035,all,
language_only,mean_probability,TN,110395737,0.0007276559619385897,all,
language_only,mean_probability,FP,350255,0.6371315428178416,all,
language_only,mean_probability,FN,928424,0.07398770077063888,all,
language_only,variance,TP,1571792,0.000616357938904232,all,
language_only,variance,TN,110395737,3.0251205265953568e-06,all,
language_only,variance,FP,350255,0.000603350687167542,all,
language_only,variance,FN,928424,0.0003085076659268894,all,
language_only,std,TP,1571792,0.011278225364818251,all,
language_only,std,TN,110395737,5.2929454576517034e-05,all,
language_only,std,FP,350255,0.01118683638360791,all,
language_only,std,FN,928424,0.00551822095120489,all,
language_only,pairwise_abs,TP,1571792,0.022556450729636503,all,
language_only,pairwise_abs,TN,110395737,0.00010585890915303407,all,
language_only,pairwise_abs,FP,350255,0.02237367276721582,all,
language_only,pairwise_abs,FN,928424,0.01103644190240978,all,
visual_language,mean_probability,TP,1571792,0.677951998359061,all,
visual_language,mean_probability,TN,110395737,0.0008365995551592282,all,
visual_language,mean_probability,FP,350255,0.6507819292187985,all,
visual_language,mean_probability,FN,928424,0.08222877129289125,all,
visual_language,variance,TP,1571792,0.004159041102804391,all,
visual_language,variance,TN,110395737,5.1689936062978065e-05,all,
visual_language,variance,FP,350255,0.009424683813742384,all,
visual_language,variance,FN,928424,0.0033743292529825283,all,
visual_language,std,TP,1571792,0.030218839425744656,all,
visual_language,std,TN,110395737,0.00029007469491853664,all,
visual_language,std,FP,350255,0.05144757384639643,all,
visual_language,std,FN,928424,0.020639894492110643,all,
visual_language,pairwise_abs,TP,1571792,0.041253333313221424,all,
visual_language,pairwise_abs,TN,110395737,0.0003737354880873281,all,
visual_language,pairwise_abs,FP,350255,0.06890252294639923,all,
visual_language,pairwise_abs,FN,928424,0.027193069440625713,all,
visual_only,mean_probability,TP,1571792,0.6789239791799755,all,
visual_only,mean_probability,TN,110395737,0.0008645565821134502,all,
visual_only,mean_probability,FP,350255,0.6526363937565912,all,
visual_only,mean_probability,FN,928424,0.08393670230813778,all,
visual_only,variance,TP,1571792,0.005165333294943523,all,
visual_only,variance,TN,110395737,6.37426048871777e-05,all,
visual_only,variance,FP,350255,0.011785082445772803,all,
visual_only,variance,FN,928424,0.004247379582972622,all,
visual_only,std,TP,1571792,0.03237549401453764,all,
visual_only,std,TN,110395737,0.0003167010290285093,all,
visual_only,std,FP,350255,0.05666078854025128,all,
visual_only,std,FN,928424,0.022714113819869035,all,
visual_only,pairwise_abs,TP,1571792,0.04859828056091121,all,
visual_only,pairwise_abs,TN,110395737,0.00046750108955400787,all,
visual_only,pairwise_abs,FP,350255,0.08564631823453571,all,
visual_only,pairwise_abs,FN,928424,0.033518195882282706,all,
language_only,mean_probability,TP,393080,0.6738584146356976,,CYST_PA62.nii.gz
language_only,mean_probability,TN,27684537,0.00046923067859231207,,CYST_PA62.nii.gz
language_only,mean_probability,FP,60473,0.4189179726902915,,CYST_PA62.nii.gz
language_only,mean_probability,FN,173462,0.08963643694296157,,CYST_PA62.nii.gz
language_only,variance,TP,393080,0.0007347108486335082,,CYST_PA62.nii.gz
language_only,variance,TN,27684537,2.695751991516171e-06,,CYST_PA62.nii.gz
language_only,variance,FP,60473,0.0008920017581996659,,CYST_PA62.nii.gz
language_only,variance,FN,173462,0.00047829474676671236,,CYST_PA62.nii.gz
language_only,std,TP,393080,0.013047679195790297,,CYST_PA62.nii.gz
language_only,std,TN,27684537,4.4025477157530955e-05,,CYST_PA62.nii.gz
language_only,std,FP,60473,0.017146476357152676,,CYST_PA62.nii.gz
language_only,std,FN,173462,0.007627137846935226,,CYST_PA62.nii.gz
language_only,pairwise_abs,TP,393080,0.026095358391580593,,CYST_PA62.nii.gz
language_only,pairwise_abs,TN,27684537,8.805095431506191e-05,,CYST_PA62.nii.gz
language_only,pairwise_abs,FP,60473,0.03429295271430535,,CYST_PA62.nii.gz
language_only,pairwise_abs,FN,173462,0.015254275693870452,,CYST_PA62.nii.gz
visual_language,mean_probability,TP,393080,0.6856119659166073,,CYST_PA62.nii.gz
visual_language,mean_probability,TN,27684537,0.0006123106066684644,,CYST_PA62.nii.gz
visual_language,mean_probability,FP,60473,0.45617849985737435,,CYST_PA62.nii.gz
visual_language,mean_probability,FN,173462,0.10551865004565121,,CYST_PA62.nii.gz
visual_language,variance,TP,393080,0.0067922961521430115,,CYST_PA62.nii.gz
visual_language,variance,TN,27684537,6.54454075090388e-05,,CYST_PA62.nii.gz
visual_language,variance,FP,60473,0.02140782191794272,,CYST_PA62.nii.gz
visual_language,variance,FN,173462,0.007610488488540537,,CYST_PA62.nii.gz
visual_language,std,TP,393080,0.04098347455909102,,CYST_PA62.nii.gz
visual_language,std,TN,27684537,0.00031962557421605733,,CYST_PA62.nii.gz
visual_language,std,FP,60473,0.09998700914948613,,CYST_PA62.nii.gz
visual_language,std,FN,173462,0.03634334300794266,,CYST_PA62.nii.gz
visual_language,pairwise_abs,TP,393080,0.05575421341950112,,CYST_PA62.nii.gz
visual_language,pairwise_abs,TN,27684537,0.00040602405202368874,,CYST_PA62.nii.gz
visual_language,pairwise_abs,FP,60473,0.1320143568074802,,CYST_PA62.nii.gz
visual_language,pairwise_abs,FN,173462,0.047278935056741536,,CYST_PA62.nii.gz
visual_only,mean_probability,TP,393080,0.6876920132352193,,CYST_PA62.nii.gz
visual_only,mean_probability,TN,27684537,0.0006500935721697272,,CYST_PA62.nii.gz
visual_only,mean_probability,FP,60473,0.46551784667847634,,CYST_PA62.nii.gz
visual_only,mean_probability,FN,173462,0.10878497073566545,,CYST_PA62.nii.gz
visual_only,variance,TP,393080,0.008548074560999033,,CYST_PA62.nii.gz
visual_only,variance,TN,27684537,8.178251136777409e-05,,CYST_PA62.nii.gz
visual_only,variance,FP,60473,0.026941773649888173,,CYST_PA62.nii.gz
visual_only,variance,FN,173462,0.009669657770978838,,CYST_PA62.nii.gz
visual_only,std,TP,393080,0.044831412290039556,,CYST_PA62.nii.gz
visual_only,std,TN,27684537,0.0003544639437648417,,CYST_PA62.nii.gz
visual_only,std,FP,60473,0.11105801317065053,,CYST_PA62.nii.gz
visual_only,std,FN,173462,0.04067502699843842,,CYST_PA62.nii.gz
visual_only,pairwise_abs,TP,393080,0.06752782114963875,,CYST_PA62.nii.gz
visual_only,pairwise_abs,TN,27684537,0.0005200269053454913,,CYST_PA62.nii.gz
visual_only,pairwise_abs,FP,60473,0.16696192476911184,,CYST_PA62.nii.gz
visual_only,pairwise_abs,FN,173462,0.059833062545759305,,CYST_PA62.nii.gz
language_only,mean_probability,TP,384286,0.6814156237151496,,HEM_PA107.nii.gz
language_only,mean_probability,TN,27721705,0.0002920789069803938,,HEM_PA107.nii.gz
language_only,mean_probability,FP,18098,0.499794980151467,,HEM_PA107.nii.gz
language_only,mean_probability,FN,187463,0.06784444005283709,,HEM_PA107.nii.gz
language_only,variance,TP,384286,0.0007485575502817644,,HEM_PA107.nii.gz
language_only,variance,TN,27721705,2.1646666135014754e-06,,HEM_PA107.nii.gz
language_only,variance,FP,18098,0.0005833464757502178,,HEM_PA107.nii.gz
language_only,variance,FN,187463,0.0003705889580049005,,HEM_PA107.nii.gz
language_only,std,TP,384286,0.01210519745750886,,HEM_PA107.nii.gz
language_only,std,TN,27721705,3.39179145381852e-05,,HEM_PA107.nii.gz
language_only,std,FP,18098,0.011553875318955737,,HEM_PA107.nii.gz
language_only,std,FN,187463,0.006068399808760179,,HEM_PA107.nii.gz
language_only,pairwise_abs,TP,384286,0.02421039491501772,,HEM_PA107.nii.gz
language_only,pairwise_abs,TN,27721705,6.78358290763704e-05,,HEM_PA107.nii.gz
language_only,pairwise_abs,FP,18098,0.023107750637911473,,HEM_PA107.nii.gz
language_only,pairwise_abs,FN,187463,0.012136799617520358,,HEM_PA107.nii.gz
visual_language,mean_probability,TP,384286,0.6897920347735801,,HEM_PA107.nii.gz
visual_language,mean_probability,TN,27721705,0.0003853593199812634,,HEM_PA107.nii.gz
visual_language,mean_probability,FP,18098,0.5197238591194469,,HEM_PA107.nii.gz
visual_language,mean_probability,FN,187463,0.07648946371250594,,HEM_PA107.nii.gz
visual_language,variance,TP,384286,0.004761774089287097,,HEM_PA107.nii.gz
visual_language,variance,TN,27721705,4.602164374076141e-05,,HEM_PA107.nii.gz
visual_language,variance,FP,18098,0.009504794389427742,,HEM_PA107.nii.gz
visual_language,variance,FN,187463,0.003731176959414783,,HEM_PA107.nii.gz
visual_language,std,TP,384286,0.03187061117891362,,HEM_PA107.nii.gz
visual_language,std,TN,27721705,0.00021614047449806882,,HEM_PA107.nii.gz
visual_language,std,FP,18098,0.05783107697285266,,HEM_PA107.nii.gz
visual_language,std,FN,187463,0.02202111047309169,,HEM_PA107.nii.gz
visual_language,pairwise_abs,TP,384286,0.04344495528314198,,HEM_PA107.nii.gz
visual_language,pairwise_abs,TN,27721705,0.0002732139948219138,,HEM_PA107.nii.gz
visual_language,pairwise_abs,FP,18098,0.07607905252663019,,HEM_PA107.nii.gz
visual_language,pairwise_abs,FN,187463,0.028779933146390886,,HEM_PA107.nii.gz
visual_only,mean_probability,TP,384286,0.6903086787900158,,HEM_PA107.nii.gz
visual_only,mean_probability,TN,27721705,0.000409875502220708,,HEM_PA107.nii.gz
visual_only,mean_probability,FP,18098,0.5232319000847815,,HEM_PA107.nii.gz
visual_only,mean_probability,FN,187463,0.07807840747240789,,HEM_PA107.nii.gz
visual_only,variance,TP,384286,0.005976769433076862,,HEM_PA107.nii.gz
visual_only,variance,TN,27721705,5.706688434235241e-05,,HEM_PA107.nii.gz
visual_only,variance,FP,18098,0.011871216059758632,,HEM_PA107.nii.gz
visual_only,variance,FN,187463,0.004720929969243098,,HEM_PA107.nii.gz
visual_only,std,TP,384286,0.03453500351138215,,HEM_PA107.nii.gz
visual_only,std,TN,27721705,0.00023895298228265337,,HEM_PA107.nii.gz
visual_only,std,FP,18098,0.06391059065249786,,HEM_PA107.nii.gz
visual_only,std,FN,187463,0.024366533589711702,,HEM_PA107.nii.gz
visual_only,pairwise_abs,TP,384286,0.05144428970220097,,HEM_PA107.nii.gz
visual_only,pairwise_abs,TN,27721705,0.00034909411717134363,,HEM_PA107.nii.gz
visual_only,pairwise_abs,FP,18098,0.09534971262687003,,HEM_PA107.nii.gz
visual_only,pairwise_abs,FN,187463,0.035612161581135345,,HEM_PA107.nii.gz
language_only,mean_probability,TP,537089,0.7323788806417558,,HEM_PA29.nii.gz
language_only,mean_probability,TN,27435407,0.0015469605993149674,,HEM_PA29.nii.gz
language_only,mean_probability,FP,34776,0.6994516369609249,,HEM_PA29.nii.gz
language_only,mean_probability,FN,304280,0.10721833033616242,,HEM_PA29.nii.gz
language_only,variance,TP,537089,0.00043533248004884315,,HEM_PA29.nii.gz
language_only,variance,TN,27435407,2.973882260295042e-06,,HEM_PA29.nii.gz
language_only,variance,FP,34776,0.00039656748573122446,,HEM_PA29.nii.gz
language_only,variance,FN,304280,0.0003389987366356517,,HEM_PA29.nii.gz
language_only,std,TP,537089,0.008852738097323024,,HEM_PA29.nii.gz
language_only,std,TN,27435407,6.861326763027431e-05,,HEM_PA29.nii.gz
language_only,std,FP,34776,0.009502775070720467,,HEM_PA29.nii.gz
language_only,std,FN,304280,0.0064080487197749605,,HEM_PA29.nii.gz
language_only,pairwise_abs,TP,537089,0.017705476194646047,,HEM_PA29.nii.gz
language_only,pairwise_abs,TN,27435407,0.00013722653526054862,,HEM_PA29.nii.gz
language_only,pairwise_abs,FP,34776,0.019005550141440935,,HEM_PA29.nii.gz
language_only,pairwise_abs,FN,304280,0.012816097439549921,,HEM_PA29.nii.gz
visual_language,mean_probability,TP,537089,0.7363948584405936,,HEM_PA29.nii.gz
visual_language,mean_probability,TN,27435407,0.0016316392897670238,,HEM_PA29.nii.gz
visual_language,mean_probability,FP,34776,0.7142194700098488,,HEM_PA29.nii.gz
visual_language,mean_probability,FN,304280,0.1158354577558088,,HEM_PA29.nii.gz
visual_language,variance,TP,537089,0.0024441760141606537,,HEM_PA29.nii.gz
visual_language,variance,TN,27435407,4.487466316162718e-05,,HEM_PA29.nii.gz
visual_language,variance,FP,34776,0.009687066763769712,,HEM_PA29.nii.gz
visual_language,variance,FN,304280,0.003049479023579998,,HEM_PA29.nii.gz
visual_language,std,TP,537089,0.022886229087788524,,HEM_PA29.nii.gz
visual_language,std,TN,27435407,0.00032252528822124434,,HEM_PA29.nii.gz
visual_language,std,FP,34776,0.0513783786827212,,HEM_PA29.nii.gz
visual_language,std,FN,304280,0.022454815530206552,,HEM_PA29.nii.gz
visual_language,pairwise_abs,TP,537089,0.031282088489989555,,HEM_PA29.nii.gz
visual_language,pairwise_abs,TN,27435407,0.0004227900373337405,,HEM_PA29.nii.gz
visual_language,pairwise_abs,FP,34776,0.06803621827856765,,HEM_PA29.nii.gz
visual_language,pairwise_abs,FN,304280,0.02989390265288139,,HEM_PA29.nii.gz
visual_only,mean_probability,TP,537089,0.7374238138371852,,HEM_PA29.nii.gz
visual_only,mean_probability,TN,27435407,0.0016622656828470398,,HEM_PA29.nii.gz
visual_only,mean_probability,FP,34776,0.7168776725170556,,HEM_PA29.nii.gz
visual_only,mean_probability,FN,304280,0.11783927876359768,,HEM_PA29.nii.gz
visual_only,variance,TP,537089,0.002952970428681862,,HEM_PA29.nii.gz
visual_only,variance,TN,27435407,5.3546884931032334e-05,,HEM_PA29.nii.gz
visual_only,variance,FP,34776,0.011978912880043888,,HEM_PA29.nii.gz
visual_only,variance,FN,304280,0.0037975096147822318,,HEM_PA29.nii.gz
visual_only,std,TP,537089,0.023961094407770406,,HEM_PA29.nii.gz
visual_only,std,TN,27435407,0.0003412021026578633,,HEM_PA29.nii.gz
visual_only,std,FP,34776,0.05603328430161741,,HEM_PA29.nii.gz
visual_only,std,FN,304280,0.02451264627255324,,HEM_PA29.nii.gz
visual_only,pairwise_abs,TP,537089,0.036098443014391,,HEM_PA29.nii.gz
visual_only,pairwise_abs,TN,27435407,0.0005109062853155202,,HEM_PA29.nii.gz
visual_only,pairwise_abs,FP,34776,0.08428047694418385,,HEM_PA29.nii.gz
visual_only,pairwise_abs,FN,304280,0.03640016525948551,,HEM_PA29.nii.gz
language_only,mean_probability,TP,257337,0.5199651590692528,,HEP_PA28.nii.gz
language_only,mean_probability,TN,27554088,0.000609755734482216,,HEP_PA28.nii.gz
language_only,mean_probability,FP,236908,0.6941760611268033,,HEP_PA28.nii.gz
language_only,mean_probability,FN,263219,0.02963587603845896,,HEP_PA28.nii.gz
language_only,variance,TP,257337,0.0006159777411750744,,HEP_PA28.nii.gz
language_only,variance,TN,27554088,4.272754185558893e-06,,HEP_PA28.nii.gz
language_only,variance,FP,236908,0.0005615518986625296,,HEP_PA28.nii.gz
language_only,variance,FN,263219,0.0001171560732655702,,HEP_PA28.nii.gz
language_only,std,TP,257337,0.01240271123945559,,HEP_PA28.nii.gz
