case,method,scope,requested_coverage,eligible_voxels,retained_voxels,retained_correct,retained_error,retained_tp,retained_fp,retained_tn,retained_fn,total_tp,total_tn,total_fp,total_fn,actual_coverage,pseudo_label_accuracy,precision,recall,positive_dice,fn_rejection_rate,fn_retention_rate
CYST_PA62.nii.gz,confidence_only,global,1.0,28311552,28311552,28077550,234002,392984,60444,27684566,173558,392984,27684566,60444,173558,1.0,0.9917347519486038,,,,,
CYST_PA62.nii.gz,confidence_only,global,0.95,28311552,26895976,26860000,35976,73493,1225,26786507,34751,392984,27684566,60444,173558,0.9500000565140335,0.998662402137777,,,,,
CYST_PA62.nii.gz,confidence_only,global,0.9,28311552,25480396,25477910,2486,10720,0,25467190,2486,392984,27684566,60444,173558,0.8999999717429832,0.9999024347973242,,,,,
CYST_PA62.nii.gz,confidence_only,global,0.8,28311552,22649240,22648985,255,719,0,22648266,255,392984,27684566,60444,173558,0.7999999434859665,0.9999887413440804,,,,,
CYST_PA62.nii.gz,confidence_only,global,0.7,28311552,19818088,19818021,67,47,0,19817974,67,392984,27684566,60444,173558,0.7000000565140335,0.9999966192500508,,,,,
CYST_PA62.nii.gz,confidence_only,global,0.6,28311552,16986932,16986916,16,0,0,16986916,16,392984,27684566,60444,173558,0.6000000282570168,0.999999058099485,,,,,
CYST_PA62.nii.gz,confidence_only,predicted_negative,1.0,27858124,27858124,27684566,173558,0,0,27684566,173558,392984,27684566,60444,173558,1.0,0.993769932246694,,,,0.0,1.0
CYST_PA62.nii.gz,confidence_only,predicted_negative,0.95,27858124,26465219,26460399,4820,0,0,26460399,4820,392984,27684566,60444,173558,0.950000043075406,0.9998178741691123,,,,0.972228304082785,0.027771695917214994
CYST_PA62.nii.gz,confidence_only,predicted_negative,0.9,27858124,25072311,25071221,1090,0,0,25071221,1090,392984,27684566,60444,173558,0.8999999784622971,0.9999565257466693,,,,0.9937196787241153,0.006280321275884719
CYST_PA62.nii.gz,confidence_only,predicted_negative,0.8,27858124,22286499,22286335,164,0,0,22286335,164,392984,27684566,60444,173558,0.7999999928207657,0.9999926412847527,,,,0.9990550709272981,0.0009449290727019209
