case,conflict_type,voxels,TP,TP_fraction,TN,TN_fraction,FP,FP_fraction,FN,FN_fraction
CYST_PA62.nii.gz,confident_unstable_world,190817,0,0.0,190817,1.0,0,0.0,0,0.0
CYST_PA62.nii.gz,uncertain_stable_world,207427,4760,0.022947832249417866,201829,0.9730121922411258,0,0.0,838,0.0040399755094563386
HEM_PA107.nii.gz,confident_unstable_world,449553,0,0.0,449546,0.9999844289772285,0,0.0,7,1.5571022771508587e-05
HEM_PA107.nii.gz,uncertain_stable_world,248726,7019,0.028219808142293124,241479,0.9708635205004704,228,0.0009166713572364771,0,0.0
HEM_PA29.nii.gz,confident_unstable_world,306064,0,0.0,306064,1.0,0,0.0,0,0.0
HEM_PA29.nii.gz,uncertain_stable_world,205190,3466,0.016891661387007165,193910,0.9450265607485745,156,0.0007602709683707783,7658,0.03732150689604757
HEP_PA28.nii.gz,confident_unstable_world,475993,0,0.0,475993,1.0,0,0.0,0,0.0
HEP_PA28.nii.gz,uncertain_stable_world,363045,0,0.0,350940,0.9666570259885138,11161,0.030742745389689984,944,0.002600228621796196
__global__,confident_unstable_world,1422427,0,0.0,1422420,0.9999950788335711,0,0.0,7,4.92116642892746e-06
__global__,uncertain_stable_world,1024388,15245,0.014882056408314037,988158,0.9646325415760435,11545,0.01127014373460056,9440,0.009215258281041949
