case,method,scope,requested_coverage,eligible_voxels,retained_voxels,retained_correct,retained_error,retained_tp,retained_fp,retained_tn,retained_fn,total_tp,total_tn,total_fp,total_fn,actual_coverage,pseudo_label_accuracy,precision,recall,positive_dice,fn_rejection_rate,fn_retention_rate
__global__,confidence_only,global,1.0,113246208,113246208,111967342,1278866,1571567,350217,110395775,928649,1571567,110395775,350217,928649,1.0,0.9887072068673594,,,,,
__global__,confidence_only,global,0.95,113246208,107583904,107324057,259847,255363,5090,107068694,254757,1571567,110395775,350217,928649,0.9500000565140335,0.997584703748992,,,,,
__global__,confidence_only,global,0.9,113246208,101921584,101884299,37285,11280,8,101873019,37277,1571567,110395775,350217,928649,0.8999999717429832,0.9996341795472881,,,,,
__global__,confidence_only,global,0.8,113246208,90596960,90577419,19541,720,0,90576699,19541,1571567,110395775,350217,928649,0.7999999434859665,0.9997843084359563,,,,,
__global__,confidence_only,global,0.7,113246208,79272352,79254492,17860,48,0,79254444,17860,1571567,110395775,350217,928649,0.7000000565140335,0.9997747007683082,,,,,
__global__,confidence_only,global,0.6,113246208,67947728,67930382,17346,1,0,67930381,17346,1571567,110395775,350217,928649,0.6000000282570168,0.9997447155260291,,,,,
__global__,confidence_only,predicted_negative,1.0,111324424,111324424,110395775,928649,0,0,110395775,928649,1571567,110395775,350217,928649,1.0,0.9916581737714628,,,,0.0,1.0
__global__,confidence_only,predicted_negative,0.95,111324424,105758205,105697926,60279,0,0,105697926,60279,1571567,110395775,350217,928649,0.9500000197620605,0.999430030038804,,,,0.9350895763630823,0.06491042363691772
__global__,confidence_only,predicted_negative,0.9,111324424,100191981,100166835,25146,0,0,100166835,25146,1571567,110395775,350217,928649,0.8999999946103472,0.9997490218303998,,,,0.9729219543659661,0.027078045634033956
__global__,confidence_only,predicted_negative,0.8,111324424,89059536,89040855,18681,0,0,89040855,18681,1571567,110395775,350217,928649,0.7999999712551847,0.9997902414402877,,,,0.979883680486384,0.020116319513616015
__global__,confidence_only,predicted_negative,0.7,111324424,77927099,77909445,17654,0,0,77909445,17654,1571567,110395775,350217,928649,0.7000000197620605,0.9997734549312557,,,,0.9809895881005632,0.019010411899436707
__global__,confidence_only,predicted_negative,0.6,111324424,66794657,66777379,17278,0,0,66777379,17278,1571567,110395775,350217,928649,0.6000000233551623,0.9997413266153908,,,,0.981394477353661,0.01860552264633893
__global__,confidence_only,predicted_positive,1.0,1921784,1921784,1571567,350217,1571567,350217,0,0,1571567,110395775,350217,928649,1.0,0.8177646395224437,0.8177646395224437,1.0,0.7107946630483943,,
__global__,confidence_only,predicted_positive,0.95,1921784,1825695,1505347,320348,1505347,320348,0,0,1571567,110395775,350217,928649,0.9500001040699684,0.8245336707390885,0.8245336707390885,0.9578637118239312,0.7067869476917458,,
