variant,case,patches,dice,precision,recall,tp,fp,tn,fn
A0_confidence,CYST_PA62.nii.gz,2,0.8225361305670229,0.4049488970328249,0.26799533100066897,194697,45700,13746829,168550
A0_confidence,HEM_PA107.nii.gz,2,0.9200199183034821,0.45904668304668306,0.3871090722990921,186832,16668,13897791,54485
A0_confidence,HEM_PA29.nii.gz,2,0.882676143729169,0.48457374947047843,0.31618733319512693,338593,10779,13609566,196838
A0_confidence,HEP_PA28.nii.gz,2,0.3172953812132639,0.4329559721660673,0.2504024476694957,203459,194993,13554519,202805
A1_world,CYST_PA62.nii.gz,2,0.845687455202097,0.4657564603190154,0.2748364060818121,199667,14680,13777849,163580
A1_world,HEM_PA107.nii.gz,2,0.9323318935539369,0.48260098985121586,0.39154721797469716,188974,6813,13907646,52343
A1_world,HEM_PA29.nii.gz,2,0.8651074523682347,0.49332171800831087,0.2897908413969307,310326,4201,13616144,225105
A1_world,HEP_PA28.nii.gz,2,0.31661174697501016,0.4817159638342167,0.23579495106630172,191590,156742,13592770,214674
A2_joint_product,CYST_PA62.nii.gz,2,0.8366725577591771,0.4358156136951187,0.2742775576949018,199261,29346,13763183,163986
A2_joint_product,HEM_PA107.nii.gz,2,0.9294711122331217,0.47084727500976126,0.3947794809317205,190534,11797,13902662,50783
A2_joint_product,HEM_PA29.nii.gz,2,0.8706266288429161,0.48440236443817464,0.30013204315775516,321400,10349,13609996,214031
A2_joint_product,HEP_PA28.nii.gz,2,0.3152116563825064,0.454859241239717,0.2411695350806372,195957,177367,13572145,210307
