variant,case,patch_index,dice,precision,recall,tp,fp,tn,fn
A0_confidence,CYST_PA62.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A0_confidence,CYST_PA62.nii.gz,1,0.6450722611340459,0.8098977940656498,0.5359906620013379,194697,45700,6668941,168550
A0_confidence,HEM_PA29.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A0_confidence,HEM_PA29.nii.gz,1,0.7653522874583382,0.9691474989409569,0.6323746663902539,338593,10779,6531678,196838
A0_confidence,HEP_PA28.nii.gz,0,0.0,0.0,0.0,0,163487,6914401,0
A0_confidence,HEP_PA28.nii.gz,1,0.6345907624265278,0.8659119443321346,0.5008048953389914,203459,31506,6640118,202805
A0_confidence,HEM_PA107.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A0_confidence,HEM_PA107.nii.gz,1,0.8400398366069642,0.9180933660933661,0.7742181445981842,186832,16668,6819903,54485
A1_world,CYST_PA62.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A1_world,CYST_PA62.nii.gz,1,0.691374910404194,0.9315129206380308,0.5496728121636242,199667,14680,6699961,163580
A1_world,HEM_PA29.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA29.nii.gz,1,0.7302149047364693,0.9866434360166217,0.5795816827938614,310326,4201,6538256,225105
A1_world,HEP_PA28.nii.gz,0,0.0,0.0,0.0,0,149470,6928418,0
A1_world,HEP_PA28.nii.gz,1,0.6332234939500203,0.9634319276684334,0.47158990213260343,191590,7272,6664352,214674
A1_world,HEM_PA107.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA107.nii.gz,1,0.8646637871078736,0.9652019797024317,0.7830944359493943,188974,6813,6829758,52343
A2_joint_product,CYST_PA62.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,CYST_PA62.nii.gz,1,0.6733451155183542,0.8716312273902374,0.5485551153898036,199261,29346,6685295,163986
A2_joint_product,HEM_PA29.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA29.nii.gz,1,0.7412532576858323,0.9688047288763493,0.6002640863155103,321400,10349,6532108,214031
A2_joint_product,HEP_PA28.nii.gz,0,0.0,0.0,0.0,0,157920,6919968,0
A2_joint_product,HEP_PA28.nii.gz,1,0.6304233127650128,0.909718482479434,0.4823390701612744,195957,19447,6652177,210307
A2_joint_product,HEM_PA107.nii.gz,0,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA107.nii.gz,1,0.8589422244662435,0.9416945500195225,0.789558961863441,190534,11797,6824774,50783
