variant,case,patch_index,reliability_source,pseudo_label_voxels,nonzero_weight_voxels,weight_sum,weight_mean,weighted_correct_mass,weighted_error_mass,teacher_pseudo_accuracy,teacher_weighted_accuracy
A0_confidence,CYST_PA62.nii.gz,0,confidence,7077888,7077888,7077888.0,1.0,7077888.0,0.0,1.0,1.0
A0_confidence,CYST_PA62.nii.gz,1,confidence,7077888,7077888,7044740.0,0.9953166842460632,6882897.0,161842.046875,0.9750901681405527,0.9770264029502869
A0_confidence,HEM_PA29.nii.gz,0,confidence,7077888,7077888,7077888.0,1.0,7077888.0,0.0,1.0,1.0
A0_confidence,HEM_PA29.nii.gz,1,confidence,7077888,7077888,7027706.0,0.9929100275039673,6849643.0,178062.359375,0.9720816435637297,0.974662721157074
A0_confidence,HEP_PA28.nii.gz,0,confidence,7077888,7077888,7070176.5,0.9989104866981506,6912446.5,157730.65625,0.9771710148564091,0.9776908159255981
A0_confidence,HEP_PA28.nii.gz,1,confidence,7077888,7077888,7041545.0,0.9948652982711792,6842191.5,199353.546875,0.9699133413809317,0.9716889262199402
A0_confidence,HEM_PA107.nii.gz,0,confidence,7077888,7077888,7077888.0,1.0,7077888.0,0.0,1.0,1.0
A0_confidence,HEM_PA107.nii.gz,1,confidence,7077888,7077888,7060295.0,0.9975143671035767,7017380.0,42915.6015625,0.9930948328088831,0.9939216375350952
A1_world,CYST_PA62.nii.gz,0,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,CYST_PA62.nii.gz,1,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3515861.5,23081.935546875,0.9750901681405527,0.9934777021408081
A1_world,HEM_PA29.nii.gz,0,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,HEM_PA29.nii.gz,1,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3507993.5,30949.857421875,0.9720816435637297,0.991254448890686
A1_world,HEP_PA28.nii.gz,0,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3521075.25,17868.294921875,0.9771710148564091,0.9949509501457214
A1_world,HEP_PA28.nii.gz,1,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3503855.5,35087.71875,0.9699133413809317,0.9900851845741272
A1_world,HEM_PA107.nii.gz,0,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,HEM_PA107.nii.gz,1,world_stability,7077888,7077887,3538943.5,0.4999999403953552,3535905.0,3038.521484375,0.9930948328088831,0.9991413950920105
A2_joint_product,CYST_PA62.nii.gz,0,joint_product,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,CYST_PA62.nii.gz,1,joint_product,7077888,7077887,1966304.625,0.2778095006942749,1965217.75,1086.9566650390625,0.9750901681405527,0.999447226524353
A2_joint_product,HEM_PA29.nii.gz,0,joint_product,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,HEM_PA29.nii.gz,1,joint_product,7077888,7077887,1877007.375,0.2651931345462799,1874377.25,2630.10595703125,0.9720816435637297,0.9985987544059753
A2_joint_product,HEP_PA28.nii.gz,0,joint_product,7077888,7077887,1868702.25,0.26401975750923157,1868137.25,565.035888671875,0.9771710148564091,0.9996976256370544
A2_joint_product,HEP_PA28.nii.gz,1,joint_product,7077888,7077887,2049138.875,0.2895127534866333,2045062.375,4076.54150390625,0.9699133413809317,0.9980106353759766
A2_joint_product,HEM_PA107.nii.gz,0,joint_product,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,HEM_PA107.nii.gz,1,joint_product,7077888,7077887,1838969.875,0.25981900095939636,1838882.5,87.33273315429688,0.9930948328088831,0.999952495098114
