variant,case,patch_index,patch_kind,dice,precision,recall,tp,fp,tn,fn
A_init_no_adaptation,CYST_PA62.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,CYST_PA62.nii.gz,1,foreground,0.7091488873821932,0.8847474231896466,0.5917103238292402,214937,27999,6686642,148310
A_init_no_adaptation,HEM_PA29.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,HEM_PA29.nii.gz,1,foreground,0.7317588828537485,0.8719605963020588,0.6303978183102368,192787,28309,6743761,113031
A_init_no_adaptation,HEP_PA28.nii.gz,0,context,0.0,0.0,0.0,0,161581,6916307,0
A_init_no_adaptation,HEP_PA28.nii.gz,1,context_fill,0.8575001219928756,0.9159988010998605,0.8060247457199536,70291,6446,6984235,16916
A_init_no_adaptation,HEM_PA107.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,HEM_PA107.nii.gz,1,foreground,0.8924423082848076,0.951572406737344,0.8402308996050838,202762,10319,6826252,38555
A0_confidence_rank,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,CYST_PA62.nii.gz,1,,0.7082202878565889,0.9471376606132695,0.5655573205009263,205437,11466,6703175,157810
A0_confidence_rank,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,HEM_PA29.nii.gz,1,,0.655042452730314,0.9291953001105291,0.5058073756286419,154685,11787,6760283,151133
A0_confidence_rank,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,141007,6936881,0
A0_confidence_rank,HEP_PA28.nii.gz,1,,0.8142649967040211,0.9576543190733878,0.7082229637529097,61762,2731,6987950,25445
A0_confidence_rank,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,HEM_PA107.nii.gz,1,,0.8386660039290871,0.9778719787164755,0.7341546596385667,177164,4009,6832562,64153
A1_world,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,CYST_PA62.nii.gz,1,,0.7502091465669557,0.9308461607485174,0.6282859872208167,228223,16955,6697686,135024
A1_world,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA29.nii.gz,1,,0.7279204033716947,0.8845614166378237,0.6184102963200335,189121,24681,6747389,116697
A1_world,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,156390,6921498,0
A1_world,HEP_PA28.nii.gz,1,,0.8818820299510677,0.9110168455538984,0.8545529601981492,74523,7279,6983402,12684
A1_world,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA107.nii.gz,1,,0.9124301108720262,0.9531140689387477,0.8750771806379161,211171,10388,6826183,30146
A2_joint_product,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,CYST_PA62.nii.gz,1,,0.7213180610889774,0.9084602743850171,0.5981081743276614,217261,21892,6692749,145986
A2_joint_product,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA29.nii.gz,1,,0.6997786074228836,0.8859226827105636,0.5782753140756921,176847,22772,6749298,128971
A2_joint_product,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,158578,6919310,0
A2_joint_product,HEP_PA28.nii.gz,1,,0.8741941820389649,0.9089119940586706,0.842031029619182,73431,7359,6983322,13776
A2_joint_product,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA107.nii.gz,1,,0.8972470203931704,0.9497319965562252,0.8502592026255921,205182,10860,6825711,36135
