variant,case,patches,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,CYST_PA62.nii.gz,2,205437,11466,13781063,157810,0.7082202878565889,0.9471376606132695,0.5655573205009263,-0.0009285995256043122,0.06239023742362293,-0.02615300332831383
A0_confidence_rank,HEM_PA107.nii.gz,2,177164,4009,13910450,64153,0.8386660039290871,0.9778719787164755,0.7341546596385667,-0.05377630435572056,0.026299571979131464,-0.10607623996651705
A0_confidence_rank,HEM_PA29.nii.gz,2,154685,11787,13838171,151133,0.655042452730314,0.9291953001105291,0.5058073756286419,-0.07671643012343443,0.05723470380847029,-0.12459044268159492
A0_confidence_rank,HEP_PA28.nii.gz,2,61762,143738,13924831,25445,0.4220056233708111,0.3005450121654501,0.7082229637529097,-0.009856752790774026,0.005598763875350299,-0.09780178196704392
A1_world,CYST_PA62.nii.gz,2,228223,16955,13775574,135024,0.7502091465669557,0.9308461607485174,0.6282859872208167,0.041060259184762526,0.04609873755887084,0.036575663391576585
A1_world,HEM_PA107.nii.gz,2,211171,10388,13904071,30146,0.9124301108720262,0.9531140689387477,0.8750771806379161,0.01998780258721855,0.0015416622014037262,0.03484628103283227
A1_world,HEM_PA29.nii.gz,2,189121,24681,13825277,116697,0.7279204033716947,0.8845614166378237,0.6184102963200335,-0.003838479482053736,0.012600820335764928,-0.011987521990203254
A1_world,HEP_PA28.nii.gz,2,74523,163669,13904900,12684,0.458040743825273,0.3128694498555787,0.8545529601981492,0.026178367663687863,0.017923201565478886,0.04852821447819555
A2_joint_product,CYST_PA62.nii.gz,2,217261,21892,13770637,145986,0.7213180610889774,0.9084602743850171,0.5981081743276614,0.012169173706784275,0.023712851195370477,0.0063978504984212314
A2_joint_product,HEM_PA107.nii.gz,2,205182,10860,13903599,36135,0.8972470203931704,0.9497319965562252,0.8502592026255921,0.004804712108362752,-0.0018404101811188012,0.010028303020508278
A2_joint_product,HEM_PA29.nii.gz,2,176847,22772,13827186,128971,0.6997786074228836,0.8859226827105636,0.5782753140756921,-0.0319802754308649,0.013962086408504826,-0.052122504234544675
A2_joint_product,HEP_PA28.nii.gz,2,73431,165937,13902632,13776,0.4497037433973819,0.3067703285318004,0.842031029619182,0.017841367235796768,0.011824080241700619,0.03600628389922833
A_init_no_adaptation,CYST_PA62.nii.gz,2,214937,27999,13764530,148310,0.7091488873821932,0.8847474231896466,0.5917103238292402,,,
A_init_no_adaptation,HEM_PA107.nii.gz,2,202762,10319,13904140,38555,0.8924423082848076,0.951572406737344,0.8402308996050838,,,
A_init_no_adaptation,HEM_PA29.nii.gz,2,192787,28309,13821649,113031,0.7317588828537485,0.8719605963020588,0.6303978183102368,,,
A_init_no_adaptation,HEP_PA28.nii.gz,2,70291,168027,13900542,16916,0.4318623761615851,0.2949462482900998,0.8060247457199536,,,
