variant,case,patch_index,reliability_source,training_used,patch_kind,pseudo_label_voxels,nonzero_weight_voxels,weight_sum,weight_mean,weighted_correct_mass,weighted_error_mass,teacher_pseudo_accuracy,teacher_weighted_accuracy
A0_confidence_rank,CYST_PA62.nii.gz,0,confidence_rank,0,context,7077888,7077888,3538944.25,0.5000000596046448,3538944.25,0.0,1.0,1.0
A0_confidence_rank,CYST_PA62.nii.gz,1,confidence_rank,1,foreground,7077888,7077888,3538944.5,0.5000000596046448,3533220.75,5723.7060546875,0.9750901681405527,0.9983826279640198
A0_confidence_rank,HEM_PA29.nii.gz,0,confidence_rank,0,context,7077888,7077888,3538944.25,0.5000000596046448,3538944.25,0.0,1.0,1.0
A0_confidence_rank,HEM_PA29.nii.gz,1,confidence_rank,1,foreground,7077888,7077888,3538944.5,0.5000000596046448,3534614.0,4330.46533203125,0.9800307662398727,0.9987763166427612
A0_confidence_rank,HEP_PA28.nii.gz,0,confidence_rank,0,context,7077888,7077888,3538944.5,0.5000000596046448,3535741.0,3203.316162109375,0.9771710148564091,0.9990947842597961
A0_confidence_rank,HEP_PA28.nii.gz,1,confidence_rank,0,context_fill,7077888,7077888,3538944.5,0.5000000596046448,3538727.5,216.81472778320312,0.996699297869647,0.9999386668205261
A0_confidence_rank,HEM_PA107.nii.gz,0,confidence_rank,0,context,7077888,7077888,3538944.25,0.5000000596046448,3538944.25,0.0,1.0,1.0
A0_confidence_rank,HEM_PA107.nii.gz,1,confidence_rank,1,foreground,7077888,7077888,3538944.5,0.5000000596046448,3538191.25,753.2224731445312,0.9930948328088831,0.9997871518135071
A1_world,CYST_PA62.nii.gz,0,world_stability,0,context,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,CYST_PA62.nii.gz,1,world_stability,1,foreground,7077888,7077887,3538943.5,0.4999999403953552,3515861.5,23081.935546875,0.9750901681405527,0.9934777021408081
A1_world,HEM_PA29.nii.gz,0,world_stability,0,context,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,HEM_PA29.nii.gz,1,world_stability,1,foreground,7077888,7077887,3538943.5,0.4999999403953552,3531931.5,7011.9443359375,0.9800307662398727,0.9980186223983765
A1_world,HEP_PA28.nii.gz,0,world_stability,0,context,7077888,7077887,3538943.5,0.4999999403953552,3521075.25,17868.294921875,0.9771710148564091,0.9949509501457214
A1_world,HEP_PA28.nii.gz,1,world_stability,0,context_fill,7077888,7077887,3538943.5,0.4999999403953552,3537172.0,1771.373046875,0.996699297869647,0.9994994401931763
A1_world,HEM_PA107.nii.gz,0,world_stability,0,context,7077888,7077887,3538943.5,0.4999999403953552,3538943.5,0.0,1.0,1.0
A1_world,HEM_PA107.nii.gz,1,world_stability,1,foreground,7077888,7077887,3538943.5,0.4999999403953552,3535905.0,3038.521484375,0.9930948328088831,0.9991413950920105
A2_joint_product,CYST_PA62.nii.gz,0,joint_product,0,context,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,CYST_PA62.nii.gz,1,joint_product,1,foreground,7077888,7077887,1966304.625,0.2778095006942749,1965217.75,1086.9566650390625,0.9750901681405527,0.999447226524353
A2_joint_product,HEM_PA29.nii.gz,0,joint_product,0,context,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,HEM_PA29.nii.gz,1,joint_product,1,foreground,7077888,7077887,2074642.75,0.2931160628795624,2074353.125,289.45782470703125,0.9800307662398727,0.999860405921936
A2_joint_product,HEP_PA28.nii.gz,0,joint_product,0,context,7077888,7077887,1868702.25,0.26401975750923157,1868137.25,565.035888671875,0.9771710148564091,0.9996976256370544
A2_joint_product,HEP_PA28.nii.gz,1,joint_product,0,context_fill,7077888,7077887,1734350.125,0.24503780901432037,1734304.125,45.87600326538086,0.996699297869647,0.999973475933075
A2_joint_product,HEM_PA107.nii.gz,0,joint_product,0,context,7077888,7077887,1769472.0,0.25,1769472.0,0.0,1.0,1.0
A2_joint_product,HEM_PA107.nii.gz,1,joint_product,1,foreground,7077888,7077887,1838969.875,0.25981900095939636,1838882.5,87.33273315429688,0.9930948328088831,0.999952495098114
