variant,case,patch_index,patch_kind,dice,precision,recall,tp,fp,tn,fn
A_init_no_adaptation,CYST_PA62.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,CYST_PA62.nii.gz,1,foreground,0.7093218885252823,0.8847690566814114,0.5919415714376168,215021,28004,6686637,148226
A_init_no_adaptation,HEM_PA29.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,HEM_PA29.nii.gz,1,foreground,0.7771459524118514,0.9818028364992558,0.643093134316093,344332,6382,6536075,191099
A_init_no_adaptation,HEP_PA28.nii.gz,0,context,0.0,0.0,0.0,0,161602,6916286,0
A_init_no_adaptation,HEP_PA28.nii.gz,1,foreground,0.6605241206839629,0.9381277494121751,0.5096981273260737,207072,13657,6657967,199192
A_init_no_adaptation,HEM_PA107.nii.gz,0,context,1.0,0.0,0.0,0,0,7077888,0
A_init_no_adaptation,HEM_PA107.nii.gz,1,foreground,0.8924573352552182,0.9515481140132709,0.8402764828006315,202773,10325,6826246,38544
A0_confidence_rank,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,CYST_PA62.nii.gz,1,,0.7687719879849363,0.8790332865705904,0.6830889174583685,248130,34146,6680495,115117
A0_confidence_rank,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,HEM_PA29.nii.gz,1,,0.8396026177701786,0.962230775727886,0.7446972625791185,398734,15651,6526806,136697
A0_confidence_rank,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,173023,6904865,0
A0_confidence_rank,HEP_PA28.nii.gz,1,,0.7350974171751595,0.9144529375785168,0.6145609751294725,249674,23357,6648267,156590
A0_confidence_rank,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A0_confidence_rank,HEM_PA107.nii.gz,1,,0.9240767377053642,0.9338665312513225,0.9144900690792609,220682,15628,6820943,20635
A1_world,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,CYST_PA62.nii.gz,1,,0.7300522492672359,0.9536084304725717,0.5914074995801755,214827,10451,6704190,148420
A1_world,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA29.nii.gz,1,,0.7127096591967597,0.999713393621828,0.5537389504903526,296489,85,6542372,238942
A1_world,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,144701,6933187,0
A1_world,HEP_PA28.nii.gz,1,,0.6646948567270554,0.9771027724984958,0.5036601815568202,204619,4795,6666829,201645
A1_world,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A1_world,HEM_PA107.nii.gz,1,,0.8505590862691047,0.983518366414456,0.7492675609260848,180811,3030,6833541,60506
A2_joint_product,CYST_PA62.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,CYST_PA62.nii.gz,1,,0.7492330401989307,0.93601660127645,0.6245942843299462,226882,15509,6699132,136365
A2_joint_product,HEM_PA29.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA29.nii.gz,1,,0.7223565833786504,0.9991949984328863,0.5656396435768568,302861,244,6542213,232570
A2_joint_product,HEP_PA28.nii.gz,0,,0.0,0.0,0.0,0,151725,6926163,0
A2_joint_product,HEP_PA28.nii.gz,1,,0.6894977890082122,0.961923185391476,0.5373230214835674,218295,8641,6662983,187969
A2_joint_product,HEM_PA107.nii.gz,0,,1.0,0.0,0.0,0,0,7077888,0
A2_joint_product,HEM_PA107.nii.gz,1,,0.8751494480423735,0.9759746285551125,0.7932056175072623,191414,4712,6831859,49903
