variant,case,patches,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,CYST_PA62.nii.gz,2,248130,34146,13758383,115117,0.7687719879849363,0.8790332865705904,0.6830889174583685,0.05945009945965396,-0.005735770110820937,0.0911473460207517
A0_confidence_rank,HEM_PA107.nii.gz,2,220682,15628,13898831,20635,0.9240767377053642,0.9338665312513225,0.9144900690792609,0.03161940245014605,-0.017681582761948422,0.0742135862786294
A0_confidence_rank,HEM_PA29.nii.gz,2,398734,15651,13604694,136697,0.8396026177701786,0.962230775727886,0.7446972625791185,0.06245666535832728,-0.01957206077136986,0.10160412826302545
A0_confidence_rank,HEP_PA28.nii.gz,2,249674,196380,13553132,156590,0.5858705318906793,0.5597394037493219,0.6145609751294725,0.060703621118990414,0.01813540093500654,0.10486284780339883
A1_world,CYST_PA62.nii.gz,2,214827,10451,13782078,148420,0.7300522492672359,0.9536084304725717,0.5914074995801755,0.020730360741953557,0.06883937379116034,-0.000534071857441365
A1_world,HEM_PA107.nii.gz,2,180811,3030,13911429,60506,0.8505590862691047,0.983518366414456,0.7492675609260848,-0.041898248986113495,0.03197025240118512,-0.09100892187454668
A1_world,HEM_PA29.nii.gz,2,296489,85,13620260,238942,0.7127096591967597,0.999713393621828,0.5537389504903526,-0.0644362932150917,0.017910557122572168,-0.08935418382574045
A1_world,HEP_PA28.nii.gz,2,204619,149496,13600016,201645,0.5382026594632413,0.5778320602064301,0.5036601815568202,0.01303574869155244,0.036228057392114765,-0.006037945769253428
A2_joint_product,CYST_PA62.nii.gz,2,226882,15509,13777020,136365,0.7492330401989307,0.93601660127645,0.6245942843299462,0.03991115167364834,0.05124754459503866,0.032652712892329405
A2_joint_product,HEM_PA107.nii.gz,2,191414,4712,13909747,49903,0.8751494480423735,0.9759746285551125,0.7932056175072623,-0.017307887212844708,0.024426514541841637,-0.047070865293369235
A2_joint_product,HEM_PA29.nii.gz,2,302861,244,13620101,232570,0.7223565833786504,0.9991949984328863,0.5656396435768568,-0.054789369033200974,0.017392161933630468,-0.07745349073923624
A2_joint_product,HEP_PA28.nii.gz,2,218295,160366,13589146,187969,0.5562187470140459,0.5764919017274026,0.5373230214835674,0.031051836242357078,0.0348878989130873,0.027624894157493696
A_init_no_adaptation,CYST_PA62.nii.gz,2,215021,28004,13764525,148226,0.7093218885252823,0.8847690566814114,0.5919415714376168,,,
A_init_no_adaptation,HEM_PA107.nii.gz,2,202773,10325,13904134,38544,0.8924573352552182,0.9515481140132709,0.8402764828006315,,,
A_init_no_adaptation,HEM_PA29.nii.gz,2,344332,6382,13613963,191099,0.7771459524118514,0.9818028364992558,0.643093134316093,,,
A_init_no_adaptation,HEP_PA28.nii.gz,2,207072,175259,13574253,199192,0.5251669107716889,0.5416040028143153,0.5096981273260737,,,
