variant,order,case,patches,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_init_no_adaptation,forward,CYST_PA62.nii.gz,2,215023,28009,13764520,148224,0.709320296431181,0.8847518022318048,0.5919470773330544,,,
A_init_no_adaptation,forward,HEM_PA107.nii.gz,2,202775,10325,13904134,38542,0.8924622098204953,0.9515485687470671,0.8402847706543675,,,
A_init_no_adaptation,forward,HEM_PA29.nii.gz,2,344316,6381,13613964,191115,0.7771247494718596,0.9818048058580484,0.643063251847577,,,
A_init_no_adaptation,forward,HEP_PA28.nii.gz,2,207098,175267,13574245,199166,0.5252102065736868,0.5416238410942424,0.5097621251206113,,,
A0_confidence_rank,forward,CYST_PA62.nii.gz,2,229914,21323,13771206,133333,0.7483156599683637,0.9151279469186465,0.6329412218132565,0.03899536353718269,0.03037614468684169,0.04099414448020211
A0_confidence_rank,forward,HEM_PA107.nii.gz,2,192731,9383,13905076,48586,0.8692716566951791,0.9535757048002612,0.7986631691923901,-0.02319055312531615,0.0020271360531941562,-0.04162160146197735
A0_confidence_rank,forward,HEM_PA29.nii.gz,2,294246,2525,13617820,241185,0.7071504274202658,0.991491756269986,0.5495498019352634,-0.06997432205159382,0.009686950411937567,-0.09351344991231358
A0_confidence_rank,forward,HEP_PA28.nii.gz,2,197697,160411,13589101,208567,0.5172795445149744,0.5520597138293476,0.48662199948801765,-0.007930662058712401,0.010435872735105156,-0.0231401256325936
A0_confidence_rank,reverse,CYST_PA62.nii.gz,2,203775,7703,13784826,159472,0.7091217538822915,0.9635754073709795,0.5609819213923308,,,
A0_confidence_rank,reverse,HEM_PA107.nii.gz,2,170066,3989,13910470,71251,0.8188611654131718,0.9770819568527189,0.7047410667296543,,,
A0_confidence_rank,reverse,HEM_PA29.nii.gz,2,231737,0,13620345,303694,0.6041362517727538,1.0,0.43280460040602803,,,
A0_confidence_rank,reverse,HEP_PA28.nii.gz,2,147605,141452,13608060,258659,0.42456649518711503,0.510643229536043,0.36332286395053465,,,
A1_world,forward,CYST_PA62.nii.gz,2,118949,10965,13781564,244298,0.4823941876993517,0.915598010991887,0.3274603781999576,-0.22692610873182928,0.03084620876008215,-0.2644866991330968
A1_world,forward,HEM_PA107.nii.gz,2,143515,3934,13910525,97802,0.7383104489590139,0.973319588467877,0.5947156644579537,-0.1541517608614814,0.02177101972080997,-0.2455691061964138
A1_world,forward,HEM_PA29.nii.gz,2,222640,1871,13618474,312791,0.5859394532740656,0.991666332607311,0.4158145494003896,-0.191185296197794,0.00986152674926255,-0.22724870244718737
A1_world,forward,HEP_PA28.nii.gz,2,112611,140873,13608639,293653,0.3413757980319758,0.4442528917012514,0.2771867554102751,-0.18383440854171096,-0.09737094939299107,-0.23257536971033616
A1_world,reverse,CYST_PA62.nii.gz,2,206061,7652,13784877,157186,0.7142990848585691,0.9641949717611937,0.5672751598774388,,,
A1_world,reverse,HEM_PA107.nii.gz,2,179005,4269,13910190,62312,0.8431879149581597,0.9767070069949911,0.7417836290025154,,,
A1_world,reverse,HEM_PA29.nii.gz,2,255444,19,13620326,279987,0.6459626700923259,0.9999256252373142,0.47708108047535536,,,
A1_world,reverse,HEP_PA28.nii.gz,2,157212,141756,13607756,249052,0.44584477164961317,0.5258489202857831,0.3869700490321564,,,
A2_joint_product,forward,CYST_PA62.nii.gz,2,154286,10502,13782027,208961,0.5843779294933101,0.9362696312838313,0.4247412917381286,-0.12494236693787086,0.05151782905202651,-0.16720578559492583
A2_joint_product,forward,HEM_PA107.nii.gz,2,156385,5164,13909295,84932,0.776362363664345,0.9680344663229113,0.6480480032488387,-0.11609984615615032,0.01648589757584429,-0.19223676740552875
A2_joint_product,forward,HEM_PA29.nii.gz,2,253638,2878,13617467,281793,0.6405428646108894,0.988780426951925,0.47370809684160986,-0.13658188486097023,0.006975621093876616,-0.1693551550059671
A2_joint_product,forward,HEP_PA28.nii.gz,2,136329,142270,13607242,269935,0.3981205000124112,0.489337721958801,0.3355675127503298,-0.12708970656127555,-0.052286119135441456,-0.17419461237028144
A2_joint_product,reverse,CYST_PA62.nii.gz,2,177807,1147,13791382,185440,0.6558711621704866,0.9935905316450038,0.4894933750313148,,,
A2_joint_product,reverse,HEM_PA107.nii.gz,2,150387,2441,13912018,90930,0.7631049486863971,0.9840277959536211,0.6231927298947029,,,
A2_joint_product,reverse,HEM_PA29.nii.gz,2,215484,0,13620345,319947,0.5739238129482032,1.0,0.40244961535660057,,,
A2_joint_product,reverse,HEP_PA28.nii.gz,2,127303,121637,13627875,278961,0.38859042374588676,0.5113802522696232,0.31335043223125847,,,
