variant,order,step,case,patch_index,augmentation,reliability_source,pseudo_positive_voxels,weight_sum,weight_mean,weight_min,weight_max
A0_confidence_rank,forward,1,HEM_PA99.nii.gz,1,gamma:0.3,confidence_rank,396028,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9935435652732849
A0_confidence_rank,forward,2,HCC_10140276_20170721.nii.gz,1,blur:1.5,confidence_rank,182838,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9787806868553162
A0_confidence_rank,forward,3,HEM_PA97.nii.gz,1,gamma:0.3,confidence_rank,279630,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9917400479316711
A0_confidence_rank,forward,4,CYST_PA69.nii.gz,1,blur:1.5,confidence_rank,435768,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9969905018806458
A0_confidence_rank,reverse,1,CYST_PA69.nii.gz,1,blur:1.5,confidence_rank,435768,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9969905018806458
A0_confidence_rank,reverse,2,HEM_PA97.nii.gz,1,gamma:0.3,confidence_rank,279630,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9917400479316711
A0_confidence_rank,reverse,3,HCC_10140276_20170721.nii.gz,1,blur:1.5,confidence_rank,182838,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9787806868553162
A0_confidence_rank,reverse,4,HEM_PA99.nii.gz,1,gamma:0.3,confidence_rank,396028,3538944.5,0.5000000596046448,1.4128508496469294e-07,0.9935435652732849
A1_world,forward,1,HEM_PA99.nii.gz,1,gamma:0.3,world_stability,396028,3538943.5,0.4999999403953552,0.0,0.9993924498558044
A1_world,forward,2,HCC_10140276_20170721.nii.gz,1,blur:1.5,world_stability,182838,3538943.5,0.4999999403953552,0.0,0.9999744296073914
A1_world,forward,3,HEM_PA97.nii.gz,1,gamma:0.3,world_stability,279630,3538943.5,0.4999999403953552,0.0,0.9999953508377075
A1_world,forward,4,CYST_PA69.nii.gz,1,blur:1.5,world_stability,435768,3538943.5,0.4999999403953552,0.0,0.9997047781944275
A1_world,reverse,1,CYST_PA69.nii.gz,1,blur:1.5,world_stability,435768,3538943.5,0.4999999403953552,0.0,0.9997047781944275
A1_world,reverse,2,HEM_PA97.nii.gz,1,gamma:0.3,world_stability,279630,3538943.5,0.4999999403953552,0.0,0.9999953508377075
A1_world,reverse,3,HCC_10140276_20170721.nii.gz,1,blur:1.5,world_stability,182838,3538943.5,0.4999999403953552,0.0,0.9999744296073914
A1_world,reverse,4,HEM_PA99.nii.gz,1,gamma:0.3,world_stability,396028,3538943.5,0.4999999403953552,0.0,0.9993924498558044
A2_joint_product,forward,1,HEM_PA99.nii.gz,1,gamma:0.3,joint_product,396028,2004683.0,0.28323179483413696,0.0,0.9923363924026489
A2_joint_product,forward,2,HCC_10140276_20170721.nii.gz,1,blur:1.5,joint_product,182838,2010261.0,0.2840198874473572,0.0,0.9787306189537048
A2_joint_product,forward,3,HEM_PA97.nii.gz,1,gamma:0.3,joint_product,279630,1923318.5,0.271736204624176,0.0,0.991730809211731
A2_joint_product,forward,4,CYST_PA69.nii.gz,1,blur:1.5,joint_product,435768,1936232.875,0.2735608220100403,0.0,0.9963862299919128
A2_joint_product,reverse,1,CYST_PA69.nii.gz,1,blur:1.5,joint_product,435768,1936232.875,0.2735608220100403,0.0,0.9963862299919128
A2_joint_product,reverse,2,HEM_PA97.nii.gz,1,gamma:0.3,joint_product,279630,1923318.5,0.271736204624176,0.0,0.991730809211731
A2_joint_product,reverse,3,HCC_10140276_20170721.nii.gz,1,blur:1.5,joint_product,182838,2010261.0,0.2840198874473572,0.0,0.9787306189537048
A2_joint_product,reverse,4,HEM_PA99.nii.gz,1,gamma:0.3,joint_product,396028,2004683.0,0.28323179483413696,0.0,0.9923363924026489
