variant,order,step,case,case_count,patch_count,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,1,2,214749,27814,13764715,148498,0.7089648569683564,0.8853328825913268,0.5911927696581114,-0.00030305914435102554,0.0005657063119794969,-0.0006744721910986184
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,1,2,202647,10253,13904206,38670,0.8922915698884013,0.9518412400187881,0.8397543480152663,-0.00016481871134654824,0.0002846499693264226,-0.0005138469316292582
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,1,2,343353,6265,13614080,192078,0.7758960238359685,0.9820804420825014,0.6412647007737692,-0.0012333687044290276,0.0002782282371284195,-0.0018060216909367988
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,1,2,205435,174545,13574967,200829,0.5225731452322688,0.5406468761513764,0.5056687277238446,-0.0027199021434594073,-0.0010142339573752102,-0.004216470078569512
A0_confidence_rank,reverse,4,CYST_PA62.nii.gz,1,2,215167,27876,13764653,148080,0.7097824473436805,0.8853042465736516,0.5923435018045572,0.0005145312309730032,0.000537070294304276,0.00047625995534716914
A0_confidence_rank,reverse,4,HEM_PA107.nii.gz,1,2,202743,10315,13904144,38574,0.8924038514442916,0.9515859531207465,0.8401521649945922,-5.253715545627813e-05,2.9363071284760345e-05,-0.00011602995230330926
A0_confidence_rank,reverse,4,HEM_PA29.nii.gz,1,2,343986,6391,13613954,191445,0.7766604049636039,0.9817596474654444,0.6424469259344341,-0.00046898757679358916,-4.256637992861023e-05,-0.0006237965302718917
A0_confidence_rank,reverse,4,HEP_PA28.nii.gz,1,2,206555,174898,13574614,199709,0.5244396147347334,0.5414952825118691,0.508425555796231,-0.0008534326409948001,-0.00016582759688255067,-0.0014596420061830928
A1_world,forward,4,CYST_PA62.nii.gz,1,2,214043,27694,13764835,149204,0.7075988786480304,0.8854374795749099,0.5892491885686599,-0.001669037464677059,0.0006703032955626131,-0.0026180532805500922
A1_world,forward,4,HEM_PA107.nii.gz,1,2,202388,10204,13904255,38929,0.8917558365222985,0.9520019567998795,0.8386810709564597,-0.0007005520774493457,0.00044536675041784157,-0.0015871239904358125
