variant,order,step,case,augmentation,reliability_source,pseudo_positive_voxels,weight_sum,weight_mean
A0_confidence_rank,forward,1,HEM_PA99.nii.gz,gamma:0.3,confidence_rank,396034,3538944.5,0.5000000596046448
A0_confidence_rank,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,confidence_rank,182852,3538944.25,0.5000000596046448
A0_confidence_rank,forward,3,HEM_PA97.nii.gz,gamma:0.3,confidence_rank,279622,3538944.5,0.5000000596046448
A0_confidence_rank,forward,4,CYST_PA69.nii.gz,blur:1.5,confidence_rank,435709,3538944.5,0.5000000596046448
A0_confidence_rank,reverse,1,CYST_PA69.nii.gz,blur:1.5,confidence_rank,435709,3538944.5,0.5000000596046448
A0_confidence_rank,reverse,2,HEM_PA97.nii.gz,gamma:0.3,confidence_rank,279622,3538944.5,0.5000000596046448
A0_confidence_rank,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,confidence_rank,182852,3538944.25,0.5000000596046448
A0_confidence_rank,reverse,4,HEM_PA99.nii.gz,gamma:0.3,confidence_rank,396034,3538944.5,0.5000000596046448
A1_world,forward,1,HEM_PA99.nii.gz,gamma:0.3,world_stability,396034,3538943.5,0.4999999403953552
A1_world,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,world_stability,182852,3538943.5,0.4999999403953552
A1_world,forward,3,HEM_PA97.nii.gz,gamma:0.3,world_stability,279622,3538943.5,0.4999999403953552
A1_world,forward,4,CYST_PA69.nii.gz,blur:1.5,world_stability,435709,3538943.5,0.4999999403953552
A1_world,reverse,1,CYST_PA69.nii.gz,blur:1.5,world_stability,435709,3538943.5,0.4999999403953552
A1_world,reverse,2,HEM_PA97.nii.gz,gamma:0.3,world_stability,279622,3538943.5,0.4999999403953552
A1_world,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,world_stability,182852,3538943.5,0.4999999403953552
A1_world,reverse,4,HEM_PA99.nii.gz,gamma:0.3,world_stability,396034,3538943.5,0.4999999403953552
A2_joint_product,forward,1,HEM_PA99.nii.gz,gamma:0.3,joint_product,396034,2004955.375,0.28327029943466187
A2_joint_product,forward,2,HCC_10140276_20170721.nii.gz,blur:1.5,joint_product,182852,2010342.25,0.28403136134147644
A2_joint_product,forward,3,HEM_PA97.nii.gz,gamma:0.3,joint_product,279622,1923373.5,0.2717439830303192
A2_joint_product,forward,4,CYST_PA69.nii.gz,blur:1.5,joint_product,435709,1936069.75,0.2735377848148346
A2_joint_product,reverse,1,CYST_PA69.nii.gz,blur:1.5,joint_product,435709,1936069.75,0.2735377848148346
A2_joint_product,reverse,2,HEM_PA97.nii.gz,gamma:0.3,joint_product,279622,1923373.5,0.2717439830303192
A2_joint_product,reverse,3,HCC_10140276_20170721.nii.gz,blur:1.5,joint_product,182852,2010342.25,0.28403136134147644
A2_joint_product,reverse,4,HEM_PA99.nii.gz,gamma:0.3,joint_product,396034,2004955.375,0.28327029943466187
