variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,full_volume,383209,186992,11904078,830117,0.429720435967608,0.6720595018247951,0.31583350229039847,0.2736585546997182,,,,
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,full_volume,546259,136274,14365233,865796,0.5215908808796765,0.8003407893830774,0.3868539114977816,0.35280550839001273,,,,
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,full_volume,404006,143119,6825666,504364,0.5551458438538092,0.7384162668494403,0.44475929412023735,0.3842227545889686,,,,
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,full_volume,387139,31879,11746722,433476,0.6246026041578435,0.9239197361449866,0.4717669065274215,0.4541251903239202,,,,
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,full_volume,382551,186180,11904890,830775,0.42933643536654553,0.6726396134552187,0.3152911913203871,0.27334716678599447,-0.000384000601062473,-0.0003113879137237596,0.0005801116304235965,-0.0005423109700113948
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,full_volume,545245,135608,14365899,866810,0.5210405808568748,0.8008263164001628,0.3861358091575753,0.3523021484651374,-0.000550300022801764,-0.000503359924875324,0.00048552701708537427,-0.0007181023402063058
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,full_volume,402802,141737,6827048,505568,0.5544765707969322,0.7397119398243285,0.44343384303752875,0.3835818635624751,-0.0006692730568769178,-0.0006408910264935064,0.0012956729748881957,-0.0013254510827085952
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,full_volume,386937,31880,11746721,433678,0.6243779408632342,0.9238808357826926,0.4715207496816412,0.45388770608625273,-0.00022466329460935075,-0.0002374842376674513,-3.890036229392546e-05,-0.0002461568457802765
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,full_volume,381578,184107,11906963,831748,0.4289776735500792,0.6745414851021329,0.3144892633966469,0.2730563826673622,-0.0007427624175287972,-0.0006021720323560187,0.0024819832773377293,-0.0013442388937515704
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,full_volume,543103,134375,14367132,868952,0.5198319433098209,0.8016540758519096,0.38461887107796794,0.35119792037143616,-0.0017589375698556786,-0.0016075880185765778,0.0013132864688322199,-0.0022350404198136498
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,full_volume,393762,136085,6832700,514608,0.5475696643830521,0.7431617051714929,0.43348195118729155,0.3770023600825311,-0.007576179470757061,-0.007220394506437522,0.004745438322052653,-0.0112773429329458
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,full_volume,385905,31144,11747457,434710,0.6236022054450966,0.9253229236852264,0.4702631562913181,0.45306829748790445,-0.0010003987127469305,-0.0010568928360157326,0.0014031875402398253,-0.001503750236103385
A0_confidence_rank,forward,12,CYST_PA62.nii.gz,full_volume,379942,180291,11910779,833384,0.42845149216913564,0.6781856834567046,0.3131409035988679,0.2726301415668724,-0.0012689437984723662,-0.0010284131328458512,0.0061261816319094775,-0.0026925986915305455
A0_confidence_rank,forward,12,HEM_PA29.nii.gz,full_volume,539224,132103,14369404,872831,0.517642947860738,0.8032210830191546,0.38187181094220835,0.34920260750519055,-0.0039479330189385875,-0.00360290088482218,0.0028802936360772247,-0.004982100555573243
A0_confidence_rank,forward,12,HEP_PA28.nii.gz,full_volume,376967,130113,6838672,531403,0.5326461549330601,0.7434073518971366,0.41499278928190053,0.3629977573056083,-0.02249968892074905,-0.021224997283360303,0.004991085047696298,-0.029766504838336816
A0_confidence_rank,forward,12,HEM_PA107.nii.gz,full_volume,384355,29213,11749388,436260,0.6228492857218095,0.9293634904054472,0.46837432900934056,0.45227387188937057,-0.0017533184360339904,-0.0018513184345496092,0.00544375426046062,-0.0033925775180809192
A0_confidence_rank,forward,16,CYST_PA62.nii.gz,full_volume,377419,170665,11920405,835907,0.42854190676787346,0.6886152487574897,0.3110614954266207,0.27270336295539493,-0.001178529199734546,-0.0009551917443232916,0.01655574693269457,-0.004772006863777767
A0_confidence_rank,forward,16,HEM_PA29.nii.gz,full_volume,531499,128080,14373427,880556,0.5131205608712736,0.8058155277836316,0.3764010608651929,0.3450989685969087,-0.008470320008402976,-0.007706539793104039,0.0054747384005542354,-0.010452850632588662
A0_confidence_rank,forward,16,HEP_PA28.nii.gz,full_volume,369969,124566,6844219,538401,0.5274327199632192,0.7481148958112166,0.40728888008190495,0.35817223913195007,-0.027713123890589997,-0.02605051545701853,0.009698628961776312,-0.0374704140383324
A0_confidence_rank,forward,16,HEM_PA107.nii.gz,full_volume,382421,21399,11757202,438194,0.6246489197058235,0.9470085681739389,0.46601756000073113,0.45417415862444094,4.631554797995818e-05,4.896830052075751e-05,0.02308883202895229,-0.0057493465266903465
A0_confidence_rank,forward,20,CYST_PA62.nii.gz,full_volume,373427,161938,11929132,839899,0.4270931799843426,0.6975185154053777,0.3077713656511111,0.271531138748633,-0.0026272559832654085,-0.002127415951085232,0.025459013580582557,-0.008062136639287398
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,full_volume,512845,122046,14379461,899210,0.5010830769351023,0.8077685775983594,0.36319052728116114,0.33429676403313735,-0.020507803944574188,-0.018508744356875384,0.007427788215282005,-0.023663384216620453
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,full_volume,358472,117485,6851300,549898,0.5179007561074804,0.7531604745806869,0.3946321432896287,0.3494372986435705,-0.03724508774632873,-0.034785455945398114,0.014744207731246628,-0.05012715083060865
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,full_volume,379890,18056,11760545,440725,0.6235059221491579,0.9546270096947828,0.4629332878389988,0.45296665796241914,-0.0010966820086856233,-0.0011585323615010412,0.030707273549796188,-0.008833618688422695
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,full_volume,375798,163369,11927701,837528,0.4288724691054401,0.6969974052566273,0.30972549834092405,0.2729711373978986,-0.0008479668621679259,-0.0006874173018196483,0.02493790343183222,-0.0061080039494744165
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,full_volume,516504,124140,14377367,895551,0.5032437780697511,0.806226234851181,0.36578178612022905,0.33622294044701356,-0.018347102809925464,-0.01658256794299917,0.005885445468103545,-0.021072125377552542
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,full_volume,366522,119937,6848848,541848,0.5255439914140013,0.7534489031963639,0.4034941708775059,0.3564324661798471,-0.02960185243980784,-0.02779028840912151,0.015032636346923645,-0.04126512324273146
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,full_volume,380708,18299,11760302,439907,0.6243049075861209,0.9541386491966306,0.4639301012045844,0.4538105216982909,-0.00029769657172262765,-0.00031466862562928855,0.030218913051644036,-0.007836805322837093
A1_world,forward,4,CYST_PA62.nii.gz,full_volume,381392,185714,11905356,831934,0.42842635944534807,0.6725233025219272,0.31433596576682604,0.2726097895699908,-0.0012940765222599349,-0.0010487651297274025,0.000463800697132033,-0.0014975365235724292
A1_world,forward,4,HEM_PA29.nii.gz,full_volume,543834,135107,14366400,868221,0.5201674226062604,0.8010033272405114,0.3851365562956117,0.35150423808237274,-0.0014234582734161672,-0.00130127030763999,0.0006625378574339758,-0.001717355202169868
A1_world,forward,4,HEP_PA28.nii.gz,full_volume,401902,141402,6827383,506468,0.5537083394756674,0.7397368692297498,0.44244305734447414,0.3828469420026444,-0.0014375043781417185,-0.0013758125863241877,0.0013206023803095102,-0.002316236775763203
A1_world,forward,4,HEM_PA107.nii.gz,full_volume,386231,31770,11746831,434384,0.6236492988948956,0.9239953971401982,0.4706604193196566,0.45311801592003614,-0.0009533052629479011,-0.001007174403884037,7.566099521161274e-05,-0.0011064872077649057
A1_world,forward,8,CYST_PA62.nii.gz,full_volume,378552,182898,11908172,834774,0.42659129940905216,0.6742399145070799,0.31199529227923906,0.2711255500550055,-0.003129136558555845,-0.002533004644712733,0.002180412682284749,-0.0038382100111594153
A1_world,forward,8,HEM_PA29.nii.gz,full_volume,538983,132922,14368585,873072,0.5172680857598034,0.8021714379264926,0.3817011377035597,0.34886150408711586,-0.004322795119873102,-0.003944004302896875,0.001830648543415192,-0.00515277379422191
A1_world,forward,8,HEP_PA28.nii.gz,full_volume,394550,136678,6832107,513820,0.5481391332858201,0.7427131100017318,0.43434943910521046,0.37754246694888655,-0.007006710567989072,-0.00668028764008205,0.004296843152291507,-0.010409855015026892
A1_world,forward,8,HEM_PA107.nii.gz,full_volume,383965,31059,11747542,436650,0.6214841066039515,0.9251633640464166,0.4678990756932301,0.4508356483818926,-0.003118497553892041,-0.003289541942027574,0.0012436279014300666,-0.003867830834191399
A1_world,forward,12,CYST_PA62.nii.gz,full_volume,374380,179007,11912063,838946,0.4238152999383601,0.6765247466962542,0.3085568099587415,0.26888682520632634,-0.005905136029247915,-0.004771729493391885,0.004465244871459051,-0.007276692331656953
A1_world,forward,12,HEM_PA29.nii.gz,full_volume,531541,129832,14371675,880514,0.5127171042351121,0.8036932260615417,0.3764308047491068,0.3447340823289904,-0.008873776644564457,-0.008071426061022346,0.003352436678464299,-0.010423106748674804
A1_world,forward,12,HEP_PA28.nii.gz,full_volume,386704,131475,6837310,521666,0.5421531261807341,0.7462749358812303,0.42571198960775897,0.3718861945770764,-0.012992717673075083,-0.012336560011892206,0.00785866903179,-0.01904730451247838
A1_world,forward,12,HEM_PA107.nii.gz,full_volume,381384,30337,11748264,439231,0.6189610625673517,0.9263166076056358,0.46475387361917586,0.44818509152102587,-0.005641541590491794,-0.005940098802894311,0.0023968714606492636,-0.00701303290824562
A1_world,forward,16,CYST_PA62.nii.gz,full_volume,369658,174181,11916889,843668,0.42074364103541784,0.6797195493519221,0.30466502819522534,0.26641883608515127,-0.008976794932190169,-0.007239718614566959,0.007660047527127012,-0.011168474095173131
A1_world,forward,16,HEM_PA29.nii.gz,full_volume,522392,125966,14375541,889663,0.5070750378686215,0.8057153609579892,0.3699515953698687,0.3396520593671998,-0.014515843011055019,-0.013153449022812957,0.005374571574911835,-0.016902316127912875
A1_world,forward,16,HEP_PA28.nii.gz,full_volume,377079,125167,6843618,531291,0.5346302608222223,0.7507854716612975,0.41511608705703623,0.3648432518622942,-0.020515583031586848,-0.01937950272667438,0.012369204811857215,-0.029643207063201116
A1_world,forward,16,HEM_PA107.nii.gz,full_volume,378868,29817,11748784,441747,0.6163963231107135,0.927041609063215,0.46168788043114006,0.4455006396748946,-0.00820628104713006,-0.008624550649025564,0.0031218729182284077,-0.010079026096281418
A1_world,forward,20,CYST_PA62.nii.gz,full_volume,364979,168617,11922453,848347,0.4178538022876808,0.6839987556128607,0.3008086862063452,0.2641056830853371,-0.011866633679927185,-0.00955287161438112,0.011939253788065596,-0.01502481608405326
A1_world,forward,20,HEM_PA29.nii.gz,full_volume,512934,121672,14379835,899121,0.5012398242796438,0.808271588985922,0.36325355598755005,0.33443631102536503,-0.02035105660003278,-0.018369197364647705,0.007930799602844596,-0.02360035551023154
A1_world,forward,20,HEP_PA28.nii.gz,full_volume,365887,118270,6850515,542483,0.5255007622832448,0.7557197355403309,0.40279511652740624,0.3563926985116497,-0.029645081570564336,-0.02783005607731892,0.01730346869089061,-0.04196417759283111
A1_world,forward,20,HEM_PA107.nii.gz,full_volume,375564,28855,11749746,445051,0.6131486962810828,0.9286507310487391,0.4576616318249118,0.44211567212497205,-0.011453907876760705,-0.012009518198948133,0.004730994903752506,-0.014105274702509663
A1_world,reverse,20,CYST_PA62.nii.gz,full_volume,367829,169602,11921468,845497,0.4201942359790651,0.6844208837971758,0.3031576015019871,0.26597841680839496,-0.009526199988542927,-0.007680137891323269,0.01236138197238068,-0.012675900788411354
A1_world,reverse,20,HEM_PA29.nii.gz,full_volume,513248,122578,14378929,898807,0.5012478752427509,0.8072145524089924,0.36347592692919184,0.3344434793204629,-0.020343005636925593,-0.018362029069549812,0.006873763025915025,-0.02337798456858975
A1_world,reverse,20,HEP_PA28.nii.gz,full_volume,377388,123974,6844811,530982,0.5354038923710323,0.7527255755322502,0.41545625681165166,0.3655641917810342,-0.01974195148277691,-0.018658562807934376,0.014309308682809885,-0.02930303730858569
A1_world,reverse,20,HEM_PA107.nii.gz,full_volume,381629,29803,11748798,438986,0.6195039637286565,0.9275627564214742,0.46505243018955295,0.4487546124376483,-0.005098640429187062,-0.005370577886271877,0.003643020276487663,-0.006714476337868536
A2_joint_product,forward,4,CYST_PA62.nii.gz,full_volume,379936,184769,11906301,833390,0.4273671268948629,0.6728043845901842,0.313135958514035,0.27175263483525797,-0.0023533090727451134,-0.0019059198644602593,0.0007448827653890877,-0.002697543776363498
A2_joint_product,forward,4,HEM_PA29.nii.gz,full_volume,542139,134271,14367236,869916,0.5191746091028578,0.8014946556082849,0.3839361781233734,0.35059812743237845,-0.0024162717768186903,-0.002207380957634286,0.0011538662252075227,-0.0029177333744082046
A2_joint_product,forward,4,HEP_PA28.nii.gz,full_volume,400751,140350,6828435,507619,0.5529617356952985,0.7406214366633955,0.4411759525303566,0.38213345792966663,-0.002184108158510667,-0.0020892966593019646,0.0022051698139552434,-0.003583341589880773
A2_joint_product,forward,4,HEM_PA107.nii.gz,full_volume,385603,31563,11747038,435012,0.623055290071507,0.9243394715772618,0.4698951396208941,0.4524911462159314,-0.0015473140863365709,-0.0016340441079887857,0.0004197354322752478,-0.0018717669065274056
A2_joint_product,forward,8,CYST_PA62.nii.gz,full_volume,372866,179761,11911309,840460,0.4222830392428338,0.6747154952617227,0.3073090002192321,0.2676544968117569,-0.007437396724774226,-0.006004057887961323,0.002655993436927573,-0.008524502071166395
A2_joint_product,forward,8,HEM_PA29.nii.gz,full_volume,533150,130028,14371479,878905,0.5138218214533019,0.803931976030568,0.3775702787780929,0.34573366025045343,-0.007769059426374625,-0.0070718481395593,0.003591186647490585,-0.009283632719688684
A2_joint_product,forward,8,HEP_PA28.nii.gz,full_volume,390156,132532,6836253,518214,0.5452693042490242,0.7464414717766622,0.42951220317711947,0.37482491147101266,-0.009876539604784962,-0.00939784311795594,0.008025204927221918,-0.01524709094311788
A2_joint_product,forward,8,HEM_PA107.nii.gz,full_volume,381834,30517,11748084,438781,0.619374743504687,0.9259926615917022,0.46530224283007254,0.4486190156168491,-0.005227860653156502,-0.005506174707071099,0.0020729254467156677,-0.006464663697348938
A2_joint_product,forward,12,CYST_PA62.nii.gz,full_volume,361471,172243,11918827,851855,0.41380964374026924,0.6772747201684798,0.29791745994069196,0.2608827131669372,-0.015910792227338766,-0.012775841532781052,0.005215218343684658,-0.017916042349706507
A2_joint_product,forward,12,HEM_PA29.nii.gz,full_volume,518873,123425,14378082,893182,0.5051449288413432,0.8078384176815123,0.36745948281051377,0.3379223435017063,-0.016445952038333322,-0.014883164888306433,0.007497628298434922,-0.019394428687267817
A2_joint_product,forward,12,HEP_PA28.nii.gz,full_volume,374074,121220,6847565,534296,0.5329965005870351,0.7552564739326542,0.41180796371522616,0.36332326460047204,-0.02214934326677409,-0.020899489988496556,0.016840207083213876,-0.03295133040501119
A2_joint_product,forward,12,HEM_PA107.nii.gz,full_volume,376156,29158,11749443,444459,0.6136668599894447,0.9280607134221862,0.4583830419868026,0.44265468542775543,-0.01093574416839882,-0.011470504896164746,0.004140977277199642,-0.013383864540618906
A2_joint_product,forward,16,CYST_PA62.nii.gz,full_volume,348206,164216,11926854,865120,0.4035421162301796,0.6795297625784997,0.2869847015558885,0.252773418160753,-0.0261783197374284,-0.020885136538965232,0.007470260753704605,-0.02884880073450996
A2_joint_product,forward,16,HEM_PA29.nii.gz,full_volume,502004,115609,14385898,910051,0.4946661227353439,0.8128132017946513,0.3555130642928215,0.3286089087652782,-0.02692475814433265,-0.024196599624734527,0.01247241241157393,-0.03134084720496011
A2_joint_product,forward,16,HEP_PA28.nii.gz,full_volume,358674,110874,6857911,549696,0.520602822519192,0.7638707863732781,0.3948545196340698,0.3519019979514228,-0.034543021334617174,-0.0323207566375458,0.025454519523837815,-0.049904774486167536
