variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,1,foreground,215020,28004,6686637,148227,0.7093197596454391,0.8847685825268287,0.591938818489898
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,1,foreground,344331,6382,6536075,191100,0.7771445724396938,0.9818027846130597,0.6430912666618107
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,0,context,0,161602,6916286,0,0.0,0.0,0.0
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,1,foreground,207072,13657,6657967,199192,0.6605241206839629,0.9381277494121751,0.5096981273260737
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,1,foreground,202773,10325,6826246,38544,0.8924573352552182,0.9515481140132709,0.8402764828006315
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,1,foreground,214832,27821,6686820,148415,0.7091335203829014,0.8853465648477455,0.5914212643187693
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,1,foreground,343420,6277,6536180,192011,0.7759781636102349,0.9820501748656694,0.64138983361068
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,0,context,0,161424,6916464,0,0.0,0.0,0.0
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,1,foreground,206932,13415,6658209,199332,0.6604799468888992,0.9391187536022728,0.5093535238170254
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,1,foreground,202655,10263,6826308,38662,0.8922914350501392,0.9517983449027325,0.83978749943021
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,1,foreground,214760,27508,6687133,148487,0.7093465892669876,0.8864563210989482,0.5912230520830178
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,1,foreground,341646,6165,6536292,193785,0.7736181024000217,0.9822748561718865,0.6380766149139665
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,0,context,0,161235,6916653,0,0.0,0.0,0.0
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,1,foreground,203957,12501,6659123,202307,0.6550499259701761,0.9422474567814542,0.502030699249749
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,1,foreground,202480,10217,6826354,38837,0.8919548736382579,0.9519645317047255,0.8390623122283138
A0_confidence_rank,forward,12,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,12,CYST_PA62.nii.gz,1,foreground,214660,26910,6687731,148587,0.7098345449946016,0.8886037173490086,0.5909477573111409
A0_confidence_rank,forward,12,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,12,HEM_PA29.nii.gz,1,foreground,338795,5992,6536465,196636,0.7697979364202959,0.9826211545098859,0.6327519325552685
A0_confidence_rank,forward,12,HEP_PA28.nii.gz,0,context,0,160863,6917025,0,0.0,0.0,0.0
A0_confidence_rank,forward,12,HEP_PA28.nii.gz,1,foreground,198559,11194,6660430,207705,0.6446542871381796,0.9466324677120231,0.4887437725223008
A0_confidence_rank,forward,12,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,12,HEM_PA107.nii.gz,1,foreground,202114,10120,6826451,39203,0.8912514799879175,0.952316782419405,0.8375456349946336
A0_confidence_rank,forward,16,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,16,CYST_PA62.nii.gz,1,foreground,214593,26036,6688605,148654,0.7107187568308726,0.8918002402037992,0.5907633098139833
A0_confidence_rank,forward,16,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,16,HEM_PA29.nii.gz,1,foreground,334641,5784,6536673,200790,0.7641461610127692,0.9830094734523023,0.6249936966667974
A0_confidence_rank,forward,16,HEP_PA28.nii.gz,0,context,0,160309,6917579,0,0.0,0.0,0.0
