variant,order,step,round,case,patch_index,patch_kind,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,base_trainable_parameters,lora_trainable_parameters
A0_confidence_rank,forward,1,1,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012994934513699263,0.00019556679762899876,0.029707616195082664,0.0001,0.0,0,589824
A0_confidence_rank,forward,2,1,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0013124302495270967,0.0012447898043319583,0.032999131828546524,0.0001,0.0,0,589824
A0_confidence_rank,forward,3,1,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0009914912516251206,0.001620644237846136,0.028179433196783066,0.0001,0.0,0,589824
A0_confidence_rank,forward,4,1,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0021854706574231386,0.0010942970402538776,0.02098095417022705,0.0001,0.0,0,589824
A0_confidence_rank,forward,5,2,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012659362982958555,0.0001730042276903987,0.018272290006279945,0.0001,0.0,0,589824
A0_confidence_rank,forward,6,2,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0012921049492433667,0.0011115710949525237,0.0217888280749321,0.0001,0.0,0,589824
A0_confidence_rank,forward,7,2,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0009690216393209994,0.001668086159043014,0.025335706770420074,0.0001,0.0,0,589824
A0_confidence_rank,forward,8,2,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0021752945613116026,0.0013167173601686954,0.023280974477529526,0.0001,0.0,0,589824
A0_confidence_rank,forward,9,3,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012430790229700506,0.0002077134558930993,0.021661460399627686,0.0001,0.0,0,589824
A0_confidence_rank,forward,10,3,HCC_10140276_20170721.nii.gz,1,foreground,blur:1.5,0.0012603305513039231,0.0016287832986563444,0.024965260177850723,0.0001,0.0,0,589824
A0_confidence_rank,forward,11,3,HEM_PA97.nii.gz,1,foreground,gamma:0.3,0.0009373276261612773,0.00218952470459044,0.027957314625382423,0.0001,0.0,0,589824
A0_confidence_rank,forward,12,3,CYST_PA69.nii.gz,1,foreground,blur:1.5,0.0021558513399213552,0.0017966603627428412,0.0261516273021698,0.0001,0.0,0,589824
A0_confidence_rank,forward,13,4,HEM_PA99.nii.gz,1,foreground,gamma:0.3,0.00012139094178564847,0.0002550342178437859,0.024166163057088852,0.0001,0.0,0,589824
