variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,full_volume,383176,186974,11904096,830150,0.4296957178005199,0.6720617381390862,0.31580630432381734,0.2736385060344212,,,,
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,full_volume,546267,136292,14365215,865788,0.5215920451214401,0.8003220234441272,0.3868595769994795,0.35280657372023194,,,,
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,full_volume,403903,143062,6825723,504467,0.5550653286013186,0.7384439589370435,0.4446459042020322,0.38414562235123145,,,,
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,full_volume,387178,31908,11746693,433437,0.6246312618929887,0.9238628825587111,0.47181443185903255,0.4541554890601192,,,,
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,full_volume,389813,194663,11896407,823513,0.43365509661241897,0.6669444083247217,0.32127639232984373,0.27685798681665835,0.003959378811899061,0.0032194807822371607,-0.005117329814364524,0.005470088006026386
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,full_volume,553360,139779,14361728,858695,0.5257092695495047,0.7983391498674869,0.39188275244236237,0.356584531592941,0.004117224428064614,0.00377795787270907,-0.001982873576640287,0.005023175442882888
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,full_volume,417886,158871,6809914,490484,0.5627612992020211,0.7245443054874063,0.46003941125312375,0.3915572958685058,0.007695970600702484,0.007411673517274342,-0.013899653449637173,0.015393507051091548
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,full_volume,406915,36732,11741869,413700,0.6437194189179142,0.9172044440737793,0.4958659054489621,0.4746211277347445,0.0190881570249255,0.02046563867462531,-0.00665843848493175,0.02405147358992954
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,full_volume,400451,228667,11862403,812875,0.43469543714761477,0.6365276466418065,0.3300440277386292,0.27770661854807893,0.004999719347094866,0.00406811251365774,-0.03553409149727971,0.014237723414811831
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,full_volume,564515,145407,14356100,847540,0.5320651449096762,0.7951789069785131,0.3997825863723439,0.36245828148616144,0.010473099788236073,0.009651707765929496,-0.0051431164656140504,0.012923009372864391
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,full_volume,429112,174254,6794531,479258,0.5677075891557786,0.7111968523251228,0.47239781146449134,0.3963629108536297,0.012642260554459939,0.012217288502398227,-0.027247106611920757,0.02775190726245913
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,full_volume,419875,50428,11728173,400740,0.6505060739721655,0.892775508555123,0.5116589387227872,0.4820370521317547,0.025874812079176857,0.027881563071635473,-0.031087374003588075,0.03984450686375468
A0_confidence_rank,forward,12,CYST_PA62.nii.gz,full_volume,414490,244765,11846305,798836,0.4426938006954038,0.6287248485032347,0.3416147020668806,0.28426895166351074,0.012998082894883911,0.010630445629089547,-0.04333688963585147,0.02580839774306326
A0_confidence_rank,forward,12,HEM_PA29.nii.gz,full_volume,611224,155006,14346501,800831,0.5611974557966474,0.797703039557313,0.43286132622312873,0.39004480361645144,0.039605410675207287,0.0372382298962195,-0.0026189838868141413,0.046001749223649246
A0_confidence_rank,forward,12,HEP_PA28.nii.gz,full_volume,445195,192237,6776548,463175,0.5760052063588997,0.6984195961294695,0.4901031517993769,0.4044995170846633,0.020939877757581105,0.020353894733431854,-0.04002436280757404,0.04545724759734471
A0_confidence_rank,forward,12,HEM_PA107.nii.gz,full_volume,433897,66808,11711793,386718,0.6567629340356613,0.8665721332920582,0.5287461233343286,0.4889404489178216,0.03213167214267265,0.03478495985770241,-0.057290749266652896,0.05693169147529603
A0_confidence_rank,forward,16,CYST_PA62.nii.gz,full_volume,432198,262808,11828262,781128,0.45295891909793473,0.6218622573042535,0.35620929577046895,0.29279049192011025,0.023263201297414826,0.01915198588568906,-0.05019948083483272,0.040402991446651604
A0_confidence_rank,forward,16,HEM_PA29.nii.gz,full_volume,652759,170371,14331136,759296,0.584076038448719,0.793020543535043,0.46227590285080966,0.41250522931246075,0.06248399332727894,0.05969865559222881,-0.007301479909084141,0.07541632585133018
