variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,CYST_PA62.nii.gz,1,foreground,215021,28008,6686633,148226,0.7093172086640408,0.884754494319608,0.5919415714376168
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA29.nii.gz,1,foreground,344318,6375,6536082,191113,0.7771327714857063,0.9818217073052499,0.6430669871561415
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,0,context,0,161599,6916289,0,0.0,0.0,0.0
A_init_no_adaptation,forward,0,HEP_PA28.nii.gz,1,foreground,207183,13683,6657941,199081,0.660733819144356,0.9380484094428296,0.5099713486796763
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A_init_no_adaptation,forward,0,HEM_PA107.nii.gz,1,foreground,202773,10321,6826250,38544,0.892465191203558,0.9515659755788525,0.8402764828006315
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,CYST_PA62.nii.gz,1,foreground,217881,28627,6686014,145366,0.7146509663717394,0.8838698946890162,0.5998150019132986
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,HEM_PA29.nii.gz,1,foreground,348908,6933,6535524,186523,0.7829439273308261,0.9805165790338943,0.6516395203116742
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,0,context,0,162062,6915826,0,0.0,0.0,0.0
A0_confidence_rank,forward,4,HEP_PA28.nii.gz,1,foreground,216918,15748,6655876,189346,0.679003959745199,0.9323149923065682,0.5339335998267136
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,4,HEM_PA107.nii.gz,1,foreground,203691,10594,6825977,37626,0.8941620098243642,0.9505611685372285,0.8440806076654359
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,8,CYST_PA62.nii.gz,1,foreground,222984,29708,6684933,140263,0.7240457253072139,0.8824339512133348,0.6138632941221813
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A0_confidence_rank,forward,8,HEM_PA29.nii.gz,1,foreground,356134,7995,6534462,179297,0.7917959891502513,0.9780434955743706,0.6651351901552207
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,0,context,0,162704,6915184,0,0.0,0.0,0.0
A0_confidence_rank,forward,8,HEP_PA28.nii.gz,1,foreground,227624,17946,6653678,178640,0.6984109451179288,0.9269210408437513,0.5602859224543647
A0_confidence_rank,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
